# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  001  i01j15k10       810     97    3.177e+21    3.000e+21   12.71    1.626e-20  3.2365   148.70  1
  002  i03j14k10       334    417    1.504e+22    1.200e+22    9.94    1.092e-20  2.1068   141.03  1
  003  i01j12k10       429    816    4.217e+21    3.000e+21   13.42    5.012e-21  0.8935   119.69  1
  004  i01j13k04       812    286    3.347e+21    3.000e+21    7.92    9.827e-18  1.3737    87.85  1
  005  i01j13k04       299    786    4.227e+21    3.000e+21    7.92    9.827e-18  1.3737    87.85  1
  006  i01j13k09       466    672    4.171e+21    3.000e+21   12.51    3.202e-20  1.3721    82.78  1
  007  i02j12k09        84    853    5.852e+21    6.000e+21   11.35    2.140e-20  0.8933    78.15  1
  008  i02j11k09       321    191    8.564e+21    6.000e+21   11.49    1.423e-20  0.5820    74.37  1
  009  i02j10k09       626    659    6.266e+21    6.000e+21   11.60    9.401e-21  0.3790    72.07  1
  010  i02j10k09       404    191    7.770e+21    6.000e+21   11.60    9.401e-21  0.3790    72.07  1
  011  i02j10k09       880    413    6.649e+21    6.000e+21   11.60    9.401e-21  0.3790    72.07  1
  012  i02j10k09       564    405    9.824e+21    6.000e+21   11.60    9.401e-21  0.3790    72.07  1
  013  i01j10k09       176    839    4.170e+21    3.000e+21   13.36    9.324e-21  0.3789    71.79  1
  014  i01j08k09       204    923    3.775e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
  015  i01j08k09       660    154    4.164e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
  016  i01j08k09       629    909    3.819e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
  017  i01j08k09       699    927    4.043e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
  018  i01j08k09       930    332    3.215e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
  019  i01j08k09       562     69    4.433e+21    3.000e+21   13.63    4.112e-21  0.1606    69.21  1
