# Injection truth table -- cmf2.00_n600_s2029_flat  seed=2029
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 355 of 517 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.1 M_sun
# 600 cores assigned to 83 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.1 versus 0.0623 M_sun, median |log10 ratio| 0.191 dex
# drawn contrast versus node contrast at the drawn column: median 1.223 versus 1.236, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 42.0 arcsec, median |log10 ratio| 0.062 dex
# target background column: median 5.06e+21 cm^-2 (5th 3.09e+21, 95th 1.52e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.55 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.15  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i03j13k08       137    152    1.505e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    74.23  1
  002  i03j11k08       351    446    1.006e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    72.90  1
  003  i03j11k08       244     90    9.476e+21    1.200e+22    9.78    5.947e-20  0.5826    49.61    72.90  1
  004  i03j11k08       602    526    1.168e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    72.90  1
  005  i02j11k08        52     69    8.928e+21    6.000e+21   11.07    6.123e-20  0.5822    48.29    72.39  1
  006  i03j10k08       534    363    1.177e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.87  1
  007  i03j10k08       179    356    1.181e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.87  1
  008  i03j10k08       646    476    1.207e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.87  1
  009  i03j10k08       151    529    1.533e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.87  1
  010  i02j09k08       539    878    6.708e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  011  i02j09k08        90    788    5.575e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  012  i02j09k08       678    180    6.158e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  013  i02j09k08       864    614    6.397e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  014  i02j09k08        87    892    5.862e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  015  i02j09k08       582    220    4.983e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  016  i02j09k08       809    582    6.773e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  017  i02j09k08       407    718    5.976e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  018  i02j09k08       913    713    6.150e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  019  i02j09k08       228    618    6.623e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  020  i02j09k08       738    871    6.190e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  021  i02j09k08       648    638    6.690e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  022  i02j09k08       538    542    8.462e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
  023  i02j09k08       478    886    5.969e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    71.50  1
