# Injection truth table -- cmf2.00_n600_s2031  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i04j15k07       338    387    2.397e+22    2.400e+22    8.28    4.020e-19  3.2385   168.92    49.81  1
  002  i04j14k07       326    314    3.475e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  003  i03j13k04       724    652    9.751e+21    1.200e+22    7.79    7.642e-18  1.3736    88.39    22.35  1
  004  i03j13k08       477    376    1.499e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  005  i03j13k08       443    379    1.745e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  006  i03j12k08       178    113    1.520e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  007  i03j12k08       181    357    1.225e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  008  i03j11k08       198    318    1.497e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  009  i03j11k08        78    605    1.310e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  010  i03j11k08       651    508    1.056e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  011  i03j11k08       602    526    1.156e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  012  i03j11k08       539    395    1.095e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  013  i03j10k08       534    363    1.207e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  014  i03j10k08       788    737    1.006e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  015  i03j10k08       646    476    1.204e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  016  i02j10k08       870    480    6.278e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  017  i02j10k08       685    211    8.643e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  018  i02j10k08       359    180    7.722e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  019  i02j10k08       873    666    6.295e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  020  i02j09k08       644    667    6.034e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  021  i02j09k08       932    611    6.326e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  022  i02j09k08        94    732    7.192e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  023  i02j09k08       321    139    7.338e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  024  i02j09k08       545    553    6.853e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  025  i02j09k08       760    580    8.424e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  026  i02j09k08       404    635    5.235e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  027  i02j09k08       887    621    6.897e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  028  i02j09k08        41    387    6.880e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  029  i02j09k08       814    568    8.230e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  030  i02j09k08       839    427    6.221e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  031  i02j09k08       801    872    7.246e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  032  i02j09k08       597    293    6.668e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  033  i03j09k08       775    664    1.139e+22    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  034  i03j09k08       449    284    9.427e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  035  i03j09k08       721    556    9.089e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  036  i02j08k08       572    186    4.576e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  037  i02j08k08       499    718    6.453e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  038  i02j08k08       274    629    5.066e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  039  i02j08k08        64    782    6.141e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  040  i02j08k08       898    691    6.326e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  041  i02j08k08        62    924    6.268e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  042  i02j08k08       754    149    5.782e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  043  i02j08k08       138    715    6.624e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  044  i02j08k08       219    773    5.803e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  045  i02j08k08       563    919    4.980e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  046  i02j08k08       719    699    5.784e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  047  i02j08k08       911    930    5.868e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  048  i02j08k08       666    179    5.325e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  049  i02j08k08       260    599    5.688e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  050  i02j08k08       458    878    5.188e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  051  i02j08k08       868    858    5.676e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  052  i02j08k08       502    899    6.228e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  053  i02j08k08       460    742    5.154e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  054  i02j08k08       932    566    5.347e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  055  i02j08k08       559    223    5.960e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  056  i02j08k08       608    245    5.143e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  057  i02j08k08       547    859    5.945e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  058  i01j08k08       628     59    3.959e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  059  i01j08k08       312    772    4.148e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  060  i01j08k08       338    745    4.159e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  061  i01j08k08       408    935    4.398e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  062  i01j08k08       232    924    4.193e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  063  i01j08k08       656    858    4.207e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  064  i01j07k08       705    924    4.256e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  065  i01j07k08       604    190    4.290e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  066  i01j07k08       584    107    4.320e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  067  i01j07k08       821    236    3.848e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  068  i01j07k08       687    851    4.231e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  069  i01j07k08       223    880    4.144e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  070  i01j07k08       385    755    4.371e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  071  i01j07k08       803    137    3.819e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  072  i01j07k08       302    920    4.347e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  073  i01j07k08       792    263    3.564e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  074  i01j07k08       827    362    4.130e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  075  i01j07k08       168    847    4.261e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  076  i01j07k08       573     63    4.143e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  077  i01j07k08       446    663    4.249e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  078  i01j07k08       861    317    3.467e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  079  i02j07k08       548    827    5.952e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  080  i02j07k08       649    223    6.096e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  081  i02j07k08       228    676    5.700e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  082  i02j07k08       828    465    5.123e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  083  i02j07k08       443    611    5.728e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  084  i02j07k08       448    809    4.404e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  085  i02j07k08       332    867    4.459e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  086  i02j07k08       146    873    4.586e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  087  i02j07k08       333    926    4.784e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  088  i02j07k08       130    784    5.086e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  089  i02j07k08        98    765    5.907e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  090  i02j07k08       215    639    5.814e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  091  i02j07k08       670    754    4.722e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  092  i02j07k08       871    929    4.714e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  093  i02j07k08       284    737    5.002e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  094  i02j07k08       712    803    4.451e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  095  i02j07k08       268    865    5.047e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  096  i02j07k08       572    765    5.843e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  097  i02j07k08       914    728    5.704e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  098  i02j07k08       476    643    4.528e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  099  i02j07k08       749    397    5.036e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  100  i02j07k08       651    803    4.501e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  101  i02j07k08       767    917    5.528e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  102  i02j07k08       505    662    4.503e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  103  i02j07k08       175    794    4.593e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  104  i02j07k08       549    600    5.604e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  105  i02j07k08       631    275    5.856e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  106  i02j07k08       506    120    7.162e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  107  i02j07k08       805    206    5.143e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  108  i02j07k08        95    890    5.367e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  109  i02j07k08       602    625    5.649e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  110  i02j07k08       441    705    4.562e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  111  i02j07k08       546    655    4.980e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  112  i02j07k08       528     79    6.089e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  113  i02j07k08       702    260    5.898e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  114  i02j07k08       880    789    5.452e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  115  i02j07k08       379    825    4.426e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  116  i02j07k08       678    292    5.653e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  117  i02j07k08       142    924    4.385e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  118  i02j07k08       731    869    5.780e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  119  i02j07k08       853    597    6.208e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  120  i01j06k08       621    887    4.185e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  121  i01j06k08       751    117    3.747e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  122  i01j06k08       923    370    3.595e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  123  i01j06k08       317    808    4.067e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  124  i01j06k08       850    218    3.732e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  125  i01j06k08       700    108    3.555e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  126  i01j06k08       795     57    3.169e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  127  i01j06k08       625    929    3.794e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  128  i01j06k08       709     46    3.163e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  129  i01j06k08       754    326    4.044e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  130  i01j06k08       408    814    4.044e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  131  i01j06k08       908    865    4.215e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  132  i01j06k08       623    116    3.836e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  133  i01j06k08       893    364    3.550e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  134  i01j06k08       671     54    3.190e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  135  i01j06k08       905    192    2.592e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  136  i01j06k08       906    103    2.684e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  137  i01j06k08       833    300    3.608e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  138  i01j06k08       677    893    3.977e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  139  i01j06k08       188    914    3.791e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  140  i01j06k08       732    296    3.766e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  141  i01j06k08       671    142    4.022e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  142  i01j06k08       671    925    3.782e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  143  i01j06k08       640     88    3.820e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  144  i01j06k08       802    326    3.470e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  145  i01j06k08       755    272    3.410e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  146  i01j06k08       783    110    3.517e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  147  i01j06k08       647    903    3.786e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  148  i01j06k08       730     86    3.199e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  149  i01j06k08       633    147    3.836e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  150  i01j06k08       861    350    3.840e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  151  i01j06k08       596    150    3.845e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  152  i01j06k08       894    320    3.021e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  153  i01j06k08       856    150    3.325e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  154  i01j06k08       669    100    3.722e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  155  i01j06k08       926    334    3.184e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  156  i01j06k08       829    266    3.508e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  157  i01j06k08       355    798    4.161e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  158  i01j06k08       894    285    2.883e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  159  i01j06k08       834    332    3.803e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  160  i01j06k08       875    198    3.524e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  161  i01j06k08       438    839    4.065e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  162  i01j06k08       803    292    3.535e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  163  i01j06k08       609     89    3.986e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  164  i01j06k08       751     46    3.154e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  165  i01j06k08       282    835    4.079e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  166  i01j06k08       815     93    3.183e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  167  i01j06k08       765     85    3.342e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  168  i01j06k08       937    303    3.402e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  169  i01j06k08       271    929    3.968e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
