# Injection truth table -- cmf2.00_n600_s2031_flat  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i04j15k07       338    387    2.405e+22    2.400e+22    8.28    4.020e-19  3.2385   168.92    49.81  1
  002  i04j14k07       326    314    3.513e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  003  i03j13k04       724    652    9.407e+21    1.200e+22    7.79    7.642e-18  1.3736    88.39    22.35  1
  004  i03j13k08       477    376    1.570e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  005  i03j13k08       443    379    1.837e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  006  i03j12k08       178    113    1.563e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  007  i03j12k08       181    357    1.247e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  008  i03j11k08       198    318    1.565e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  009  i03j11k08        78    605    1.333e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  010  i03j11k08       651    508    1.054e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  011  i03j11k08       602    526    1.172e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  012  i03j11k08       539    395    1.128e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  013  i03j10k08       534    363    1.218e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  014  i03j10k08       788    737    1.026e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  015  i03j10k08       646    476    1.233e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
