# Injection truth table -- cmf2.00_n600_s2031_iso  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i04j15k07       338    387    2.397e+22    2.400e+22    8.28    4.020e-19  3.2385   168.92    49.81  1
  002  i04j14k07       326    314    3.475e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  003  i03j13k04       724    652    9.751e+21    1.200e+22    7.79    7.642e-18  1.3736    88.39    22.35  1
  004  i03j13k08       477    376    1.499e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  005  i03j12k08       178    113    1.520e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  006  i03j12k08       181    357    1.225e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  007  i03j11k08        78    605    1.310e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  008  i03j11k08       651    508    1.056e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  009  i03j11k08       602    526    1.156e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  010  i03j11k08       539    395    1.095e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  011  i03j10k08       788    737    1.006e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  012  i02j10k08       870    480    6.278e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  013  i02j10k08       685    211    8.643e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  014  i02j10k08       359    180    7.722e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  015  i02j10k08       873    666    6.295e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  016  i02j09k08       644    667    6.034e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  017  i02j09k08       932    611    6.326e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  018  i02j09k08        94    732    7.192e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  019  i02j09k08       321    139    7.338e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  020  i02j09k08       545    553    6.853e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  021  i02j09k08       760    580    8.424e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  022  i02j09k08       404    635    5.235e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  023  i02j09k08       887    621    6.897e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  024  i02j09k08        41    387    6.880e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  025  i02j09k08       814    568    8.230e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  026  i02j09k08       839    427    6.221e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  027  i02j09k08       801    872    7.246e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  028  i02j09k08       597    293    6.668e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  029  i03j09k08       775    664    1.139e+22    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  030  i03j09k08       449    284    9.427e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  031  i03j09k08       721    556    9.089e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  032  i02j08k08       572    186    4.576e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  033  i02j08k08       499    718    6.453e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  034  i02j08k08       274    629    5.066e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  035  i02j08k08        64    782    6.141e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  036  i02j08k08        62    924    6.268e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  037  i02j08k08       754    149    5.782e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  038  i02j08k08       138    715    6.624e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  039  i02j08k08       219    773    5.803e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  040  i02j08k08       563    919    4.980e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  041  i02j08k08       719    699    5.784e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  042  i02j08k08       911    930    5.868e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  043  i02j08k08       458    878    5.188e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  044  i02j08k08       868    858    5.676e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  045  i02j08k08       502    899    6.228e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  046  i02j08k08       460    742    5.154e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  047  i02j08k08       932    566    5.347e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  048  i02j08k08       608    245    5.143e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  049  i02j08k08       547    859    5.945e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  050  i01j08k08       628     59    3.959e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  051  i01j08k08       312    772    4.148e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  052  i01j08k08       408    935    4.398e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  053  i01j08k08       232    924    4.193e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  054  i01j08k08       656    858    4.207e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  055  i01j07k08       705    924    4.256e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  056  i01j07k08       584    107    4.320e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  057  i01j07k08       821    236    3.848e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  058  i01j07k08       223    880    4.144e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  059  i01j07k08       385    755    4.371e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  060  i01j07k08       803    137    3.819e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  061  i01j07k08       302    920    4.347e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  062  i01j07k08       827    362    4.130e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  063  i01j07k08       168    847    4.261e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  064  i01j07k08       573     63    4.143e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  065  i01j07k08       446    663    4.249e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  066  i01j07k08       861    317    3.467e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  067  i02j07k08       228    676    5.700e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  068  i02j07k08       443    611    5.728e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  069  i02j07k08       448    809    4.404e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  070  i02j07k08       332    867    4.459e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  071  i02j07k08       130    784    5.086e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  072  i02j07k08       670    754    4.722e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  073  i02j07k08       284    737    5.002e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  074  i02j07k08       712    803    4.451e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  075  i02j07k08       268    865    5.047e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  076  i02j07k08       572    765    5.843e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  077  i02j07k08       914    728    5.699e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  078  i02j07k08       749    397    5.036e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  079  i02j07k08       651    803    4.501e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  080  i02j07k08       767    917    5.528e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  081  i02j07k08       505    662    4.481e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  082  i02j07k08       175    794    4.593e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  083  i02j07k08       549    600    5.604e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  084  i02j07k08       506    120    7.162e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  085  i02j07k08        95    890    5.367e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  086  i02j07k08       602    625    5.649e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  087  i02j07k08       528     79    6.089e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  088  i02j07k08       702    260    5.898e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  089  i02j07k08       880    789    5.452e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  090  i02j07k08       379    825    4.426e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  091  i02j07k08       142    924    4.385e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  092  i02j07k08       731    869    5.780e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  093  i01j06k08       621    887    4.185e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  094  i01j06k08       923    370    3.595e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  095  i01j06k08       700    108    3.555e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  096  i01j06k08       795     57    3.169e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  097  i01j06k08       625    929    3.794e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  098  i01j06k08       709     46    3.163e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  099  i01j06k08       754    326    4.044e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  100  i01j06k08       905    192    2.592e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  101  i01j06k08       906    103    2.684e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  102  i01j06k08       188    914    3.791e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  103  i01j06k08       671    142    4.007e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  104  i01j06k08       802    326    3.468e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  105  i01j06k08       755    272    3.385e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  106  i01j06k08       596    150    3.837e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  107  i01j06k08       856    150    3.325e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  108  i01j06k08       894    285    2.871e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  109  i01j06k08       751     46    3.154e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  110  i01j06k08       937    303    3.384e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  111  i03j12k03       590    475    1.135e+22    1.200e+22    7.39    1.888e-17  0.8947    61.37    20.17  1
  112  i03j13k07       407    361    1.901e+22    1.200e+22    9.15    3.761e-19  1.3730    58.03    48.84  1
  113  i04j12k04        92    229    2.039e+22    2.400e+22    7.49    7.933e-18  0.8946    56.25    21.81  1
  114  i04j12k04       257    350    2.327e+22    2.400e+22    7.49    7.933e-18  0.8946    56.25    21.81  1
  115  i03j12k07       776    544    1.632e+22    1.200e+22    9.26    3.134e-19  0.8943    42.58    47.75  1
  116  i03j11k07       115    615    1.590e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.97  1
  117  i03j11k07       132    203    1.819e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79    45.97  1
  118  i05j14k05       258    274    3.287e+22    4.800e+22    7.31    2.655e-18  2.1084   144.43    26.66  1
  119  i04j10k07       181    552    1.938e+22    2.400e+22    8.51    1.667e-19  0.3795    31.58    44.57  1
  120  i03j10k07       593    383    1.332e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  121  i03j10k07       294    396    1.106e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  122  i03j10k07       679    465    1.506e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  123  i03j10k07       276    464    1.342e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  124  i03j09k07       567    339    1.400e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  125  i03j09k07       353     83    1.068e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  126  i03j09k07       126     98    1.038e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  127  i03j09k07       627    723    1.003e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  128  i03j09k07       538    742    1.091e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  129  i03j09k07       438    497    1.049e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  130  i03j09k07       147    388    1.144e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  131  i03j09k07        58    711    1.016e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  132  i03j09k07       324    442    9.541e+21    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  133  i02j09k07       425    459    9.294e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  134  i02j09k07       723    596    9.211e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  135  i02j09k07       410    144    8.954e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  136  i02j09k07       423    190    8.479e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  137  i02j09k07        81    135    7.930e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  138  i02j09k07       305     37    8.968e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  139  i03j08k07       296     84    1.004e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  140  i03j08k07        84    672    1.282e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  141  i03j08k07       318    210    9.006e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  142  i03j08k07       151    172    1.217e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  143  i03j08k07       657    413    1.225e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  144  i03j08k07       110    166    1.031e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  145  i03j08k07       271    411    9.933e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  146  i03j06k07       434    249    9.421e+21    1.200e+22    9.99    3.111e-20  0.0683    26.74    42.24  1
  147  i03j06k07       383    492    9.674e+21    1.200e+22    9.99    3.111e-20  0.0683    26.74    42.24  1
  148  i02j08k07       830    627    8.786e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  149  i02j08k07       815    834    8.020e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  150  i02j08k07       402    172    7.338e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  151  i02j08k07       862    742    8.058e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  152  i02j08k07       756    751    6.114e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  153  i02j08k07       414    589    6.425e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  154  i02j08k07        58    848    7.288e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  155  i02j08k07       830    659    9.188e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  156  i01j08k07       829     67    3.463e+21    3.000e+21   12.58    7.540e-20  0.1607    27.11    42.17  1
  157  i03j07k07       200    596    9.904e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  158  i03j07k07       600    687    9.902e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  159  i03j07k07       506    214    9.046e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  160  i02j07k07        77    455    7.440e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  161  i02j07k07       898    453    6.289e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  162  i02j07k07       910    516    6.188e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  163  i02j07k07       516    160    6.476e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  164  i02j07k07       868    393    5.927e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  165  i02j07k07       642    314    6.852e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  166  i02j07k07       405    271    7.560e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  167  i02j07k07        46    547    8.203e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  168  i02j07k07       608    821    4.996e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  169  i02j07k07       419    891    4.695e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
