# Injection truth table -- cmf2.00_n600_s2032_flat_iso  seed=2032
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.101 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 67 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.101 versus 0.0643 M_sun, median |log10 ratio| 0.186 dex
# drawn contrast versus node contrast at the drawn column: median 1.218 versus 1.240, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.6 versus 41.7 arcsec, median |log10 ratio| 0.061 dex
# target background column: median 4.88e+21 cm^-2 (5th 3.07e+21, 95th 1.54e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.10  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i04j16k07       338    387    1.819e+22    2.400e+22    8.24    4.688e-19  4.9715   293.15    47.41  1
  002  i04j14k07       326    312    2.322e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  003  i03j12k08       245    427    1.320e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  004  i03j11k08       351    446    1.145e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  005  i03j11k08       539    395    1.128e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  006  i03j11k08       626    474    1.075e+22    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  007  i03j11k08       244     90    9.520e+21    1.200e+22    9.78    5.947e-20  0.5826    49.61    73.10  1
  008  i03j10k08       523    285    1.071e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  009  i02j10k08       859    565    8.169e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  010  i02j10k08       142    678    7.829e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  011  i02j10k08       887    599    6.862e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  012  i02j10k08       642    362    9.129e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  013  i02j10k08       878    459    6.523e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  014  i02j10k08       345    210    8.855e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  015  i02j10k08       371    564    8.964e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  016  i02j10k08       784    588    7.858e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  017  i02j09k08       449    903    5.231e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  018  i02j09k08       404    635    5.221e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  019  i02j09k08       575    603    6.201e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  020  i02j09k08       593    799    4.633e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
