# Injection truth table -- cmf2.00_n600_s2033  seed=2033
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.103 M_sun
# 600 cores assigned to 76 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.103 versus 0.0643 M_sun, median |log10 ratio| 0.167 dex
# drawn contrast versus node contrast at the drawn column: median 1.231 versus 1.242, median |log10 ratio| 0.012 dex
# drawn observed size versus node size FWHMSDbs: median 40.3 versus 41.6 arcsec, median |log10 ratio| 0.064 dex
# target background column: median 5.04e+21 cm^-2 (5th 3.06e+21, 95th 1.63e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.49 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.29 +/- 0.13  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i03j15k08       135    604    1.448e+22    1.200e+22    9.39    1.570e-19  3.2370   131.32    76.23  1
  002  i03j15k08       423    364    1.783e+22    1.200e+22    9.39    1.570e-19  3.2370   131.32    76.23  1
  003  i04j15k07       338    387    2.404e+22    2.400e+22    8.28    4.020e-19  3.2385   168.92    49.81  1
  004  i04j16k07       327    310    2.195e+22    2.400e+22    8.24    4.688e-19  4.9715   293.15    47.41  1
  005  i04j14k07       288    356    3.436e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  006  i03j14k08       262    386    1.606e+22    1.200e+22    9.46    1.359e-19  2.1090    88.03    76.71  1
  007  i04j14k05       526    441    1.646e+22    2.400e+22    7.77    3.227e-18  2.1090   136.05    25.86  1
  008  i03j14k07       212    309    3.034e+22    1.200e+22    9.07    4.203e-19  2.1090    89.47    49.22  1
  009  i03j14k07       156    306    1.420e+22    1.200e+22    9.07    4.203e-19  2.1090    89.47    49.22  1
  010  i03j13k04       724    652    9.751e+21    1.200e+22    7.79    7.642e-18  1.3736    88.39    22.35  1
  011  i03j13k08       152    183    1.628e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  012  i03j13k08        48    669    1.474e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  013  i03j12k08       477    376    1.461e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
  014  i03j12k08        78    610    1.381e+22    1.200e+22    9.67    8.537e-20  0.8945    55.27    74.38  1
