# Injection truth table -- cmf2.00_n600_s2033_flat_iso  seed=2033
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.103 M_sun
# 600 cores assigned to 76 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.103 versus 0.0643 M_sun, median |log10 ratio| 0.167 dex
# drawn contrast versus node contrast at the drawn column: median 1.231 versus 1.242, median |log10 ratio| 0.012 dex
# drawn observed size versus node size FWHMSDbs: median 40.3 versus 41.6 arcsec, median |log10 ratio| 0.064 dex
# target background column: median 5.04e+21 cm^-2 (5th 3.06e+21, 95th 1.63e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.49 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.29 +/- 0.13  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  001  i03j15k08       135    604    1.489e+22    1.200e+22    9.39    1.570e-19  3.2370   131.32    76.23  1
  002  i03j15k08       423    364    1.988e+22    1.200e+22    9.39    1.570e-19  3.2370   131.32    76.23  1
  003  i04j15k07       338    387    2.430e+22    2.400e+22    8.28    4.020e-19  3.2385   168.92    49.81  1
  004  i04j16k07       327    310    1.860e+22    2.400e+22    8.24    4.688e-19  4.9715   293.15    47.41  1
  005  i04j14k07       288    356    2.013e+22    2.400e+22    8.29    3.863e-19  2.1087    99.15    49.47  1
  006  i04j14k05       526    441    1.540e+22    2.400e+22    7.77    3.227e-18  2.1090   136.05    25.86  1
  007  i03j14k07       212    309    3.210e+22    1.200e+22    9.07    4.203e-19  2.1090    89.47    49.22  1
  008  i03j14k07       156    306    1.320e+22    1.200e+22    9.07    4.203e-19  2.1090    89.47    49.22  1
  009  i03j13k04       724    652    9.407e+21    1.200e+22    7.79    7.642e-18  1.3736    88.39    22.35  1
  010  i03j13k08       152    183    1.713e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  011  i03j13k08        48    669    1.439e+22    1.200e+22    9.55    1.131e-19  1.3733    66.36    75.60  1
  012  i03j10k08       582    543    9.813e+21    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  013  i03j10k08       151    529    1.537e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  014  i03j10k08       109    167    1.125e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  015  i03j10k08       492    340    9.531e+21    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  016  i03j10k08       788    737    1.026e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  017  i03j10k08       550    483    1.406e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  018  i03j10k08       108    664    1.040e+22    1.200e+22    9.88    4.058e-20  0.3789    46.31    71.51  1
  019  i02j10k08       642    362    9.129e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  020  i02j10k08       158    680    7.675e+21    6.000e+21   11.28    4.053e-20  0.3793    45.79    71.36  1
  021  i02j09k08       512    914    5.500e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  022  i02j09k08       667    251    6.663e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  023  i02j09k08       553    237    6.985e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  024  i02j09k08       644    667    6.178e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  025  i02j09k08       449    903    5.231e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  026  i02j09k08       614    807    4.702e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  027  i02j09k08       508    704    6.680e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  028  i02j09k08       505    148    6.734e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  029  i02j09k08       150    728    6.347e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  030  i02j09k08       582    867    5.402e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  031  i02j09k08       887    621    6.752e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  032  i02j09k08       814    172    5.043e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  033  i02j09k08       778    396    5.369e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  034  i02j09k08       476     42    7.997e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  035  i02j09k08        94    732    7.187e+21    6.000e+21   11.45    2.620e-20  0.2468    44.54    70.98  1
  036  i03j09k08       449    284    9.867e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  037  i03j09k08        44     81    8.893e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  038  i03j09k08       721    556    9.483e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  039  i03j09k08       529    389    1.047e+22    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  040  i03j09k08       612    503    1.084e+22    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.96  1
  041  i01j09k08       665    784    4.398e+21    3.000e+21   13.04    2.670e-20  0.2469    44.00    70.39  1
  042  i01j09k08       200    839    4.384e+21    3.000e+21   13.04    2.670e-20  0.2469    44.00    70.39  1
  043  i01j09k08       725    303    4.545e+21    3.000e+21   13.04    2.670e-20  0.2469    44.00    70.39  1
  044  i01j09k08       567    163    4.463e+21    3.000e+21   13.04    2.670e-20  0.2469    44.00    70.39  1
  045  i02j08k08       754    149    5.870e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  046  i02j08k08       520     52    5.233e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  047  i02j08k08       568    825    5.155e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  048  i02j08k08       719    699    5.825e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  049  i02j08k08       393    623    5.682e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  050  i02j08k08       888    467    6.030e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  051  i02j08k08       549    580    5.700e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  052  i02j08k08       898    691    6.244e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  053  i02j08k08       734    891    5.601e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  054  i02j08k08       841    424    6.136e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  055  i02j08k08       271    877    5.077e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  056  i02j08k08       563    919    4.966e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  057  i02j08k08       260    599    5.612e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  058  i02j08k08       809    580    6.735e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  059  i02j08k08       932    566    5.429e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  060  i02j08k08       701    136    4.499e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  061  i02j08k08       380    931    4.552e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  062  i02j08k08       731    760    5.606e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  063  i02j08k08       209    674    5.957e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  064  i02j08k08       781    925    5.439e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  065  i02j08k08       844    847    6.784e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  066  i02j08k08        62    924    6.228e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  067  i02j08k08       127    818    5.060e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  068  i02j08k08        39    375    8.320e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  069  i02j08k08        52    822    6.792e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  070  i02j08k08       820    890    6.155e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  071  i01j08k08       442    846    4.220e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  072  i01j08k08       312    772    4.144e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  073  i01j08k08       280    811    4.198e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  074  i01j08k08       612     48    4.177e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  075  i01j08k08       626    144    3.890e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  076  i01j07k08       687    851    4.229e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  077  i01j07k08       705    924    4.247e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
