# Date: 09/12/2014 Time: 20:28:47
#
# SIMHERSCHEL = Simulate Sources for Herschel Images = Dec 09 2014 20:28    
# Alexander Men'shchikov, SAp IRFU CEA Saclay, France (alexander.menshchikov@cea.fr)
# Using CFITSIO library version 3.260 by William D Pence (william.d.pence@nasa.gov)
#___________________________________________________________________________________________________________________________________
#
# TRUTH TABLE FOR MODEL SOURCES populating '/dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/140104_fin/combo_cores/+visuals/sm.aquila.250.obs.bg2.relitent.fits'
#
# based on '/dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/130603_fin/combo_cores/+visuals/sm.aquila.255.obs.background.m.fits'
#      and '/dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/130603_fin/combo/aquila.255.omask.fits'
#___________________________________________________________________________________________________________________________________
#
# CONFIGURATION PARAMETERS USED BY SIMHERSCHEL:
#
#    distance:  260.0
#    waveband:  250.0
#     obsbeam: 18.2
#   nmassbins: 41
#      ncores: 2000  1 44  1 44  1 43
#      nproto:    0  0  0
#     xmasslo:  0.020
#      plexp1: -1.70
#     xmassb1:  0.150
#      plexp2: -1.70
#     xmassb2:  0.500
#      plexp3: -1.70
#     xmasshi: 30.000
#    artscale:  1.000
#    cdthresh:  5.00E+21
#     cdfact1:  0.50
#     cdfact2: 99999.00
#     cdfact3:  0.00
#      maxtry:    99999
#  maxobsbeam: 36.3
#   cdensname: /dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/130603_fin/combo_cores/+visuals/sm.aquila.255.obs.background.m.fits
#    maskname: /dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/130603_fin/combo/aquila.255.omask.fits
#    backname: /dsm/artemis/getsources/amenshch/herschel_extractions/AQUILA/140104_fin/combo_cores/+visuals/sm.aquila.250.obs.bg2.relitent.fits
#    basepath: /dsm/protoserver/data/amenshch/simulations_images/130615_RT_Cores_3as_260pc
#___________________________________________________________________________________________________________________________________
#
# Distance: 260.00 pc, waveband: 250.0 microns, beam: 18.2 arcsec
# Path to the radiative transfer models: /dsm/protoserver/data/amenshch/simulations_images/130615_RT_Cores_3as_260pc
#___________________________________________________________________________________________________________________________________
#
# TABULATED QUANTITIES
#
#   NO ............ Source's running number ..................................
#   NP ............ Source's population number ...............................
#   NM ............ Source's model number ....................................
#   XPIX .......... X-coordinate of current source ........................... (pixels) relative to the lower-left pixel
#   YPIX .......... Y-coordinate of current source ........................... (pixels) relative to the lower-left pixel
#   XARCS ......... X-coordinate of current source ........................... (arcsec) relative to the lower-left pixel
#   YARCS ......... Y-coordinate of current source ........................... (arcsec) relative to the lower-left pixel
#   RAD_AS ........ Model outer radius ....................................... (arcsec)
#   RAD_AU ........ Model outer radius ....................................... (AU)
#   RAD_BES ....... Model equivalent FWHM radius ............................. (arcsec)
#   AFWHM ......... Model full size at half-maximum intensity ................ (arcsec)
#   MASS .......... Model mass ............................................... (Msun)
#   ACC_LUMIN ..... Model accretion luminosity ............................... (Lsun)
#   DFWHM_INT ..... Model diameter (FWHM) from intensity distribution ........ (parsec)
#   DFWHM_DEN ..... Model diameter (FWHM) from density distribution .......... (parsec)
#   C_COLUMN ...... Central column density ................................... (H2/cm^2)
#   AV_COLUMN ..... Mass-averaged column density ............................. (H2/cm^2)
#   TOTFLUXJY ..... Total flux of the model .................................. (Jy)
#   PKJYBEAM ...... Peak intensity of the model .............................. (Jy/beam)
#   PKMJYSR ....... Peak intensity of the model .............................. (MJy/sr)
#   BACKSTD ....... Standard deviation of the local background ............... (MJy/sr)
#   SNRATIO ....... Signal-to-noise ratio PKMJYSR/BACKSTD ....................
#   TD_MASSAV ..... Mass-averaged temperature ................................ (K)
#   CDTHRESH ...... Column density threshold for placement of sources ........ (H2/cm^2)
#   CDLOCMEAN ..... Column density local mean for placement of sources ....... (H2/cm^2)
#   CDLOCMAX ...... Column density local maximum for placement of sources .... (H2/cm^2)
#   CONTRAST ...... Intrinsic contrast: AV_COLUMN/CDLOCMAX ...................
#   APPCONTR ...... Apparent contrast: (AV_COLUMN_convolved)/CDLOCMAX ........
#___________________________________________________________________________________________________________________________________
#
#   1  2    3     4       5       6       7       8       9      10      11       12        13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28
#  NO NP   NM   XPIX    YPIX    XARCS  YARCS   RAD_AS  RAD_AU  RAD_PC   AFWHM    MASS   ACC_LUMIN  DFWHM_INT  DFWHM_DEN   C_COLUMN  AV_COLUMN  TOTFLUXJY  PKJYBEAM    PKMJYSR    BACKSTD    SNRATIO   TD_MASSAV   CDTHRESH  CDLOCMEAN   CDLOCMAX   CONTRAST   APPCONTR
#
    1  1   24   863.0  3870.0  2589.0 11610.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  1.255E+02  7.706E-01  1.173E+01  5.000E+21  1.415E+22  2.527E+22  3.408E-01  2.755E-01
    2  1   24  2303.0  3432.0  6909.0 10296.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  4.141E+02  2.336E-01  1.173E+01  5.000E+21  1.605E+22  2.727E+22  3.158E-01  2.553E-01
    3  1   24  2038.0  3202.0  6114.0  9606.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  9.879E+01  9.790E-01  1.173E+01  5.000E+21  1.698E+22  2.388E+22  3.606E-01  2.915E-01
    4  1   24   724.0  3667.0  2172.0 11001.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  4.984E+01  1.940E+00  1.173E+01  5.000E+21  1.509E+22  2.330E+22  3.697E-01  2.989E-01
    5  1   24  2575.0  3138.0  7725.0  9414.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  1.267E+02  7.635E-01  1.173E+01  5.000E+21  1.629E+22  2.271E+22  3.793E-01  3.066E-01
    6  1   24  1857.0  2980.0  5571.0  8940.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  4.787E+01  2.021E+00  1.173E+01  5.000E+21  1.703E+22  2.266E+22  3.801E-01  3.073E-01
    7  1   24  2953.0  3028.0  8859.0  9084.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  8.832E+01  1.095E+00  1.173E+01  5.000E+21  1.719E+22  2.276E+22  3.783E-01  3.058E-01
    8  1   24  2732.0  3252.0  8196.0  9756.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  6.197E+01  1.561E+00  1.173E+01  5.000E+21  1.685E+22  1.918E+22  4.489E-01  3.629E-01
    9  1   24  2266.0  3559.0  6798.0 10677.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  9.069E+01  1.067E+00  1.173E+01  5.000E+21  1.670E+22  2.007E+22  4.291E-01  3.469E-01
   10  1   24  2208.0  3625.0  6624.0 10875.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  4.919E+01  1.966E+00  1.173E+01  5.000E+21  1.690E+22  1.909E+22  4.512E-01  3.647E-01
   11  1   24  3313.0  3658.0  9939.0 10974.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  2.722E+01  3.554E+00  1.173E+01  5.000E+21  1.670E+22  2.124E+22  4.054E-01  3.277E-01
   12  1   24  2600.0  3542.0  7800.0 10626.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  1.918E+01  5.043E+00  1.173E+01  5.000E+21  1.651E+22  1.780E+22  4.839E-01  3.912E-01
   13  1   24  3309.0  3605.0  9927.0 10815.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  4.139E+01  2.337E+00  1.173E+01  5.000E+21  1.677E+22  2.683E+22  3.210E-01  2.595E-01
   14  1   24  3145.0  3377.0  9435.0 10131.0  37.385  9720.0 38.2532   51.61   0.6626  0.000E+00  6.493E-02  3.920E-02  1.771E+22  8.612E+21  5.601E+00  8.532E-01  9.672E+01  2.587E+01  3.739E+00  1.173E+01  5.000E+21  1.527E+22  1.888E+22  4.561E-01  3.687E-01
