  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
   1   1   1   1  3.00e+21   8.309     0.0080   0.0030   1.5301     1.420  1.051e+21     1.350      1    0  2.5700e-17  1.8104e-17  4.0985e-20     247.93     379.36    11380.90 3.0923e+22    5.16   sub
   2   1   1   2  3.00e+21   9.787     0.0080   0.0049   1.0712     1.198  1.032e+21     1.344      1    0  6.0777e-18  5.0713e-18  2.6232e-20     553.31     592.72    17781.45 1.3912e+22   12.47   sub
   3   1   1   3  3.00e+21  11.402     0.0080   0.0080   0.7577     1.097  9.819e+20     1.327      1    0  1.3386e-18  1.2197e-18  1.6125e-20    1272.62     964.22    28926.57 7.0255e+21   31.97   sub
   4   1   1   4  3.00e+21  12.551     0.0080   0.0131   0.5703     1.055  8.795e+20     1.293      1    0  3.4030e-19  3.2263e-19  1.0296e-20    2648.12    1510.09    45302.80 4.6240e+21   71.78   sub
   5   1   2   1  3.00e+21   7.394     0.0189   0.0030   2.7924     2.602  2.468e+21     1.823      1    0  5.6479e-17  2.1710e-17  3.5292e-20     157.77     440.56    13216.89 6.1376e+22    1.68   sub
   6   1   2   2  3.00e+21   8.520     0.0189   0.0049   1.8701     1.647  2.423e+21     1.808      1    0  1.3836e-17  8.3993e-18  2.4299e-20     342.16     639.88    19196.41 2.7141e+22    3.34   sub
   7   1   2   3  3.00e+21  10.046     0.0189   0.0080   1.2819     1.288  2.308e+21     1.769      1    0  3.1806e-18  2.4685e-18  1.5652e-20     774.93     993.37    29801.09 1.2344e+22    7.88   sub
   8   1   2   4  3.00e+21  11.578     0.0189   0.0131   0.9128     1.143  2.041e+21     1.680      1    0  7.3439e-19  6.4269e-19  9.8385e-21    1731.27    1580.36    47410.72 6.5717e+21   19.11   sub
   9   1   2   5  3.00e+21  12.707     0.0189   0.0214   0.6780     1.078  1.539e+21     1.513      1    0  1.7504e-19  1.6240e-19  6.1723e-21    3715.15    2519.05    75571.57 4.3835e+21   43.71   sub
  10   1   2   6  3.00e+21  13.374     0.0189   0.0350   0.5114     1.044  8.494e+20     1.283      1    0  3.9043e-20  3.7399e-20  3.7670e-21    8070.21    4127.50   123824.88 3.5110e+21   98.37   sub
  11   1   3   1  3.00e+21   6.959     0.0445   0.0030   5.7156    10.506  5.738e+21     2.913      1    0  9.5142e-17  9.0563e-18  2.3068e-20     117.93     674.02    20220.61 9.7807e+22    1.01   sub
  12   1   3   2  3.00e+21   7.637     0.0445   0.0049   3.5395     3.823  5.636e+21     2.879      1    0  2.8233e-17  7.3861e-18  1.9370e-20     226.78     802.69    24080.78 4.9854e+22    1.28   sub
  13   1   3   3  3.00e+21   8.778     0.0445   0.0080   2.2971     2.022  5.369e+21     2.790      1    0  7.2423e-18  3.5810e-18  1.4100e-20     480.04    1102.69    33080.59 2.3352e+22    2.27   sub
  14   1   3   4  3.00e+21  10.273     0.0445   0.0131   1.5575     1.436  4.749e+21     2.583      1    0  1.7248e-18  1.2013e-18  9.3811e-21    1064.17    1657.40    49722.07 1.1156e+22    4.96   sub
  15   1   3   5  3.00e+21  11.748     0.0445   0.0214   1.1046     1.211  3.557e+21     2.186      1    0  4.0379e-19  3.3330e-19  5.9849e-21    2351.92    2597.90    77936.98 6.1662e+21   11.51   sub
  16   1   3   6  3.00e+21  12.828     0.0445   0.0350   0.8144     1.113  1.996e+21     1.665      1    0  9.3539e-20  8.4046e-20  3.7392e-21    5106.19    4158.24   124747.19 4.2075e+21   26.14   sub
  17   1   3   7  3.00e+21  13.429     0.0445   0.0572   0.6153     1.064  8.488e+20     1.283      1    0  2.1080e-20  1.9814e-20  2.2961e-21   11005.43    6771.61   203148.24 3.4498e+21   57.67   sub
  18   1   4   1  3.00e+21   6.820     0.1048   0.0030  15.3691   120.563  1.245e+22     5.149      1    0  1.1885e-16  9.8579e-19  9.6858e-21     104.45    1605.26    48157.90 1.1926e+23    1.26  deep
  19   1   4   2  3.00e+21   7.252     0.1048   0.0049   7.8699    22.972  1.244e+22     5.145      1    0  4.1489e-17  1.8060e-18  1.0838e-20     182.30    1434.66    43039.77 7.0313e+22    1.02 super
  20   1   4   3  3.00e+21   7.953     0.1048   0.0080   4.5807     6.372  1.195e+22     4.982      1    0  1.3601e-17  2.1344e-18  1.0180e-20     333.42    1527.32    45819.47 3.9285e+22    1.07   sub
  21   1   4   4  3.00e+21   9.073     0.1048   0.0131   2.8625     2.697  1.062e+22     4.539      1    0  3.7428e-18  1.3876e-18  8.0009e-21     678.89    1943.31    58299.30 1.9863e+22    1.62   sub
  22   1   4   5  3.00e+21  10.533     0.1048   0.0214   1.8994     1.670  7.966e+21     3.655      1    0  9.1364e-19  5.4717e-19  5.5292e-21    1480.51    2812.05    84361.63 9.9742e+21    3.23   sub
  23   1   4   6  3.00e+21  11.941     0.1048   0.0350   1.3349     1.314  4.513e+21     2.504      1    0  2.1528e-19  1.6382e-19  3.5867e-21    3247.49    4334.94   130048.21 5.7419e+21    7.13   sub
  24   1   4   7  3.00e+21  12.940     0.1048   0.0572   0.9810     1.165  1.976e+21     1.659      1    0  4.9942e-20  4.2852e-20  2.2581e-21    7018.66    6885.50   206565.10 4.0514e+21   15.74   sub
  25   1   4   8  3.00e+21  13.478     0.1048   0.0936   0.7416     1.093  7.745e+20     1.258      1    0  1.1380e-20  1.0409e-20  1.3971e-21   15005.84   11128.95   333868.53 3.3955e+21   33.94   sub
  26   1   4   9  3.00e+21  13.707     0.1048   0.1529   0.5779     1.056  3.091e+20     1.103      1    0  2.7934e-21  2.6446e-21  8.8079e-22   30544.20   17652.73   529581.90 3.1558e+21   69.06   sub
  27   1   5   1  3.00e+21   6.791     0.2471   0.0030  45.7956  1252.446  1.891e+22     7.305      1    0  1.2450e-16  9.9407e-20  3.3339e-21     101.84    4663.68   139910.46 1.2486e+23    1.67  deep
  28   1   5   2  3.00e+21   7.131     0.2471   0.0049  23.4780   317.575  2.070e+22     7.899      1    0  4.8218e-17  1.5183e-19  3.9495e-21     167.68    3936.79   118103.84 7.9796e+22    1.45  deep
  29   1   5   3  3.00e+21   7.636     0.2471   0.0080  11.3472    57.542  2.155e+22     8.184      1    0  1.7853e-17  3.1027e-19  4.8049e-21     285.17    3235.92    97077.63 4.9889e+22    1.12 super
  30   1   5   4  3.00e+21   8.379     0.2471   0.0131   5.9978    11.779  2.011e+22     7.702      1    0  6.0940e-18  5.1736e-19  5.0701e-21     511.30    3066.66    91999.80 2.9583e+22    1.00   sub
  31   1   5   5  3.00e+21   9.443     0.2471   0.0214   3.6051     3.952  1.584e+22     6.282      1    0  1.8466e-18  4.6721e-19  4.3738e-21     986.04    3554.84   106645.09 1.6423e+22    1.26   sub
  32   1   5   6  3.00e+21  10.802     0.2471   0.0350   2.3491     2.076  9.583e+21     4.194      1    0  4.8379e-19  2.3307e-19  3.2124e-21    2060.35    4840.05   145201.52 8.9166e+21    2.18   sub
  33   1   5   7  3.00e+21  12.125     0.2471   0.0572   1.6281     1.479  4.426e+21     2.475      1    0  1.1547e-19  7.8061e-20  2.1374e-21    4468.11    7274.33   218229.87 5.3732e+21    4.49   sub
  34   1   5   8  3.00e+21  13.044     0.2471   0.0936   1.1875     1.246  1.786e+21     1.595      1    0  2.6700e-20  2.1432e-20  1.3586e-21    9637.42   11444.33   343330.01 3.9138e+21    9.55   sub
  35   1   5   9  3.00e+21  13.531     0.2471   0.1529   0.8898     1.135  6.711e+20     1.224      1    0  5.9032e-21  5.1993e-21  8.3707e-22   20875.68   18574.69   557240.81 3.3382e+21   20.49   sub
  36   1   5  10  3.00e+21  13.730     0.2471   0.2500   0.6924     1.081  2.665e+20     1.089      0    0  1.4527e-21  1.3436e-21  5.2975e-22   42389.93   29350.15   880504.48 3.1336e+21   41.20   sub
  37   1   6   3  3.00e+21   7.498     0.5825   0.0080  37.4531   842.908  2.528e+22     9.426      1    0  2.1445e-17  2.5442e-20  1.6102e-21     257.83    9656.41   289692.32 5.5995e+22    1.62  deep
  38   1   6   4  3.00e+21   8.093     0.5825   0.0131  17.3281   159.923  2.608e+22     9.692      1    0  7.8178e-18  4.8885e-20  2.0226e-21     443.64    7687.43   230622.82 3.5639e+22    1.31  deep
  39   1   6   5  3.00e+21   8.881     0.5825   0.0214   8.1892    25.382  2.301e+22     8.670      1    0  2.6852e-18  1.0579e-19  2.3943e-21     792.99    6493.95   194818.62 2.2042e+22    1.02 super
  40   1   6   6  3.00e+21   9.866     0.5825   0.0350   4.6703     6.644  1.643e+22     6.476      1    0  8.9187e-19  1.3424e-19  2.2956e-21    1450.23    6773.04   203191.23 1.3407e+22    1.06   sub
  41   1   6   7  3.00e+21  11.103     0.5825   0.0572   2.9475     2.819  8.972e+21     3.991      1    0  2.5024e-19  8.8783e-20  1.8162e-21    2904.49    8561.12   256833.55 7.8955e+21    1.56   sub
  42   1   6   8  3.00e+21  12.316     0.5825   0.0936   2.0010     1.751  3.929e+21     2.310      1    0  6.0947e-20  3.4803e-20  1.2536e-21    6198.42   12403.29   372098.69 5.0201e+21    2.92   sub
  43   1   6   9  3.00e+21  13.139     0.5825   0.1529   1.4469     1.373  1.569e+21     1.523      1    0  1.4282e-20  1.0405e-20  8.1249e-22   13225.77   19136.60   574098.13 3.7915e+21    5.88   sub
  44   1   6  10  3.00e+21  13.562     0.5825   0.2500   1.0888     1.205  6.092e+20     1.203      1    0  3.3403e-21  2.7715e-21  5.1398e-22   27783.34   30250.92   907527.68 3.3055e+21   11.95   sub
  45   1   7   4  3.00e+21   7.925     1.3733   0.0131  58.3339  1989.082  2.743e+22    10.142      1    0  9.8271e-18  4.9405e-21  6.8072e-22     391.56   22841.11   685233.34 4.0080e+22    1.70  deep
  46   1   7   5  3.00e+21   8.682     1.3733   0.0214  25.1621   369.173  2.581e+22     9.602      1    0  3.1448e-18  8.5185e-21  8.5293e-22     724.48   18229.33   546879.82 2.4677e+22    1.48  deep
