  ID   i   j   k    SD_emb    T_BE       M_BE      FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
   1   1   1   1  5.30e+20  11.604      0.00196   0.003376   0.5781     1.056  2.572e+20     1.485      1    0  4.8556e-18  4.5967e-18  7.0488e-21     674.06     389.69    11690.75 6.5070e+21   69.00   sub
   2   1   2   1  5.30e+20  10.765   0.00290678   0.003376   0.7291     1.090  3.811e+20     1.719      1    0  6.8324e-18  6.2673e-18  6.8832e-21     547.31     399.07    11972.12 9.0531e+21   35.60   sub
   3   1   2   2  5.30e+20  11.933   0.00290678 0.00431755   0.6093     1.063  3.778e+20     1.713      1    0  3.2668e-18  3.0742e-18  5.4099e-21     833.37     507.75    15232.46 5.7591e+21   59.33   sub
   4   1   2   3  5.30e+20  13.237   0.00290678 0.00552168   0.5071     1.043  3.723e+20     1.702      1    0  1.5156e-18  1.4528e-18  4.2035e-21    1288.62     653.47    19604.18 3.6714e+21  100.83   sub
   5   1   3   1  5.30e+20   9.944   0.00431092   0.003376   0.9307     1.148  5.647e+20     2.065      1    0  9.9452e-18  8.6595e-18  6.7690e-21     436.02     405.80    12174.04 1.2929e+22   18.13   sub
   6   1   3   2  5.30e+20  11.041   0.00431092 0.00431755   0.7731     1.102  5.594e+20     2.056      1    0  4.7011e-18  4.2676e-18  5.3174e-21     668.22     516.58    15497.53 8.0950e+21   30.22   sub
   7   1   3   3  5.30e+20  12.238   0.00431092 0.00552168   0.6451     1.070  5.519e+20     2.041      1    0  2.2387e-18  2.0916e-18  4.1765e-21    1019.49     657.70    19730.94 5.1606e+21   50.37   sub
   8   1   3   4  5.30e+20  13.351   0.00431092 0.00706165   0.5522     1.051  5.411e+20     2.021      1    0  1.1673e-18  1.1103e-18  3.3734e-21    1474.64     814.28    24428.48 3.5373e+21   78.78   sub
   9   1   4   1  5.30e+20   9.187   0.00639332   0.003376   1.1996     1.251  8.371e+20     2.579      1    0  1.4736e-17  1.1779e-17  6.6509e-21     344.29     413.01    12390.16 1.8705e+22    9.31   sub
  10   1   4   2  5.30e+20  10.157   0.00639332 0.00431755   0.9954     1.171  8.297e+20     2.565      1    0  7.0487e-18  6.0218e-18  5.2719e-21     523.43     521.04    15631.08 1.1742e+22   15.13   sub
  11   1   4   3  5.30e+20  11.232   0.00639332 0.00552168   0.8317     1.118  8.185e+20     2.544      1    0  3.4276e-18  3.0661e-18  4.1843e-21     789.32     656.47    19694.11 7.5051e+21   24.66   sub
  12   1   4   4  5.30e+20  12.405   0.00639332 0.00706165   0.6974     1.082  8.008e+20     2.511      1    0  1.6690e-18  1.5420e-18  3.3134e-21    1188.75     829.01    24870.34 4.8654e+21   40.37   sub
  13   1   4   5  5.30e+20  13.629   0.00639332 0.00903109   0.5882     1.058  7.740e+20     2.460      1    0  8.1874e-19  7.7362e-19  2.6248e-21    1779.04    1046.49    31394.78 3.2348e+21   65.63   sub
  14   1   4   6  5.30e+20  13.796   0.00639332  0.0115498   0.5102     1.044  7.269e+20     2.372      1    0  3.6746e-19  3.5206e-19  2.0153e-21    2671.67    1363.03    40890.98 2.1184e+21   99.08   sub
  15   1   5   1  5.30e+20   8.546   0.00948164   0.003376   1.5526     1.433  1.240e+21     3.339      1    0  2.1479e-17  1.4990e-17  6.4326e-21     275.05     427.02    12810.72 2.6718e+22    4.99   sub
  16   1   5   2  5.30e+20   9.408   0.00948164 0.00431755   1.2792     1.287  1.230e+21     3.320      1    0  1.0220e-17  7.9396e-18  5.1327e-21     418.36     535.17    16055.14 1.6710e+22    7.92   sub
  17   1   5   3  5.30e+20  10.363   0.00948164 0.00552168   1.0677     1.197  1.213e+21     3.289      1    0  5.0434e-18  4.2130e-18  4.1161e-21     625.03     667.34    20020.32 1.0729e+22   12.57   sub
  18   1   5   4  5.30e+20  11.541   0.00948164 0.00706165   0.8794     1.132  1.184e+21     3.234      1    0  2.3271e-18  2.0554e-18  3.2166e-21     971.02     853.95    25618.65 6.6644e+21   21.15   sub
  19   1   5   5  5.30e+20  12.711   0.00948164 0.00903109   0.7396     1.093  1.143e+21     3.156      1    0  1.1482e-18  1.0507e-18  2.5600e-21    1450.75    1073.01    32190.32 4.3781e+21   34.20   sub
  20   1   5   6  5.30e+20  13.796   0.00948164  0.0115498   0.6219     1.065  1.075e+21     3.028      1    0  5.3515e-19  5.0235e-19  1.9950e-21    2213.89    1376.89    41306.82 2.8510e+21   55.93   sub
  21   1   5   7  5.30e+20  13.796   0.00948164   0.014771   0.5574     1.052  9.931e+20     2.874      1    0  2.8136e-19  2.6737e-19  1.6140e-21    3053.26    1701.92    51057.72 2.0445e+21   76.66   sub
  22   1   6   1  5.30e+20   8.006    0.0140618   0.003376   2.0361     1.781  1.838e+21     4.468      1    0  3.1232e-17  1.7540e-17  6.1110e-21     220.76     449.50    13484.88 3.7839e+22    2.82   sub
  23   1   6   2  5.30e+20   8.722    0.0140618 0.00431755   1.6719     1.507  1.821e+21     4.436      1    0  1.5212e-17  1.0091e-17  4.9759e-21     330.17     552.03    16560.91 2.4107e+22    4.23   sub
  24   1   6   3  5.30e+20   9.597    0.0140618 0.00552168   1.3765     1.335  1.796e+21     4.389      1    0  7.3208e-18  5.4831e-18  3.9973e-21     499.23     687.18    20615.37 1.5233e+22    6.62   sub
  25   1   6   4  5.30e+20  10.620    0.0140618 0.00706165   1.1366     1.224  1.754e+21     4.310      1    0  3.4959e-18  2.8551e-18  3.1798e-21     760.00     863.85    25915.61 9.6131e+21   10.68   sub
  26   1   6   5  5.30e+20  11.730    0.0140618 0.00903109   0.9484     1.154  1.692e+21     4.193      1    0  1.7073e-18  1.4790e-18  2.5341e-21    1142.93    1083.97    32519.07 6.2062e+21   17.23   sub
  27   1   6   6  5.30e+20  12.966    0.0140618  0.0115498   0.7907     1.106  1.596e+21     4.011      1    0  8.1495e-19  7.3662e-19  1.9974e-21    1739.24    1375.19    41255.72 4.0161e+21   28.38   sub
  28   1   6   7  5.30e+20  13.796    0.0140618   0.014771   0.6765     1.077  1.459e+21     3.753      1    0  3.9750e-19  3.6894e-19  1.5808e-21    2568.75    1737.69    52130.77 2.6976e+21   44.00   sub
  29   1   6   8  5.30e+20  13.796    0.0140618  0.0188905   0.5981     1.060  1.273e+21     3.402      1    0  1.9359e-19  1.8257e-19  1.2476e-21    3680.86    2201.68    66050.42 1.8747e+21   62.55   sub
  30   1   6   9  5.30e+20  13.796    0.0140618   0.024159   0.5270     1.047  1.033e+21     2.949      1    0  9.1929e-20  8.7827e-20  9.7583e-22    5341.51    2814.89    84446.76 1.3499e+21   90.19   sub
  31   1   7   1  5.30e+20   7.580    0.0208544   0.003376   2.7193     2.505  2.720e+21     6.132      1    0  4.4516e-17  1.7767e-17  5.6142e-21     179.92     489.27    14678.19 5.2263e+22    1.74   sub
  32   1   7   2  5.30e+20   8.161    0.0208544 0.00431755   2.2110     1.938  2.696e+21     6.086      1    0  2.2187e-17  1.1447e-17  4.6979e-21     264.44     584.70    17540.97 3.4056e+22    2.42   sub
  33   1   7   3  5.30e+20   8.903    0.0208544 0.00552168   1.8041     1.598  2.657e+21     6.014      1    0  1.0802e-17  6.7577e-18  3.8462e-21     395.87     714.17    21425.09 2.1774e+22    3.59   sub
  34   1   7   4  5.30e+20   9.802    0.0208544 0.00706165   1.4795     1.391  2.596e+21     5.899      1    0  5.2030e-18  3.7417e-18  3.1023e-21     598.47     885.43    26562.84 1.3815e+22    5.58   sub
  35   1   7   5  5.30e+20  10.833    0.0208544 0.00903109   1.2218     1.261  2.503e+21     5.722      1    0  2.5104e-18  1.9910e-18  2.4821e-21     905.77    1106.66    33199.80 8.8049e+21    8.89   sub
  36   1   7   6  5.30e+20  12.010    0.0208544  0.0115498   1.0099     1.176  2.356e+21     5.446      1    0  1.1880e-18  1.0105e-18  1.9618e-21    1386.38    1400.15    42004.42 5.6008e+21   14.56   sub
  37   1   7   7  5.30e+20  13.219    0.0208544   0.014771   0.8463     1.122  2.153e+21     5.063      1    0  5.8021e-19  5.1704e-19  1.5595e-21    2081.24    1761.33    52839.80 3.6939e+21   23.51   sub
  38   1   7   8  5.30e+20  13.796    0.0208544  0.0188905   0.7293     1.090  1.871e+21     4.531      1    0  2.7974e-19  2.5660e-19  1.2300e-21    3062.05    2233.16    66994.84 2.4827e+21   35.58   sub
  39   1   7   9  5.30e+20  13.796    0.0208544   0.024159   0.6370     1.069  1.492e+21     3.815      1    0  1.2726e-19  1.1910e-19  9.4983e-22    4539.88    2891.95    86758.50 1.6881e+21   52.22   sub
  40   1   7  10  5.30e+20  13.796    0.0208544  0.0308968   0.5719     1.055  1.163e+21     3.194      1    0  6.7635e-20  6.4103e-20  7.7127e-22    6227.38    3561.47   106843.98 1.2912e+21   71.18   sub
  41   1   8   1  5.30e+20   7.287    0.0309281   0.003376   3.6961     4.139  4.014e+21     8.574      1    0  5.9187e-17  1.4301e-17  4.8575e-21     152.99     565.48    16964.54 6.7941e+22    1.23   sub
  42   1   8   2  5.30e+20   7.737    0.0309281 0.00431755   2.9679     2.848  3.980e+21     8.510      1    0  3.0882e-17  1.0842e-17  4.2407e-21     218.25     647.74    19432.10 4.6083e+22    1.55   sub
  43   1   8   3  5.30e+20   8.342    0.0309281 0.00552168   2.3936     2.123  3.923e+21     8.402      1    0  1.5480e-17  7.2932e-18  3.5851e-21     320.10     766.18    22985.53 3.0280e+22    2.12   sub
  44   1   8   4  5.30e+20   9.124    0.0309281 0.00706165   1.9352     1.698  3.831e+21     8.228      1    0  7.4732e-18  4.4016e-18  2.9461e-21     481.78     932.36    27970.75 1.9340e+22    3.12   sub
  45   1   8   5  5.30e+20  10.019    0.0309281 0.00903109   1.5904     1.456  3.693e+21     7.968      1    0  3.6851e-18  2.5314e-18  2.4023e-21     718.96    1143.42    34302.51 1.2498e+22    4.73   sub
  46   1   8   6  5.30e+20  11.085    0.0309281  0.0115498   1.3064     1.300  3.479e+21     7.564      1    0  1.7612e-18  1.3545e-18  1.9220e-21    1093.94    1429.17    42875.09 7.9514e+21    7.52   sub
  47   1   8   7  5.30e+20  12.229    0.0309281   0.014771   1.0868     1.204  3.178e+21     6.997      1    0  8.6001e-19  7.1402e-19  1.5372e-21    1644.22    1786.98    53609.30 5.1776e+21   12.00   sub
  48   1   8   8  5.30e+20  13.549    0.0309281  0.0188905   0.8967     1.138  2.732e+21     6.155      1    0  3.9540e-19  3.4759e-19  1.2002e-21    2552.42    2288.75    68662.47 3.3192e+21   20.06   sub
  49   1   8   9  5.30e+20  13.796    0.0309281   0.024159   0.7852     1.105  2.228e+21     5.203      1    0  1.9497e-19  1.7646e-19  9.5374e-22    3667.84    2880.10    86402.89 2.2775e+21   28.93   sub
  50   1   8  10  5.30e+20  13.796    0.0309281  0.0308968   0.6953     1.082  1.686e+21     4.182      1    0  9.6377e-20  8.9085e-20  7.5732e-22    5216.80    3627.09   108812.72 1.6255e+21   40.72   sub
  51   1   8  11  5.30e+20  13.796    0.0309281  0.0395137   0.6106     1.063  1.153e+21     3.176      1    0  4.5176e-20  4.2502e-20  5.9036e-22    7619.68    4652.88   139586.49 1.1926e+21   58.95   sub
  52   1   8  12  5.30e+20  13.796    0.0309281  0.0505338   0.5430     1.050  7.738e+20     2.460      1    0  2.2658e-20  2.1587e-20  4.7020e-22   10759.30    5841.94   175258.31 9.4899e+20   82.71   sub
  53   1   9   1  5.30e+20   7.100    0.0458681   0.003376   5.1900     8.401  5.896e+21    12.125      1    0  7.2961e-17  8.6853e-18  3.8912e-21     136.02     705.92    21177.53 8.2599e+22    1.03   sub
  54   1   9   2  5.30e+20   7.442    0.0458681 0.00431755   4.0827     5.018  5.847e+21    12.032      1    0  4.0305e-17  8.0329e-18  3.5910e-21     187.36     764.93    22948.00 5.8811e+22    1.15   sub
  55   1   9   3  5.30e+20   7.914    0.0458681 0.00552168   3.2418     3.281  5.766e+21    11.880      1    0  2.1262e-17  6.4796e-18  3.1852e-21     266.02     862.39    25871.63 4.0389e+22    1.40   sub
  56   1   9   4  5.30e+20   8.546    0.0458681 0.00706165   2.5889     2.343  5.632e+21    11.626      1    0  1.0690e-17  4.5616e-18  2.7215e-21     389.86    1009.32    30279.59 2.6727e+22    1.87   sub
  57   1   9   5  5.30e+20   9.312    0.0458681 0.00903109   2.1002     1.836  5.430e+21    11.246      1    0  5.3540e-18  2.9157e-18  2.2745e-21     575.05    1207.70    36231.06 1.7541e+22    2.66   sub
  58   1   9   6  5.30e+20  10.242    0.0458681  0.0115498   1.7123     1.534  5.121e+21    10.662      1    0  2.6137e-18  1.7034e-18  1.8585e-21     863.13    1477.98    44339.53 1.1313e+22    4.02   sub
  59   1   9   7  5.30e+20  11.345    0.0458681   0.014771   1.3981     1.346  4.654e+21     9.780      1    0  1.2357e-18  9.1778e-19  1.4870e-21    1321.18    1847.21    55416.33 7.1828e+21    6.38   sub
