  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
   1   1   1   1  4.24e+21   8.249     0.0080   0.0030   1.5364     1.423  1.051e+21     1.248      1    0  2.5685e-17  1.8047e-17  5.7920e-20     247.10     379.64    11389.16 3.2145e+22    5.11   sub
   2   1   1   2  4.24e+21   9.607     0.0080   0.0049   1.0820     1.203  1.032e+21     1.243      1    0  6.0809e-18  5.0564e-18  3.7079e-20     548.07     593.03    17790.82 1.5154e+22   12.14   sub
   3   1   1   3  4.24e+21  10.971     0.0080   0.0080   0.7758     1.102  9.831e+20     1.232      1    0  1.3674e-18  1.2405e-18  2.2947e-20    1235.08     958.23    28746.92 8.3235e+21   29.91   sub
   4   1   1   4  4.24e+21  11.888     0.0080   0.0131   0.5852     1.058  8.781e+20     1.207      1    0  3.3666e-19  3.1828e-19  1.4501e-20    2591.11    1516.34    45490.07 5.8544e+21   66.62   sub
   5   1   2   1  4.24e+21   7.374     0.0189   0.0030   2.7971     2.608  2.468e+21     1.582      1    0  5.6402e-17  2.1628e-17  4.9862e-20     157.66     440.99    13229.70 6.2549e+22    1.67   sub
   6   1   2   2  4.24e+21   8.449     0.0189   0.0049   1.8787     1.654  2.422e+21     1.571      1    0  1.3802e-17  8.3454e-18  3.4307e-20     341.16     640.93    19227.99 2.8332e+22    3.31   sub
   7   1   2   3  4.24e+21   9.831     0.0189   0.0080   1.2991     1.297  2.309e+21     1.544      1    0  3.2045e-18  2.4713e-18  2.2162e-20     763.73     992.17    29765.19 1.3625e+22    7.63   sub
   8   1   2   4  4.24e+21  11.118     0.0189   0.0131   0.9351     1.150  2.045e+21     1.482      1    0  7.4581e-19  6.4858e-19  1.3968e-20    1683.55    1574.25    47227.46 7.8483e+21   17.90   sub
   9   1   2   5  4.24e+21  11.994     0.0189   0.0214   0.6995     1.083  1.542e+21     1.363      1    0  1.7643e-19  1.6292e-19  8.7437e-21    3595.23    2514.81    75444.27 5.6326e+21   40.02   sub
  10   1   2   6  4.24e+21  12.461     0.0189   0.0350   0.5348     1.048  8.710e+20     1.205      1    0  4.1068e-20  3.9183e-20  5.4134e-21    7595.42    4061.91   121857.40 4.7709e+21   86.43   sub
  11   1   3   1  4.24e+21   6.950     0.0445   0.0030   5.7222    10.534  5.738e+21     2.352      1    0  9.5060e-17  9.0239e-18  3.2593e-20     117.90     674.65    20239.54 9.8970e+22    1.01   sub
  12   1   3   2  4.24e+21   7.609     0.0445   0.0049   3.5478     3.839  5.634e+21     2.328      1    0  2.8164e-17  7.3367e-18  2.7346e-20     226.64     804.09    24122.84 5.0999e+22    1.28   sub
  13   1   3   3  4.24e+21   8.693     0.0445   0.0080   2.3096     2.035  5.368e+21     2.265      1    0  7.2100e-18  3.5428e-18  1.9885e-20     478.77    1105.77    33173.14 2.4519e+22    2.25   sub
  14   1   3   4  4.24e+21  10.034     0.0445   0.0131   1.5802     1.450  4.750e+21     2.119      1    0  1.7325e-18  1.1952e-18  1.3261e-20    1049.33    1658.15    49744.59 1.2414e+22    4.80   sub
  15   1   3   5  4.24e+21  11.275     0.0445   0.0214   1.1270     1.220  3.542e+21     1.835      1    0  3.9904e-19  3.2695e-19  8.4181e-21    2317.75    2612.07    78362.14 7.3810e+21   10.92   sub
  16   1   3   6  4.24e+21  12.087     0.0445   0.0350   0.8395     1.120  1.990e+21     1.469      1    0  9.3218e-20  8.3215e-20  5.2750e-21    4965.19    4168.46   125053.80 5.4464e+21   24.03   sub
  17   1   3   7  4.24e+21  12.516     0.0445   0.0572   0.6335     1.068  8.273e+20     1.195      1    0  2.0253e-20  1.8967e-20  3.2019e-21   10839.77    6867.45   206023.57 4.6804e+21   53.04   sub
  18   1   4   1  4.24e+21   6.813     0.1048   0.0030  15.3967   121.079  1.244e+22     3.933      1    0  1.1887e-16  9.8175e-19  1.3681e-20     104.39    1607.27    48218.13 1.2046e+23    1.26  deep
  19   1   4   2  4.24e+21   7.237     0.1048   0.0049   7.8807    23.051  1.243e+22     3.930      1    0  4.1352e-17  1.7939e-18  1.5296e-20     182.41    1437.50    43125.04 7.1386e+22    1.02 super
  20   1   4   3  4.24e+21   7.911     0.1048   0.0080   4.6025     6.437  1.194e+22     3.814      1    0  1.3586e-17  2.1105e-18  1.4358e-20     332.73    1531.41    45942.28 4.0464e+22    1.07   sub
  21   1   4   4  4.24e+21   8.961     0.1048   0.0131   2.8900     2.736  1.061e+22     3.501      1    0  3.7499e-18  1.3706e-18  1.1288e-20     674.04    1947.98    58439.45 2.1099e+22    1.60   sub
  22   1   4   5  4.24e+21  10.272     0.1048   0.0214   1.9252     1.690  7.931e+21     2.869      1    0  9.0532e-19  5.3571e-19  7.7763e-21    1468.72    2827.64    84829.30 1.1164e+22    3.15   sub
  23   1   4   6  4.24e+21  11.421     0.1048   0.0350   1.3676     1.331  4.496e+21     2.060      1    0  2.1456e-19  1.6125e-19  5.0540e-21    3181.28    4350.76   130522.69 6.9741e+21    6.73   sub
  24   1   4   7  4.24e+21  12.174     0.1048   0.0572   1.0102     1.176  1.952e+21     1.460      1    0  4.9053e-20  4.1720e-20  3.1688e-21    6869.08    6939.19   208175.71 5.2803e+21   14.55   sub
