    NEWID     G_0   ID   i   j   k    SD_emb    T_BE       M_BE      FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
     2374  222.20    1   1   8   1  3.75e+20  11.608   0.00158489      0.003   0.5508     1.051  2.085e+20     1.556      1    0  5.5916e-18  5.3199e-18  5.6166e-21     628.24     346.03    10380.97 6.4970e+21   79.36   sub
     2375  222.20    8   1  11   1  3.75e+20   9.169   0.00517947      0.003   1.1389     1.225  6.797e+20     2.813      1    0  1.6761e-17  1.3679e-17  5.2916e-21     322.49     367.29    11018.56 1.8887e+22   10.63   sub
     2376  222.20   11   1  11   4  3.75e+20  12.469   0.00517947 0.00626986   0.6605     1.074  6.564e+20     2.750      1    0  1.8823e-18  1.7530e-18  2.6219e-21    1122.24     741.26    22237.93 4.7586e+21   47.09   sub
     2377  222.20   28   1  14   1  3.75e+20   7.540    0.0169267      0.003   2.5606     2.310  2.215e+21     6.907      1    0  5.1412e-17  2.2258e-17  4.5453e-21     166.99     427.59    12827.73 5.4004e+22    1.90   sub
     2378  222.20   31   1  14   4  3.75e+20   9.778    0.0169267 0.00626986   1.4041     1.350  2.135e+21     6.694      1    0  5.9425e-18  4.4035e-18  2.4748e-21     559.33     785.33    23560.04 1.3967e+22    6.31   sub
     2379  222.20   34   1  14   7  3.75e+20  13.252    0.0169267  0.0131037   0.8076     1.111  1.842e+21     5.911      1    0  6.7816e-19  6.1039e-19  1.2486e-21    1927.49    1556.60    46697.90 3.6541e+21   26.76   sub
     2380  222.20   37   1  14  10  3.75e+20  13.796    0.0169267  0.0273861   0.5460     1.050  1.095e+21     3.921      1    0  7.8168e-20  7.4433e-20  6.1450e-22    5792.64    3162.80    94883.92 1.1575e+21   81.39   sub
     2381  222.20   63   1  17   1  3.75e+20   6.923    0.0553168      0.003   7.1012    17.780  7.076e+21    19.870      1    0  1.0315e-16  5.8011e-18  2.4229e-21     112.96     802.15    24064.64 1.0265e+23    1.00 super
     2382  222.20   66   1  17   4  3.75e+20   8.044    0.0553168 0.00626986   3.3339     3.441  6.830e+21    19.215      1    0  1.7079e-17  4.9638e-18  1.9481e-21     299.25     997.68    29930.34 3.6843e+22    1.36   sub
     2383  222.20   69   1  17   7  3.75e+20  10.424    0.0553168  0.0131037   1.7570     1.565  5.884e+21    16.690      1    0  2.1580e-18  1.3789e-18  1.1543e-21     958.31    1683.78    50513.51 1.0451e+22    3.80   sub
     2384  222.20   72   1  17  10  3.75e+20  13.796    0.0553168  0.0273861   0.9975     1.171  3.426e+21    10.136      1    0  2.3867e-19  2.0377e-19  5.8774e-22    3315.09    3306.77    99203.19 2.7839e+21   15.05   sub
     2385  222.20   75   1  17  13  3.75e+20  13.796    0.0553168  0.0572357   0.6822     1.079  1.072e+21     3.860      1    0  2.6985e-20  2.5014e-20  2.8896e-22    9858.98    6726.07   201781.99 9.4434e+20   42.96   sub
     2386  222.20  112   1  20   1  3.75e+20   6.788     0.180777      0.003  32.7582   642.746  1.718e+22    46.811      1    0  1.3255e-16  2.0623e-19  6.0126e-22      98.68    3232.42    96972.55 1.2547e+23    1.58  deep
     2387  222.20  115   1  20   4  3.75e+20   7.465     0.180777 0.00626986  10.5945    48.488  1.846e+22    50.223      1    0  2.7492e-17  5.6700e-19  8.0738e-22     227.21    2407.20    72216.15 5.7618e+22    1.10 super
     2388  222.20  118   1  20   7  3.75e+20   8.725     0.180777  0.0131037   4.4194     5.905  1.659e+22    45.234      1    0  5.4012e-18  9.1470e-19  7.9355e-22     554.18    2449.17    73474.97 2.4072e+22    1.09   sub
     2389  222.20  121   1  20  10  3.75e+20  11.199     0.180777  0.0273861   2.2054     1.933  1.021e+22    28.225      1    0  7.5404e-19  3.9011e-19  5.2444e-22    1680.38    3705.91   111177.31 7.6035e+21    2.43   sub
     2390  222.20  124   1  20  13  3.75e+20  13.796     0.180777  0.0572357   1.2666     1.281  3.303e+21     9.808      1    0  8.3984e-20  6.5545e-20  2.7458e-22    5588.47    7078.26   212347.66 2.1363e+21    8.12   sub
     2391  222.20  127   1  20  16  3.75e+20  13.796     0.180777    0.11962   0.8564     1.125  8.209e+20     3.189      1    0  9.3951e-21  8.3498e-21  1.3582e-22   16708.57   14309.23   429276.97 7.9085e+20   22.75   sub
     2392  222.20  130   1  20  19  3.75e+20  13.796     0.180777       0.25   0.5906     1.059  1.986e+20     1.530      1    0  1.0877e-21  1.0272e-21  6.7008e-23   49107.15   29004.47   870133.96 4.7457e+20   64.87   sub
