! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 2089 nodes measured, 0 not measured, 26072617 pixels
! 26072617 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.425     21.30    0.1500         96    0.9912    0.9912    0.9912
    20.475     21.10    0.0750        168    0.9779    0.9779    0.9912
    20.475     21.10    0.1500        328    0.9779    0.9912    0.9912
    20.525     20.70    0.0750         32    0.9517    0.9517    0.9647
    20.525     20.90    0.0100        248    0.9647    0.9779    0.9779
    20.525     20.90    0.0350        420    0.9647    0.9779    0.9779
    20.525     20.90    0.0750        404    0.9647    0.9779    0.9912
    20.525     21.10    0.0100         40    0.9912    0.9912    0.9912
    20.525     21.10    0.0350        232    0.9779    0.9912    0.9912
    20.525     21.10    0.0750        416    0.9779    0.9912    0.9912
    20.525     21.10    0.1500         84    0.9912    0.9912    0.9912
    20.575     20.50   -0.0350        112    0.9138    0.9263    0.9263
    20.575     20.50   -0.0100        136    0.9138    0.9138    0.9263
    20.575     20.50    0.0100        112    0.9138    0.9138    0.9389
    20.575     20.50    0.0350        120    0.9263    0.9517    1.0048
    20.575     20.50    0.0750         96    0.9779    1.0464    1.2147
    20.575     20.70   -0.1500       8556    0.9517    0.9647    0.9779
    20.575     20.70   -0.0750      10992    0.9647    0.9647    0.9779
    20.575     20.70   -0.0350      10716    0.9647    0.9779    0.9779
    20.575     20.70   -0.0100       2180    0.9389    0.9912    0.9912
    20.575     20.70    0.0100        676    0.9389    0.9517    0.9647
    20.575     20.70    0.0350        372    0.9389    0.9647    0.9779
    20.575     20.70    0.0750        272    0.9647    1.0324    1.0752
    20.575     20.70    0.1500         24    1.0752    1.0899    1.1822
    20.575     20.90   -0.1500       4664    0.9779    0.9912    0.9912
    20.575     20.90   -0.0750      19036    0.9912    0.9912    1.0048
    20.575     20.90   -0.0350      38012    0.9912    0.9912    1.0048
    20.575     20.90   -0.0100     144124    0.9912    1.0048    1.0048
    20.575     20.90    0.0100      36416    1.0048    1.0048    1.0048
    20.575     20.90    0.0350        220    0.9517    0.9779    0.9779
    20.575     20.90    0.0750         84    0.9912    1.0048    1.0185
    20.625     20.10   -0.6000        280    0.8540    0.8656    0.8774
    20.625     20.10   -0.1500        464    0.8425    0.8540    0.8656
    20.625     20.10   -0.0750        260    0.8425    0.8425    0.8540
    20.625     20.10   -0.0350        240    0.8425    0.8540    0.8540
    20.625     20.10   -0.0100        196    0.8540    0.8656    0.8774
    20.625     20.10    0.0100        144    0.8894    0.9015    0.9263
    20.625     20.10    0.0350        112    0.9517    1.0324    1.1198
    20.625     20.10    0.0750         52    1.3537    1.4291    1.7513
    20.625     20.30   -0.6000        888    0.8774    0.8894    0.9015
    20.625     20.30   -0.1500       3848    0.8774    0.9015    0.9138
    20.625     20.30   -0.0750       1792    0.8774    0.9015    0.9263
    20.625     20.30   -0.0350        612    0.8656    0.8774    0.8894
    20.625     20.30   -0.0100        360    0.8774    0.8894    0.9015
    20.625     20.30    0.0100        264    0.8894    0.9138    0.9517
    20.625     20.30    0.0350        248    0.9517    1.0048    1.0607
    20.625     20.30    0.0750        148    1.1351    1.2650    1.3722
    20.625     20.30    0.1500         45    1.4291    1.4884    1.6589
    20.625     20.50   -0.6000        752    0.9138    0.9263    0.9389
    20.625     20.50   -0.1500       6056    0.9138    0.9263    0.9389
    20.625     20.50   -0.0750       9276    0.9263    0.9389    0.9517
    20.625     20.50   -0.0350       3608    0.9138    0.9517    0.9779
    20.625     20.50   -0.0100        460    0.9015    0.9138    0.9263
    20.625     20.50    0.0100        272    0.9138    0.9263    0.9517
    20.625     20.50    0.0350        164    0.9517    1.0048    1.0324
    20.625     20.50    0.0750        116    1.0899    1.1351    1.3175
    20.625     20.50    0.1500         33    1.1663    1.2823    1.2998
    20.625     20.70   -0.6000         40    0.9389    0.9389    0.9389
    20.625     20.70   -0.1500       1288    0.9389    0.9517    0.9517
    20.625     20.70   -0.0750       3892    0.9517    0.9517    0.9647
    20.625     20.70   -0.0350      10856    0.9647    0.9779    0.9779
    20.625     20.70   -0.0100      17876    0.9912    1.0048    1.0048
    20.625     20.70    0.0100      62796    1.0048    1.0048    1.0048
    20.625     20.90   -0.0100      50912    1.0048    1.0048    1.0048
    20.625     20.90    0.0100     162164    1.0048    1.0048    1.0048
    20.675     19.70   -0.6000        308    0.7873    0.8089    0.8311
    20.675     19.70   -0.1500        612    0.7662    0.7873    0.8089
    20.675     19.70   -0.0750        300    0.7662    0.7767    0.7873
    20.675     19.70   -0.0350        216    0.7873    0.7980    0.8089
    20.675     19.70   -0.0100         84    0.8089    0.8311    0.8425
    20.675     19.70    0.0100        132    0.8656    0.8894    0.9263
    20.675     19.70    0.0350        104    1.0185    1.0899    1.2650
