! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21559607 pixels
! 21559607 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.625     20.50    0.0750        140    0.9912    0.9912    1.0048
    20.625     20.70    0.0750        204    0.9912    1.0048    1.0048
    20.675     20.30    0.0100        284    0.9779    0.9912    0.9912
    20.675     20.30    0.0350        304    0.9779    0.9779    0.9912
    20.675     20.30    0.0750        188    0.9779    0.9912    0.9912
    20.675     20.50    0.0100         72    0.9912    0.9912    1.0048
    20.675     20.50    0.0350        496    0.9912    0.9912    1.0048
    20.675     20.50    0.0750        436    0.9912    0.9912    1.0048
    20.725     19.90   -0.1500        176    0.9389    0.9517    0.9517
    20.725     19.90   -0.0750        128    0.9389    0.9389    0.9517
    20.725     19.90   -0.0350        160    0.9263    0.9389    0.9389
    20.725     19.90   -0.0100        204    0.9263    0.9263    0.9389
    20.725     19.90    0.0100        132    0.9263    0.9389    0.9517
    20.725     19.90    0.0350         92    0.9389    0.9647    1.0048
    20.725     19.90    0.0750         40    1.1351    1.1506    1.1822
    20.725     20.10   -0.1500       5564    0.9517    0.9647    0.9779
    20.725     20.10   -0.0750      16780    0.9647    0.9779    0.9912
    20.725     20.10   -0.0350      18928    0.9779    0.9779    0.9912
    20.725     20.10   -0.0100      13556    0.9912    0.9912    0.9912
    20.725     20.10    0.0100        780    0.9517    0.9517    0.9779
    20.725     20.10    0.0350        412    0.9517    0.9779    1.0048
    20.725     20.10    0.0750        184    1.0185    1.0464    1.1047
    20.725     20.30   -0.0750       9236    0.9912    0.9912    1.0048
    20.725     20.30   -0.0350      28224    0.9912    1.0048    1.0048
    20.725     20.30   -0.0100     162344    1.0048    1.0048    1.0048
    20.725     20.30    0.0100      67348    1.0048    1.0048    1.0048
    20.725     20.30    0.0350        292    0.9647    0.9779    0.9912
    20.725     20.30    0.0750        128    0.9912    1.0048    1.0185
    20.775     19.50   -0.1500        760    0.8540    0.8656    0.8774
    20.775     19.50   -0.0750        312    0.8425    0.8540    0.8656
    20.775     19.50   -0.0350        276    0.8425    0.8540    0.8656
    20.775     19.50   -0.0100        160    0.8656    0.8656    0.8894
    20.775     19.50    0.0100        120    0.9138    0.9263    0.9647
    20.775     19.50    0.0350        100    1.0607    1.0899    1.2823
    20.775     19.50    0.0750         36    1.3722    1.6145    1.8488
    20.775     19.70   -0.1500       3616    0.8894    0.9015    0.9138
    20.775     19.70   -0.0750       2884    0.8894    0.9263    0.9389
    20.775     19.70   -0.0350        812    0.8774    0.8894    0.9138
    20.775     19.70   -0.0100        540    0.8774    0.9015    0.9138
