! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21524935 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.625     20.50    0.0750        140    0.9963    0.9963    0.9963
    20.625     20.70    0.0750        204    0.9963    0.9963    0.9963
    20.675     20.30    0.0100        284    0.9829    0.9963    0.9963
    20.675     20.30    0.0350        304    0.9697    0.9829    0.9829
    20.675     20.30    0.0750        188    0.9697    0.9829    0.9963
    20.675     20.50    0.0100         72    0.9963    0.9963    0.9963
    20.675     20.50    0.0350        496    0.9829    0.9963    0.9963
    20.675     20.50    0.0750        436    0.9829    0.9963    0.9963
    20.725     19.90   -0.1500        176    0.9437    0.9437    0.9566
    20.725     19.90   -0.0750        128    0.9437    0.9437    0.9437
    20.725     19.90   -0.0350        160    0.9310    0.9310    0.9437
    20.725     19.90   -0.0100        204    0.9185    0.9310    0.9310
    20.725     19.90    0.0100        132    0.9185    0.9310    0.9566
    20.725     19.90    0.0350         92    0.9310    0.9697    1.0099
    20.725     19.90    0.0750         40    1.1409    1.1409    1.1882
    20.725     20.10   -0.1500       5564    0.9566    0.9697    0.9829
    20.725     20.10   -0.0750      16780    0.9697    0.9829    0.9829
    20.725     20.10   -0.0350      18928    0.9697    0.9829    0.9829
    20.725     20.10   -0.0100      13556    0.9829    0.9963    0.9963
    20.725     20.10    0.0100        780    0.9437    0.9566    0.9697
    20.725     20.10    0.0350        412    0.9566    0.9829    1.0099
    20.725     20.10    0.0750        184    1.0237    1.0518    1.0954
    20.725     20.30   -0.0750       9236    0.9963    0.9963    0.9963
    20.725     20.30   -0.0350      28224    0.9963    0.9963    0.9963
    20.725     20.30   -0.0100     162344    0.9963    1.0099    1.0099
    20.725     20.30    0.0100      67348    1.0099    1.0099    1.0099
    20.725     20.30    0.0350        292    0.9697    0.9697    0.9829
    20.725     20.30    0.0750        128    0.9829    0.9963    1.0237
    20.775     19.50    0.0100        104    0.9061    0.9437    0.9697
    20.775     19.50    0.0350        100    1.0518    1.0954    1.2889
    20.775     19.50    0.0750         36    1.3607    1.6009    1.8582
    20.775     19.70   -0.1500       2200    0.9061    0.9185    0.9185
    20.775     19.70   -0.0750       2004    0.9185    0.9310    0.9437
    20.775     19.70   -0.0350        220    0.9061    0.9185    0.9310
    20.775     19.70   -0.0100        224    0.9061    0.9061    0.9185
    20.775     19.70    0.0100        344    0.9061    0.9310    0.9437
    20.775     19.70    0.0350        292    0.9829    1.0237    1.1255
    20.775     19.70    0.0750        148    1.2044    1.3243    1.5794
    20.775     19.90   -0.1500       4704    0.9185    0.9310    0.9437
    20.775     19.90   -0.0750       9344    0.9310    0.9437    0.9566
    20.775     19.90   -0.0350       7008    0.9437    0.9697    0.9829
    20.775     19.90   -0.0100       1332    0.9185    0.9963    0.9963
    20.775     19.90    0.0100        380    0.9185    0.9437    0.9697
    20.775     19.90    0.0350        248    0.9963    1.0376    1.0661
    20.775     19.90    0.0750        136    1.1564    1.2375    1.2889
    20.775     20.10   -0.1500         56    0.9566    0.9566    0.9566
    20.775     20.10   -0.0750       1144    0.9566    0.9566    0.9697
    20.775     20.10   -0.0350       5980    0.9697    0.9697    0.9829
    20.775     20.10   -0.0100      89972    1.0099    1.0099    1.0099
    20.775     20.10    0.0100     266320    1.0099    1.0099    1.0099
    20.775     20.30   -0.0100        608    1.0099    1.0099    1.0099
    20.775     20.30    0.0100      52692    1.0099    1.0099    1.0099
    20.825     19.10    0.0100         48    0.9185    0.9310    0.9829
    20.825     19.10    0.0350         84    1.0099    1.0954    1.3980
    20.825     19.10    0.0750         40    1.4960    1.8332    2.0993
    20.825     19.30   -0.1500         40    0.9061    0.9061    0.9061
    20.825     19.30    0.0100        112    0.9061    0.9185    0.9437
    20.825     19.30    0.0350        212    0.9963    1.1104    1.2544
    20.825     19.30    0.0750        112    1.2544    1.5581    1.9353
    20.825     19.30    0.1500         21    1.7131    2.2464    2.7903
    20.825     19.50   -0.1500        804    0.9061    0.9061    0.9185
    20.825     19.50   -0.0750       1288    0.9185    0.9310    0.9437
    20.825     19.50   -0.0350        112    0.9185    0.9185    0.9310
    20.825     19.50   -0.0100         48    0.9061    0.9185    0.9437
    20.825     19.50    0.0100        140    0.9185    0.9310    0.9437
    20.825     19.50    0.0350        180    0.9829    1.0237    1.1255
    20.825     19.50    0.0750        144    1.1564    1.2889    1.5794
    20.825     19.70   -0.1500        396    0.9061    0.9185    0.9185
    20.825     19.70   -0.0750       3236    0.9310    0.9437    0.9566
    20.825     19.70   -0.0350       2996    0.9566    0.9697    0.9829
    20.825     19.70   -0.0100        160    0.9437    0.9697    0.9829
    20.825     19.70    0.0100         24    0.9310    0.9310    0.9829
    20.825     19.90   -0.0750         24    0.9566    0.9566    0.9566
    20.825     19.90   -0.0350       2392    0.9697    0.9829    0.9963
    20.825     19.90   -0.0100      51812    1.0099    1.0099    1.0099
    20.825     19.90    0.0100      81580    1.0099    1.0099    1.0099
    20.825     20.10   -0.0100      69852    1.0099    1.0099    1.0099
    20.825     20.10    0.0100     111512    1.0099    1.0099    1.0099
    20.875     18.70    0.0100         20    0.9185    0.9437    0.9963
    20.875     18.70    0.0350         56    0.9697    1.1564    1.1722
    20.875     18.70    0.0750         52    1.4364    1.6228    2.0710
    20.875     18.90    0.0100         48    0.9061    0.9185    0.9566
    20.875     18.90    0.0350        156    0.9829    1.0807    1.2375
    20.875     18.90    0.0750        104    1.3243    1.6449    2.1864
    20.875     18.90    0.1500         48    1.9617    2.5378    3.4659
    20.875     19.10   -0.1500         48    0.9061    0.9061    0.9061
    20.875     19.10   -0.0750         40    0.9061    0.9061    0.9185
    20.875     19.10    0.0100         32    0.9185    0.9185    0.9310
    20.875     19.10    0.0350        112    0.9437    0.9829    1.2889
    20.875     19.10    0.0750        104    1.0807    1.2044    1.7365
    20.875     19.10    0.1500         56    1.2715    1.4960    2.9859
    20.875     19.30   -0.1500        444    0.9061    0.9185    0.9310
    20.875     19.30   -0.0750        960    0.9061    0.9310    0.9566
    20.875     19.30   -0.0350        148    0.9061    0.9310    0.9566
    20.875     19.30    0.0350         60    0.9697    0.9963    0.9963
    20.875     19.30    0.0750         68    1.0376    1.0954    1.3423
    20.875     19.30    0.1500         22    1.2889    1.4171    2.0710
    20.875     19.50   -0.1500         84    0.9185    0.9185    0.9310
    20.875     19.50   -0.0750       1424    0.9437    0.9566    0.9697
    20.875     19.50   -0.0350       1904    0.9566    0.9829    1.0099
    20.875     19.50   -0.0100        172    0.9437    0.9697    0.9963
    20.875     19.50    0.0100         52    0.9566    0.9697    0.9697
    20.875     19.70   -0.0750         76    0.9829    0.9829    0.9829
    20.875     19.70   -0.0350       1656    0.9829    0.9963    1.0099
    20.875     19.70   -0.0100      28596    1.0099    1.0099    1.0099
    20.875     19.70    0.0100      34996    1.0099    1.0099    1.0099
    20.875     19.70    0.0350        392    1.0099    1.0099    1.0099
    20.875     19.90   -0.0100      65160    1.0099    1.0099    1.0099
    20.875     19.90    0.0100      91454    1.0099    1.0099    1.0099
    20.875     19.90    0.0350        636    1.0099    1.0099    1.0099
    20.925     18.30    0.0350         44    1.0237    1.0376    1.1104
    20.925     18.30    0.0750         48    1.2209    1.6673    1.9093
    20.925     18.50    0.0100         64    0.9061    0.9310    0.9697
    20.925     18.50    0.0350         88    0.9829    1.0954    1.4960
    20.925     18.50    0.0750        100    1.2209    1.6901    1.9617
    20.925     18.50    0.1500         34    2.0431    3.1523    3.3732
