! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE additional/01              22.97261
       0.0125     2.02138      3969
NODE additional/02              23.27974
       0.0125     1.97463      3721
NODE additional/03              23.69717
       0.0125     1.45474      1972
       0.0375     1.42877      1749
NODE i01j08k01                  16.61570
       0.0125     4.45410        96
       0.0375     3.03454         8
       0.0625     4.59111         8
       0.0875     2.74585        16
       0.1125     2.24628         8
       0.2125     3.75708         8
       0.2375     1.42995         8
       0.2875     2.58900        16
       0.3125     1.26938         8
       0.3375     2.40637        16
       0.3625     1.82284         8
       0.4375     2.94462         8
       0.4625     2.37104         8
       0.4875     1.95324        24
       0.5375     2.61171         8
       0.5625     1.46989        32
       0.5875     1.81465         8
       0.6125     2.07881         8
       0.6625     1.70566         8
       0.6875     1.17275         8
       0.7125     1.88290         8
       0.7625     1.25629        24
       0.7875     1.05404         8
       0.8125     1.64424        16
       0.8875     1.38438        16
       0.9125     1.30320         8
       0.9375     1.18308        24
       0.9625     1.58223         8
       0.9875     1.03140         8
       1.0125     1.53481        12
       1.0375     1.29040        32
       1.0625     1.48565        12
       1.0875     1.13424         8
       1.1125     1.03992         8
       1.1375     1.29327         8
       1.1625     1.10073        16
       1.1875     1.03744        16
       1.2125     1.17651        16
       1.2625     1.14504         8
       1.2875     1.12569        16
       1.3375     1.06157        32
       1.3625     1.11965        28
       1.3875     1.17522         8
       1.4125     1.16746        20
       1.4375     1.08132        16
       1.4625     1.03463         8
       1.4875     1.01193         8
       1.5125     1.04787        16
       1.5375     1.01680        24
       1.5625     1.05249        16
       1.6125     1.04163        24
       1.6375     1.06571         8
       1.6625     1.01738        32
       1.6875     1.03568        28
       1.7375     1.00782         8
       1.7625     1.02462        16
       1.7875     1.01046         8
       1.8125     1.01707        16
       1.8375     1.01530        24
       1.8625     1.00641        24
       1.8875     1.02407         8
       1.9125     1.02218        28
       1.9375     1.00530         8
       1.9625     1.00642        32
       1.9875     1.00542         8
       2.0125     1.01113        12
       2.0375     1.00566        16
       2.0625     1.00755        16
       2.0875     1.00734        16
       2.1125     1.00779        16
       2.1375     1.00528        44
       2.1625     1.00586         8
NODE i01j09k01                  16.64833
       0.0125     4.33854       108
       0.1125     2.82850         8
       0.1375     3.34328        24
       0.1625     2.13250         8
       0.2875     2.44035        16
       0.3375     2.23029         8
       0.3625     1.95585        16
       0.3875     1.50661         8
       0.4125     2.40584        16
       0.4875     2.78118         8
       0.5125     1.75268        16
       0.5375     2.24126        16
       0.5875     1.81164        16
       0.6125     1.52900        28
       0.6625     1.99922         8
       0.7125     1.65766         8
       0.7375     1.16203         8
       0.7625     1.82092         8
       0.7875     1.23675        24
       0.8375     1.27924        16
       0.8625     1.69733         8
       0.9125     1.11180         8
       0.9375     1.44655        16
       0.9625     1.28752        16
       0.9875     1.29974        16
       1.0125     1.02900         8
       1.0375     1.50202        12
       1.0625     1.07913         8
       1.0875     1.39357        32
       1.1125     1.12547        12
       1.1375     1.03777         8
       1.1625     1.27725         8
       1.1875     1.09574        16
       1.2125     1.03630        16
       1.2375     1.16725        16
       1.2875     1.13918         8
       1.3125     1.11897        16
       1.3625     1.05937        32
       1.3875     1.11523        28
       1.4125     1.16706         8
       1.4375     1.15999        20
       1.4625     1.07811        16
       1.4875     1.03469         8
       1.5125     1.01053         8
       1.5375     1.04670        16
       1.5625     1.01619        24
       1.5875     1.05199        16
       1.6375     1.04054        24
       1.6625     1.06426         8
       1.6875     1.01801        32
       1.7125     1.03455        32
       1.7625     1.01908        16
       1.7875     1.01570        16
       1.8125     1.01702        16
       1.8625     1.01717        24
       1.8875     1.00796        32
       1.9125     1.02252         8
       1.9375     1.01505        28
       1.9875     1.00760        32
       2.0125     1.00388        12
       2.0375     1.01278         8
       2.0625     1.00792        24
       2.0875     1.00528         8
       2.1125     1.00711        24
       2.1375     1.01114        28
       2.1625     1.00551        24
       2.1875     1.00711         8
NODE i01j09k02                  17.07662
       0.0125     5.69542        84
       0.0375     3.73384        16
       0.1625     1.77707         8
       0.2375     2.91318         8
       0.2875     2.64031        16
       0.3125     3.13401        16
       0.4125     1.45402         8
       0.4625     2.77412        24
       0.4875     1.30227         8
       0.5125     1.70777        16
       0.5625     3.01506         8
       0.6375     2.17884        32
       0.7125     1.40327        36
       0.7625     2.26511        16
       0.7875     2.05226        16
       0.8125     1.75027        16
       0.8625     1.68601        16
       0.8875     1.20089        16
       0.9125     1.07204         8
       0.9375     1.59952         8
       0.9625     1.77823         8
       0.9875     1.14319         8
       1.0125     1.35303         8
       1.0375     1.48728        24
       1.0625     1.07306         8
       1.0875     1.04315         8
       1.1125     1.60993        12
       1.1375     1.27824        24
       1.1625     1.36293        16
       1.1875     1.52073         8
       1.2125     1.27461        16
       1.2375     1.47727        20
       1.2625     1.05513        32
       1.2875     1.13069         8
       1.3125     1.29783         8
       1.3375     1.11351        16
       1.3625     1.26404         8
       1.3875     1.06269        24
       1.4125     1.12582        16
       1.4375     1.15618        12
       1.4625     1.12629        16
       1.4875     1.14609        16
