! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       0.0125     0.47143        60
       0.2125     0.57797         8
       0.2625     0.58575        16
       0.4125     0.67004         8
       0.5125     0.61336         8
       0.5375     0.62836        12
       0.5875     0.78209         8
       0.7125     0.71203         8
       0.7875     0.66786        24
       0.8875     0.81161         8
       0.9875     0.83100        16
       1.0375     0.69282         8
       1.1125     0.87254         8
       1.1875     0.89471        16
       1.2625     0.77422         8
       1.2875     0.92852         8
       1.3125     0.73433         8
       1.3875     0.94657        16
       1.4625     0.85405         8
       1.4875     0.98137         8
       1.5125     0.81022         8
       1.5625     0.99624         8
       1.5875     0.95528         8
       1.6625     0.91737         8
       1.6875     0.99341         8
       1.7125     0.89749         8
       1.7375     0.93278        16
       1.7875     0.98622         8
       1.8625     0.98125        16
       1.9125     0.97255        16
       1.9625     0.93781        20
       2.0375     1.00187         8
       2.0625     0.99551        16
       2.1125     0.98467         8
       2.1625     0.99085        16
       2.1875     0.98114         8
NODE i01j02k01                  14.33131
       0.0125     0.49335        60
       0.2125     0.59431         8
       0.2625     0.60345        16
       0.4125     0.68529         8
       0.5125     0.63577        16
       0.5875     0.79619         8
       0.6875     0.72573         8
       0.7625     0.67121         8
       0.7875     0.77250        16
       0.8875     0.82326         8
       0.9875     0.84211        16
       1.0375     0.70699        12
       1.0875     0.88077         8
       1.1625     0.84599         8
       1.1875     0.95991         8
       1.2375     0.78672         8
       1.2875     0.84100        16
       1.3625     0.95408        16
       1.4375     0.86423         8
       1.4875     0.98601         8
       1.5125     0.82087        12
       1.5625     0.98063        16
       1.6375     0.92592         8
       1.6625     0.99493         8
       1.6875     0.90670         8
       1.7375     0.93929        16
       1.7625     0.99051         8
       1.8375     0.97010         8
       1.8625     0.99930         8
       1.8875     1.00209         8
       1.9125     0.95001         8
       1.9375     0.94687        12
       1.9625     0.99783         8
       2.0375     0.99697        16
       2.0625     1.00203         8
       2.0875     0.98955         8
       2.1375     0.99453        16
       2.1625     0.98677         8
       2.1875     1.00128        16
NODE i01j02k02                  15.70887
       0.0125     0.99707        60
       0.2125     0.99842         8
       0.2375     0.99844         8
       0.2625     0.99885         8
       0.4125     0.99841         8
       0.4625     1.00009         8
       0.4875     0.99817         8
       0.6375     1.00062         8
       0.6875     0.99991         8
       0.7125     0.99981         8
       0.7375     0.99991         8
       0.8375     1.00073         8
       0.8875     1.00292         8
       0.9375     1.00040         8
       0.9625     1.00156        12
       1.0125     1.00150         8
       1.0875     1.00190         8
       1.1375     1.00231         8
       1.1625     1.00195         8
       1.1875     1.00116        16
       1.2625     1.00269         8
       1.3375     1.00135         8
       1.3625     1.00246        16
       1.3875     1.00188         8
       1.4375     1.00196         8
       1.5125     1.00143        16
       1.5625     1.00283         8
       1.5875     1.00297         8
       1.6125     1.00284        16
       1.6625     1.00079         8
       1.6875     1.00146         8
       1.7375     1.00362         8
       1.7625     1.00196         8
       1.7875     1.00138        16
       1.8125     1.00440        12
       1.8375     1.00189         8
       1.8875     1.00204         8
       1.9125     1.00171        16
       1.9625     1.00288         8
       1.9875     1.00252        16
       2.0125     1.00340         8
       2.0375     1.00128        16
       2.0625     1.00339         8
       2.1125     1.00228         8
       2.1375     1.00092        16
       2.1625     1.00303        16
       2.1875     1.00256        12
NODE i01j02k03                  17.47595
       0.0125     1.00582        60
       0.1625     1.00540         8
       0.1875     1.00609        16
       0.3125     1.00487         8
       0.3625     1.00600        16
       0.4875     1.00420         8
       0.5125     1.00530         8
       0.5375     1.00611         8
       0.5625     1.00636         8
       0.6375     1.00354         8
       0.6625     1.00468         8
       0.7125     1.00600        16
       0.7625     1.00296         8
       0.8125     1.00407         8
       0.8625     1.00509         8
       0.8875     1.00593        24
       0.9625     1.00354         8
       0.9875     1.00453         8
       1.0125     1.00202         8
       1.0375     1.00576        16
       1.0875     1.00307         8
       1.1375     1.00285        16
       1.1625     1.00492         8
       1.1875     1.00563        24
       1.2375     1.00138         8
       1.2625     1.00362         8
       1.2875     1.00448         8
       1.3125     1.00377        16
       1.3375     1.00571        20
       1.3625     1.00327         8
       1.4125     1.00209        24
       1.4375     1.00479         8
       1.4625     1.00415        16
       1.4875     1.00549         8
       1.5125     1.00189        24
       1.5625     1.00361        16
       1.5875     1.00172        24
       1.6125     1.00514        20
       1.6625     1.00208        32
       1.7125     1.00404        32
       1.7375     1.00245        24
       1.7625     1.00210        16
       1.8125     1.00234        40
       1.8375     1.00464        20
       1.8625     1.00121        24
       1.8875     1.00316        24
       1.9125     1.00041        16
       1.9375     1.00412        32
       1.9625     1.00216        40
       1.9875     0.99922        24
       2.0125     1.00083        52
       2.0375     1.00302        24
       2.0625     1.00422        28
       2.0875     1.00296        24
       2.1125     1.00111        32
       2.1375     1.00290        40
       2.1625     1.00368        44
       2.1875     1.00284        24
NODE i01j03k01                  14.42795
       0.0125     0.50997        60
       0.2125     0.60809         8
       0.2625     0.61883        16
       0.4125     0.69690         8
       0.5125     0.65754        20
       0.5875     0.80826         8
       0.6875     0.73829         8
       0.7625     0.68317         8
       0.7875     0.78394        16
       0.8875     0.83539         8
       0.9625     0.76995         8
       0.9875     0.93124         8
       1.0375     0.71874        12
       1.0875     0.89124         8
       1.1625     0.85618         8
       1.1875     0.96593         8
       1.2375     0.79707         8
       1.2875     0.85024        16
       1.3625     0.95968        16
       1.4375     0.87392         8
       1.4625     0.99341         8
       1.4875     0.83039         8
       1.5625     0.98391        16
       1.6375     0.93407         8
       1.6625     0.99877         8
       1.6875     0.91618         8
       1.7125     0.88768         8
       1.7375     1.00173         8
       1.7625     0.99546         8
       1.8375     0.98879        16
       1.8875     0.97931        16
       1.9125     0.95588         8
       1.9375     1.00002        12
       2.0125     1.00053        16
       2.0375     1.00181         8
       2.0875     0.99433         8
       2.1125     0.99488         8
       2.1375     0.99796        16
       2.1875     1.00141        16
NODE i01j03k02                  15.82907
       0.0125     1.00192        60
       0.1875     1.00139         8
       0.2375     1.00269         8
       0.2625     1.00140         8
       0.4125     1.00244         8
       0.4625     1.00170         8
       0.4875     1.00169        12
       0.6125     1.00249         8
       0.6625     1.00274         8
       0.7125     1.00198        16
       0.8125     1.00138         8
       0.8875     1.00280         8
       0.9125     1.00182         8
       0.9375     1.00230         8
       0.9875     1.00215         8
       1.0625     1.00175         8
       1.1125     1.00193         8
       1.1625     1.00266        24
       1.2375     1.00251         8
