ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
1,1,8,1,3.75e+20,0.00158489,0.003,0.5508,1.556,1.33088,39.9268,23.9561,18,0.491975,-0.045099,-0.367464,-0.0440653,-0.367145,-0.391702,-0.391427,-0.391702,-0.391427,22.7583,22.7583,0.421602,-0.158533,-0.517091,-0.154899,-0.516641,-0.516322,-0.51596,-0.516322,-0.51596,0.572834,-0.288134,-0.484674
2,1,9,1,3.75e+20,0.00235195,0.003,0.698,1.824,1.35462,40.6379,24.3827,18,0.397617,-0.0220136,-0.255187,-0.0216616,-0.255025,-0.294369,-0.294213,-0.294369,-0.294213,23.1636,23.1636,0.340124,-0.104198,-0.383387,-0.102532,-0.383144,-0.412928,-0.412708,-0.412928,-0.412708,0.48757,-0.18938,-0.4046
3,1,9,2,3.75e+20,0.00235195,0.0038356,0.5868,1.82,1.70831,51.2497,27,18,0.522266,0.012701,-0.250251,0.0123791,-0.249997,-0.323292,-0.323052,-0.323292,-0.323052,25.65,25.65,0.885617,0.665915,0.17313,0.649038,0.172954,-0.0273607,-0.0273405,-0.0273607,-0.0273405,1.18505,1.2103,-0.000747608
4,1,10,1,3.75e+20,0.00349025,0.003,0.8811,2.222,1.39669,41.9006,25.1404,18,0.317418,-0.00815223,-0.176961,-0.0080596,-0.176878,-0.225352,-0.225261,-0.225352,-0.225261,23.8834,23.8834,0.265778,-0.0735678,-0.27281,-0.0727319,-0.272682,-0.320057,-0.319928,-0.320057,-0.319928,0.399348,-0.13371,-0.320801
5,1,10,2,3.75e+20,0.00349025,0.0038356,0.7401,2.214,1.75319,52.5963,27,18,0.429442,0.0249365,-0.138754,0.0244886,-0.138651,-0.210186,-0.210062,-0.210186,-0.210062,25.65,25.65,0.718369,0.477051,0.0928648,0.468481,0.0927959,-0.0326626,-0.0326433,-0.0326626,-0.0326433,1.01239,0.867041,-0.0188654
6,1,10,3,3.75e+20,0.00349025,0.00490394,0.6167,2.201,2.23485,67.045,27,18,0.562862,0.0864981,-0.0294189,0.0839828,-0.0293832,-0.101926,-0.101828,-0.101926,-0.101828,25.65,25.65,0.658071,0.275914,0.224767,0.26789,0.224494,0.0867729,0.0866889,0.0867729,0.0866889,0.862388,0.501474,0.11494
7,1,10,4,3.75e+20,0.00349025,0.00626986,0.5192,2.181,2.82477,84.7431,27,18,0.689616,0.160773,0.0774856,0.153394,0.0773346,-0.00380966,-0.00380373,-0.00380966,-0.00380373,25.65,25.65,0.727089,0.261062,0.328315,0.249079,0.327675,0.13466,0.134451,0.13466,0.134451,0.891146,0.474481,0.16737
8,1,11,1,3.75e+20,0.00517947,0.003,1.1389,2.813,1.41265,42.3791,25.4274,18,0.241079,0.0023277,-0.108334,0.0023098,-0.108299,-0.151147,-0.151104,-0.151147,-0.151104,24.1561,24.1561,0.777956,0.668195,-0.158434,0.663054,-0.158382,-0.2001,-0.200042,-0.2001,-0.200042,1.22497,1.21445,-0.201617
9,1,11,2,3.75e+20,0.00517947,0.0038356,0.9515,2.802,1.77054,53.1167,27,18,0.335729,0.027445,-0.0707814,0.0271094,-0.0707449,-0.128502,-0.128446,-0.128502,-0.128446,25.65,25.65,0.577299,0.361416,0.0876816,0.356996,0.0876364,-0.00780766,-0.00780425,-0.00780766,-0.00780425,0.859056,0.656874,0.00335909
10,1,11,3,3.75e+20,0.00517947,0.00490394,0.7913,2.782,2.24546,67.3642,27,18,0.455475,0.0691507,0.00620786,0.0677846,0.00620265,-0.0471755,-0.0471418,-0.0471755,-0.0471418,25.65,25.65,0.559043,0.241006,0.288202,0.236244,0.287961,0.182365,0.182235,0.182365,0.182235,0.776787,0.438028,0.205548
