ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
1,1,8,1,3.75e+20,0.00158489,0.003,0.5508,1.556,1.33088,39.9268,23.9561,18,0.491975,-0.045099,-0.367464,-0.0440653,-0.367145,-0.391702,-0.391427,-0.391702,-0.391427,22.7583,22.7583,0.420497,-0.15967,-0.510571,-0.156011,-0.510127,-0.511599,-0.51124,-0.511599,-0.51124,0.571333,-0.290201,-0.480313
2,1,9,1,3.75e+20,0.00235195,0.003,0.698,1.824,1.35462,40.6379,24.3827,18,0.397617,-0.0220136,-0.255187,-0.0216616,-0.255025,-0.294369,-0.294213,-0.294369,-0.294213,23.1636,23.1636,0.339303,-0.104851,-0.378787,-0.103175,-0.378546,-0.409682,-0.409465,-0.409682,-0.409465,0.486393,-0.190567,-0.401458
3,1,9,2,3.75e+20,0.00235195,0.0038356,0.5868,1.82,1.70831,51.2497,27,18,0.522266,0.012701,-0.250251,0.0123791,-0.249997,-0.323292,-0.323052,-0.323292,-0.323052,25.65,25.65,1.84878,2.38045,1.80424,2.32012,1.8024,1.15993,1.15907,1.15993,1.15907,2.47387,4.32648,1.32732
4,1,10,1,3.75e+20,0.00349025,0.003,0.8811,2.222,1.39669,41.9006,25.1404,18,0.317418,-0.00815223,-0.176961,-0.0080596,-0.176878,-0.225352,-0.225261,-0.225352,-0.225261,23.8834,23.8834,0.265339,-0.073745,-0.269907,-0.0729071,-0.269781,-0.318276,-0.318147,-0.318276,-0.318147,0.398689,-0.134032,-0.31903
5,1,10,2,3.75e+20,0.00349025,0.0038356,0.7401,2.214,1.75319,52.5963,27,18,0.429442,0.0249365,-0.138754,0.0244886,-0.138651,-0.210186,-0.210062,-0.210186,-0.210062,25.65,25.65,1.436,1.58855,0.843842,1.56001,0.843216,0.561739,0.561408,0.561739,0.561408,2.02374,2.88719,0.628753
6,1,10,3,3.75e+20,0.00349025,0.00490394,0.6167,2.201,2.23485,67.045,27,18,0.562862,0.0864981,-0.0294189,0.0839828,-0.0293832,-0.101926,-0.101828,-0.101926,-0.101828,25.65,25.65,0.955104,0.840047,0.739306,0.815619,0.738408,0.492518,0.492041,0.492518,0.492041,1.25164,1.52679,0.556795
7,1,10,4,3.75e+20,0.00349025,0.00626986,0.5192,2.181,2.82477,84.7431,27,18,0.689616,0.160773,0.0774856,0.153394,0.0773346,-0.00380966,-0.00380373,-0.00380966,-0.00380373,25.65,25.65,0.910482,0.709654,0.365085,0.67708,0.364374,0.157546,0.157301,0.157546,0.157301,1.11592,1.2898,0.192969
8,1,11,1,3.75e+20,0.00517947,0.003,1.1389,2.813,1.41265,42.3791,25.4274,18,0.241079,0.0023277,-0.108334,0.0023098,-0.108299,-0.151147,-0.151104,-0.151147,-0.151104,24.1561,24.1561,3.10495,3.53676,-0.0368469,3.50955,-0.036835,-0.091728,-0.0917015,-0.091728,-0.0917015,4.88907,6.42808,-0.0924235
9,1,11,2,3.75e+20,0.00517947,0.0038356,0.9515,2.802,1.77054,53.1167,27,18,0.335729,0.027445,-0.0707814,0.0271094,-0.0707449,-0.128502,-0.128446,-0.128502,-0.128446,25.65,25.65,1.15207,1.14974,0.595432,1.13568,0.595125,0.421142,0.420958,0.421142,0.420958,1.71435,2.08966,0.460813
10,1,11,3,3.75e+20,0.00517947,0.00490394,0.7913,2.782,2.24546,67.3642,27,18,0.455475,0.0691507,0.00620786,0.0677846,0.00620265,-0.0471755,-0.0471418,-0.0471755,-0.0471418,25.65,25.65,0.847473,0.704026,0.775532,0.690118,0.774882,0.592951,0.592529,0.592951,0.592529,1.17756,1.27957,0.643323
