ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
1,1,8,1,3.75e+20,0.00158489,0.003,0.5508,1.556,1.33088,39.9268,23.9561,18,0.491975,-0.045099,-0.367464,0.426033,-0.153141,-0.50702
2,1,9,1,3.75e+20,0.00235195,0.003,0.698,1.824,1.35462,40.6379,24.3827,18,0.397617,-0.0220136,-0.255187,0.337933,-0.106659,-0.364155
3,1,9,2,3.75e+20,0.00235195,0.0038356,0.5868,1.82,1.70831,51.2497,27,18,0.522266,0.012701,-0.250251,1.8544,2.388,1.80823
4,1,10,1,3.75e+20,0.00349025,0.003,0.8811,2.222,1.39669,41.9006,25.1404,18,0.317418,-0.00815223,-0.176961,0.264561,-0.0744672,-0.269278
5,1,10,2,3.75e+20,0.00349025,0.0038356,0.7401,2.214,1.75319,52.5963,27,18,0.429442,0.0249365,-0.138754,1.43462,1.5839,0.851035
6,1,10,3,3.75e+20,0.00349025,0.00490394,0.6167,2.201,2.23485,67.045,27,18,0.562862,0.0864981,-0.0294189,0.962278,0.851473,0.741321
7,1,10,4,3.75e+20,0.00349025,0.00626986,0.5192,2.181,2.82477,84.7431,27,18,0.689616,0.160773,0.0774856,0.908957,0.709133,0.377573
8,1,11,1,3.75e+20,0.00517947,0.003,1.1389,2.813,1.41265,42.3791,25.4274,18,0.241079,0.0023277,-0.108334,3.15484,3.59694,-0.0350878
9,1,11,2,3.75e+20,0.00517947,0.0038356,0.9515,2.802,1.77054,53.1167,27,18,0.335729,0.027445,-0.0707814,1.15139,1.14827,0.601238
10,1,11,3,3.75e+20,0.00517947,0.00490394,0.7913,2.782,2.24546,67.3642,27,18,0.455475,0.0691507,0.00620786,0.853181,0.711393,0.789536
11,1,11,4,3.75e+20,0.00517947,0.00626986,0.6605,2.75,2.851,85.5305,27,18,0.588722,0.128359,0.0968466,0.840423,0.635703,0.386063
12,1,11,5,3.75e+20,0.00517947,0.00801622,0.5619,2.706,3.55146,106.544,27,18,0.634723,0.408719,0.509834,0.908277,0.844351,0.96233
13,1,12,1,3.75e+20,0.00768625,0.003,1.48,3.691,1.44685,43.4051,26.043,18,0.182847,0.0100381,-0.060014,1.63321,1.69273,0.368069
14,1,12,2,3.75e+20,0.00768625,0.0038356,1.2258,3.673,1.80865,54.259,27,18,0.258523,0.028446,-0.024165,0.972882,0.926803,0.447031
15,1,12,3,3.75e+20,0.00768625,0.00490394,1.0127,3.642,2.28881,68.6641,27,18,0.363695,0.059978,0.0327552,0.653485,0.473485,0.382466
