! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 3502456 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.425     21.30    0.1500         48    0.9829    0.9963    0.9963
    20.475     21.10    0.0750         52    0.9829    0.9829    0.9829
    20.475     21.10    0.1500        132    0.9829    0.9963    0.9963
    20.525     20.90    0.0750        128    0.9566    0.9697    0.9829
    20.525     21.10    0.0750         60    0.9697    0.9829    0.9829
    20.525     21.10    0.1500         40    0.9963    0.9963    0.9963
    20.575     20.50   -0.0350         20    0.9185    0.9185    0.9185
    20.575     20.50   -0.0100         36    0.9185    0.9185    0.9310
    20.575     20.50    0.0750         32    0.9697    0.9829    1.2044
    20.575     20.70   -0.1500       1012    0.9566    0.9697    0.9697
    20.575     20.70   -0.0750       1564    0.9566    0.9697    0.9829
    20.575     20.70   -0.0350       1132    0.9566    0.9697    0.9829
    20.575     20.70   -0.0100        124    0.9310    0.9437    0.9566
    20.575     20.70    0.0100         64    0.9566    0.9566    0.9697
    20.575     20.70    0.0750         84    0.9437    1.0099    1.0954
    20.575     20.90   -0.1500        556    0.9829    0.9829    0.9963
    20.575     20.90   -0.0750       2152    0.9829    0.9963    0.9963
    20.575     20.90   -0.0350       5008    0.9829    0.9963    0.9963
    20.575     20.90   -0.0100      24376    0.9963    0.9963    1.0099
    20.575     20.90    0.0100      25188    1.0099    1.0099    1.0099
    20.575     20.90    0.0750         32    0.9963    1.0099    1.0237
    20.625     20.30   -0.6000         40    0.9061    0.9061    0.9061
    20.625     20.30   -0.1500        236    0.9061    0.9061    0.9185
    20.625     20.30   -0.0750         52    0.9061    0.9185    0.9310
    20.625     20.30    0.0100         36    0.9061    0.9185    0.9185
    20.625     20.30    0.0750         24    1.0807    1.0807    1.3243
    20.625     20.50   -0.6000        116    0.9185    0.9310    0.9310
    20.625     20.50   -0.1500        592    0.9185    0.9310    0.9437
    20.625     20.50   -0.0750       1500    0.9310    0.9437    0.9437
    20.625     20.50   -0.0350        396    0.9185    0.9829    0.9829
    20.625     20.50    0.0100         52    0.9185    0.9566    0.9697
    20.625     20.50    0.0750         20    1.0518    1.3243    1.3792
