! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 334 nodes measured, 0 not measured, 4152706 pixels
! 4152706 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.425     23.70    0.1500         28    0.9912    0.9912    0.9912
    20.425     23.90    0.1500         20    0.9912    0.9912    0.9912
    20.475     23.70    0.0750         52    0.9779    0.9779    0.9779
    20.475     23.70    0.1500        140    0.9779    0.9912    0.9912
    20.525     23.30    0.0750         48    0.9517    0.9517    0.9779
    20.525     23.50    0.0750        160    0.9647    0.9779    1.0048
    20.525     23.70    0.1500         24    0.9912    0.9912    0.9912
    20.575     22.90    0.0750         28    0.9647    1.0048    1.2147
    20.575     23.10   -0.1500        452    0.9517    0.9517    0.9647
    20.575     23.10   -0.0750        608    0.9517    0.9647    0.9647
    20.575     23.10   -0.0350        248    0.9389    0.9517    0.9779
    20.575     23.10   -0.0100         72    0.9138    0.9389    0.9389
    20.575     23.10    0.0100         56    0.9263    0.9517    0.9517
    20.575     23.10    0.0750         52    0.9517    0.9647    1.1047
    20.575     23.30   -0.1500       1092    0.9647    0.9779    0.9912
    20.575     23.30   -0.0750       2296    0.9779    0.9779    0.9912
    20.575     23.30   -0.0350       3120    0.9779    0.9912    0.9912
    20.575     23.30   -0.0100       2780    0.9912    0.9912    0.9912
    20.575     23.30    0.0100         56    0.9647    0.9647    0.9779
    20.575     23.30    0.0750         64    0.9517    1.0185    1.0324
    20.575     23.50   -0.0750        844    0.9912    1.0048    1.0048
    20.575     23.50   -0.0350       2784    1.0048    1.0048    1.0048
    20.575     23.50   -0.0100      21656    1.0048    1.0048    1.0048
    20.575     23.50    0.0100      25100    1.0048    1.0048    1.0048
    20.625     22.50   -0.6000         52    0.8774    0.8774    0.8774
    20.625     22.50   -0.1500         96    0.8425    0.8540    0.8656
    20.625     22.50   -0.0750         36    0.8540    0.8656    0.8656
    20.625     22.50   -0.0350         28    0.8425    0.8656    0.8656
    20.625     22.50   -0.0100         48    0.8540    0.8656    0.8774
    20.625     22.70   -0.6000         88    0.8774    0.8894    0.9015
    20.625     22.70   -0.1500        392    0.8894    0.9015    0.9138
    20.625     22.70   -0.0750        100    0.8774    0.9015    0.9263
