! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 2503144 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.775     23.50    0.0350         20    1.0807    1.1255    1.1255
    20.925     23.50   -0.0750         76    0.9185    0.9185    0.9310
    20.925     23.50    0.0100         36    0.9310    0.9437    0.9566
    20.925     23.70   -0.1500         88    0.9061    0.9061    0.9185
    20.925     23.70   -0.0750        464    0.9185    0.9310    0.9437
    20.925     23.70   -0.0350         84    0.9061    0.9437    0.9566
    20.925     23.70   -0.0100         72    0.9061    0.9310    0.9437
    20.925     23.70    0.0100         52    0.9185    0.9310    0.9437
    20.975     22.90    0.0350         28    1.0518    1.0807    1.3243
    20.975     23.10   -0.0750         28    0.9185    0.9185    0.9185
    20.975     23.10    0.0350         36    1.0661    1.0661    1.0954
    20.975     23.30   -0.0750        248    0.9185    0.9310    0.9437
    20.975     23.30    0.0350         24    1.0099    1.0237    1.2715
    20.975     23.30    0.0750         20    1.3423    2.1279    2.2771
    20.975     23.50   -0.0750        284    0.9185    0.9310    0.9437
    20.975     23.50   -0.0100         36    0.9697    0.9697    0.9829
    20.975     23.50    0.0100         24    0.9697    0.9697    0.9829
    20.975     23.50    0.0350         20    0.9963    0.9963    0.9963
    20.975     23.70   -0.0750        140    0.9566    0.9697    0.9829
    20.975     23.70   -0.0350        376    0.9829    0.9963    1.0099
    20.975     23.70   -0.0100        540    0.9963    1.0099    1.0237
    20.975     23.70    0.0100        324    1.0099    1.0099    1.0099
    21.025     22.30    0.0350         20    1.0237    1.0518    1.0518
    21.025     22.50    0.0100         24    0.9061    0.9061    0.9697
    21.025     22.70    0.0750         20    1.2375    1.6228    1.8332
    21.025     22.90   -0.0750         56    0.9437    0.9437    0.9437
    21.025     23.10   -0.0750        240    0.9310    0.9566    0.9566
    21.025     23.10   -0.0350         80    0.9566    0.9566    0.9697
    21.025     23.10    0.1500         36    1.0099    1.0099    1.0099
    21.025     23.30   -0.0750         40    0.9437    0.9437    0.9963
    21.025     23.30   -0.0350         40    0.9437    0.9437    0.9963
    21.025     23.30    0.0350         24    1.0237    1.0237    1.0237
    21.025     23.30    0.1500         32    1.0099    1.0099    1.0099
    21.025     23.50   -0.0750         72    0.9829    0.9963    1.0099
    21.025     23.50   -0.0350         44    0.9963    1.0099    1.0237
    21.025     23.50   -0.0100        876    1.0099    1.0237    1.0237
    21.025     23.50    0.0100       7328    1.0099    1.0099    1.0237
    21.025     23.50    0.0350         60    1.0237    1.0237    1.0237
    21.025     23.70   -0.0750         32    0.9963    1.0099    1.0099
    21.025     23.70   -0.0100      12060    1.0099    1.0099    1.0099
    21.025     23.70    0.0100      12516    1.0099    1.0099    1.0099
    21.075     22.10    0.0750         20    1.8332    2.4039    2.5724
    21.075     22.50   -0.0350         36    0.9185    0.9310    0.9310
    21.075     22.50    0.0750         28    1.0237    1.0237    1.0237
