# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 34961 rows from 21 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   0.9854444   8.103629e+19   0.8739248    0.187342   1.0014317   -0.014339     0.21610        1  i01j08k01
   0.9854444   8.103629e+19   0.8739248    0.187342   1.0014317   -0.014339     0.21610        1  i01j08k01
   1.0621233   1.178248e+20   1.0267402    0.173883   1.0025089   -0.025383     0.31420        1  i01j08k01
   1.0621233   1.178248e+20   1.0267402    0.173883   1.0025089   -0.025383     0.31420        1  i01j08k01
   0.9993398   8.489467e+19   0.8938294    0.185127   1.0024477   -0.024958     0.22639        1  i01j08k01
   1.0616005   1.526058e+20   1.1191247    0.162500   1.0033815   -0.034252     0.40695        1  i01j08k01
   1.0618010   1.683023e+20   1.1535223    0.156721   1.0038748   -0.039259     0.44881        1  i01j08k01
   1.0619961   1.216191e+20   1.0380507    0.172752   1.0028168   -0.028570     0.32432        1  i01j08k01
   1.0621789   1.160287e+20   1.0214773    0.174500   1.0031436   -0.032015     0.30941        1  i01j08k01
   1.0631850   1.931932e+20   1.1989773    0.147461   1.0044101   -0.044577     0.51518        1  i01j08k01
   1.0640774   2.079143e+20   1.2203322    0.140928   1.0049872   -0.050383     0.55444        1  i01j08k01
   1.0618543   1.624167e+20   1.1411221    0.159468   1.0036930   -0.037413     0.43311        1  i01j08k01
   1.0331685   9.554692e+19   0.9444240    0.181114   1.0030900   -0.031599     0.25479        1  i01j08k01
   1.0638061   1.987261e+20   1.2074973    0.145554   1.0045081   -0.045525     0.52994        1  i01j08k01
   1.0669419   2.400397e+20   1.2497809    0.124784   1.0060967   -0.061333     0.64011        1  i01j08k01
   1.0657567   2.270004e+20   1.2408697    0.131994   1.0054136   -0.054518     0.60533        1  i01j08k01
   1.0617416   1.526283e+20   1.1192286    0.163172   1.0037368   -0.037941     0.40701        1  i01j08k01
   1.0617349   1.235873e+20   1.0438110    0.172329   1.0034158   -0.034803     0.32957        1  i01j08k01
   1.0661707   2.286073e+20   1.2421679    0.131395   1.0053282   -0.053606     0.60962        1  i01j08k01
   1.0688545   2.654472e+20   1.2526876    0.108232   1.0072642   -0.072742     0.70786        1  i01j08k01
   1.0681996   2.538130e+20   1.2537691    0.116381   1.0064559   -0.064739     0.67683        1  i01j08k01
   1.0630688   1.856029e+20   1.1863273    0.151293   1.0042972   -0.043474     0.49494        1  i01j08k01
   0.9993398   8.489467e+19   0.8938294    0.185127   1.0024477   -0.024958     0.22639        1  i01j08k01
   1.0651395   2.131255e+20   1.2267405    0.139343   1.0048804   -0.049202     0.56833        1  i01j08k01
   1.0696025   2.750581e+20   1.2484680    0.100212   1.0075769   -0.075659     0.73349        1  i01j08k01
   1.0698536   2.857900e+20   1.2408260    0.089720   1.0085266   -0.084986     0.76211        1  i01j08k01
   1.0682684   2.522680e+20   1.2535419    0.117437   1.0062005   -0.062149     0.67271        1  i01j08k01
   1.0617416   1.526283e+20   1.1192286    0.163172   1.0037368   -0.037941     0.40701        1  i01j08k01
   1.0615930   1.408869e+20   1.0906216    0.166817   1.0033912   -0.034431     0.37570        1  i01j08k01
   1.0687510   2.551788e+20   1.2537860    0.115467   1.0063027   -0.063133     0.68048        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.0687510   2.551788e+20   1.2537860    0.115467   1.0063027   -0.063133     0.68048        1  i01j08k01
   1.0615930   1.408869e+20   1.0906216    0.166817   1.0033912   -0.034431     0.37570        1  i01j08k01
   1.0618543   1.624167e+20   1.1411221    0.159468   1.0036930   -0.037413     0.43311        1  i01j08k01
   1.0695446   2.709088e+20   1.2505448    0.103678   1.0071408   -0.071323     0.72242        1  i01j08k01
   1.0747934   3.139424e+20   1.2148579    0.039957   1.0107887   -0.106705     0.83718        1  i01j08k01
   1.0747934   3.139424e+20   1.2148579    0.039957   1.0107887   -0.106705     0.83718        1  i01j08k01
   1.0695446   2.709088e+20   1.2505448    0.103678   1.0071408   -0.071323     0.72242        1  i01j08k01
   1.0618543   1.624167e+20   1.1411221    0.159468   1.0036930   -0.037413     0.43311        1  i01j08k01
   1.0615199   1.389216e+20   1.0855245    0.167189   1.0030840   -0.031248     0.37046        1  i01j08k01
   1.0690380   2.653823e+20   1.2526081    0.108156   1.0069061   -0.069075     0.70769        1  i01j08k01
   1.0797617   3.199530e+20   1.2110559    0.022421   1.0112751   -0.111324     0.85321        1  i01j08k01
   1.1083970   3.333308e+20   1.2079870   -0.028715   1.0126755   -0.124760     0.88888        1  i01j08k01
   1.0709178   2.974225e+20   1.2297606    0.073782   1.0091211   -0.090565     0.79313        1  i01j08k01
   1.0649314   2.149514e+20   1.2288521    0.138077   1.0049601   -0.050005     0.57320        1  i01j08k01
   1.0627672   1.085672e+20   0.9980024    0.176912   1.0022654   -0.022892     0.28951        1  i01j08k01
   1.0681996   2.538130e+20   1.2537691    0.116381   1.0064559   -0.064739     0.67683        1  i01j08k01
   1.0797617   3.199530e+20   1.2110559    0.022421   1.0112751   -0.111324     0.85321        1  i01j08k01
   1.1955245   3.515503e+20   1.2159539   -0.115114   1.0141469   -0.138735     0.93747        1  i01j08k01
   1.0797617   3.199530e+20   1.2110559    0.022421   1.0112751   -0.111324     0.85321        1  i01j08k01
   1.0681996   2.538130e+20   1.2537691    0.116381   1.0064559   -0.064739     0.67683        1  i01j08k01
   1.0627672   1.085672e+20   0.9980024    0.176912   1.0022654   -0.022892     0.28951        1  i01j08k01
   1.0637920   2.024503e+20   1.2129314    0.143423   1.0047451   -0.047943     0.53987        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.2157373   3.540369e+20   1.2181363   -0.129478   1.0143031   -0.140192     0.94410        1  i01j08k01
   1.2157373   3.540369e+20   1.2181363   -0.129478   1.0143031   -0.140192     0.94410        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.0637920   2.024503e+20   1.2129314    0.143423   1.0047451   -0.047943     0.53987        1  i01j08k01
   0.9991819   8.482702e+19   0.8932551    0.185692   1.0016011   -0.016094     0.22621        1  i01j08k01
   1.0669419   2.400397e+20   1.2497809    0.124784   1.0060967   -0.061333     0.64011        1  i01j08k01
   1.0779761   3.184840e+20   1.2119122    0.027334   1.0112917   -0.111565     0.84929        1  i01j08k01
   1.3993984   3.753999e+20   1.2394991   -0.238628   1.0156171   -0.152613     1.00107        1  i01j08k01
   1.1786927   3.489017e+20   1.2140697   -0.101660   1.0139321   -0.136690     0.93040        1  i01j08k01
   1.0698536   2.857900e+20   1.2408260    0.089720   1.0085266   -0.084986     0.76211        1  i01j08k01
   1.0618009   1.683023e+20   1.1535223    0.156721   1.0038748   -0.039259     0.44881        1  i01j08k01
   1.0616451   1.254128e+20   1.0489024    0.171257   1.0027694   -0.028059     0.33443        1  i01j08k01
   1.0689520   2.668537e+20   1.2522698    0.107164   1.0073855   -0.073946     0.71161        1  i01j08k01
   1.1147448   3.352906e+20   1.2082320   -0.037182   1.0128741   -0.126665     0.89411        1  i01j08k01
   1.4982794   3.846794e+20   1.2505453   -0.285524   1.0160922   -0.157093     1.02581        1  i01j08k01
   1.1147448   3.352906e+20   1.2082320   -0.037182   1.0128741   -0.126665     0.89411        1  i01j08k01
   1.0689520   2.668537e+20   1.2522698    0.107164   1.0073855   -0.073946     0.71161        1  i01j08k01
   1.0616451   1.254128e+20   1.0489024    0.171257   1.0027694   -0.028059     0.33443        1  i01j08k01
   1.0618009   1.683023e+20   1.1535223    0.156721   1.0038748   -0.039259     0.44881        1  i01j08k01
   1.0698536   2.857900e+20   1.2408260    0.089720   1.0085266   -0.084986     0.76211        1  i01j08k01
   1.1786927   3.489017e+20   1.2140697   -0.101660   1.0139321   -0.136690     0.93040        1  i01j08k01
   1.3993984   3.753999e+20   1.2394991   -0.238628   1.0156171   -0.152613     1.00107        1  i01j08k01
   1.0779761   3.184840e+20   1.2119122    0.027334   1.0112917   -0.111565     0.84929        1  i01j08k01
   1.0669419   2.400397e+20   1.2497809    0.124784   1.0060967   -0.061333     0.64011        1  i01j08k01
   0.9991819   8.482702e+19   0.8932551    0.185692   1.0016011   -0.016094     0.22621        1  i01j08k01
   1.0637920   2.024503e+20   1.2129314    0.143423   1.0047451   -0.047943     0.53987        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.2157373   3.540369e+20   1.2181363   -0.129478   1.0143031   -0.140192     0.94410        1  i01j08k01
   1.2157373   3.540369e+20   1.2181363   -0.129478   1.0143031   -0.140192     0.94410        1  i01j08k01
   1.0710402   2.987464e+20   1.2284687    0.071857   1.0094393   -0.093739     0.79666        1  i01j08k01
   1.0637920   2.024503e+20   1.2129314    0.143423   1.0047451   -0.047943     0.53987        1  i01j08k01
   1.0627672   1.085672e+20   0.9980024    0.176912   1.0022654   -0.022892     0.28951        1  i01j08k01
   1.0681996   2.538130e+20   1.2537691    0.116381   1.0064559   -0.064739     0.67683        1  i01j08k01
   1.0797617   3.199530e+20   1.2110559    0.022421   1.0112751   -0.111324     0.85321        1  i01j08k01
   1.1955245   3.515503e+20   1.2159539   -0.115114   1.0141469   -0.138735     0.93747        1  i01j08k01
   1.0797617   3.199530e+20   1.2110559    0.022421   1.0112751   -0.111324     0.85321        1  i01j08k01
   1.0681996   2.538130e+20   1.2537691    0.116381   1.0064559   -0.064739     0.67683        1  i01j08k01
