# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   0.9609794   1.400756e+21   0.8802999    1.054218   1.0699328   -0.413241     0.23346        1  i05j10k01
   0.9617638   1.588744e+21   0.9189611    1.022966   1.0706882   -0.415972     0.26479        1  i05j10k01
   0.9652284   1.724526e+21   0.9454011    0.999681   1.0710847   -0.417050     0.28742        1  i05j10k01
   0.9680679   1.806768e+21   0.9609009    0.984766   1.0714289   -0.418291     0.30113        1  i05j10k01
   0.9694183   1.833758e+21   0.9660263    0.979563   1.0715879   -0.418954     0.30563        1  i05j10k01
   0.9680679   1.806768e+21   0.9609009    0.984766   1.0714289   -0.418291     0.30113        1  i05j10k01
   0.9652284   1.724526e+21   0.9454011    0.999681   1.0710847   -0.417050     0.28742        1  i05j10k01
   0.9617638   1.588744e+21   0.9189611    1.022966   1.0706882   -0.415972     0.26479        1  i05j10k01
   0.9609794   1.400756e+21   0.8802999    1.054218   1.0699328   -0.413241     0.23346        1  i05j10k01
   0.9641505   1.528561e+21   0.9072727    1.034626   1.0695676   -0.409968     0.25476        1  i05j10k01
   0.9713589   1.829567e+21   0.9656088    0.981026   1.0710539   -0.415893     0.30493        1  i05j10k01
   0.9831702   2.077100e+21   1.0094204    0.933065   1.0723558   -0.421062     0.34618        1  i05j10k01
   0.9960816   2.264169e+21   1.0403625    0.893600   1.0731844   -0.423923     0.37736        1  i05j10k01
   1.0070742   2.392931e+21   1.0606001    0.864141   1.0736433   -0.425160     0.39882        1  i05j10k01
   1.0142668   2.468123e+21   1.0720858    0.845589   1.0740194   -0.426450     0.41135        1  i05j10k01
   1.0163572   2.493822e+21   1.0758194    0.839215   1.0741860   -0.427108     0.41564        1  i05j10k01
   1.0142668   2.468123e+21   1.0720858    0.845589   1.0740194   -0.426450     0.41135        1  i05j10k01
   1.0070742   2.392931e+21   1.0606001    0.864141   1.0736433   -0.425160     0.39882        1  i05j10k01
   0.9960816   2.264169e+21   1.0403625    0.893600   1.0731844   -0.423923     0.37736        1  i05j10k01
   0.9831702   2.077100e+21   1.0094204    0.933065   1.0723558   -0.421062     0.34618        1  i05j10k01
   0.9713589   1.829567e+21   0.9656088    0.981026   1.0710539   -0.415893     0.30493        1  i05j10k01
   0.9641505   1.528561e+21   0.9072727    1.034626   1.0695676   -0.409968     0.25476        1  i05j10k01
   0.9645697   1.394437e+21   0.8794915    1.056635   1.0690017   -0.407839     0.23241        1  i05j10k01
   0.9728790   1.796466e+21   0.9599758    0.987543   1.0703050   -0.411834     0.29941        1  i05j10k01
   0.9910978   2.150432e+21   1.0221645    0.918570   1.0716311   -0.416150     0.35841        1  i05j10k01
   1.0140654   2.436921e+21   1.0679051    0.852791   1.0732178   -0.422204     0.40615        1  i05j10k01
   1.0374865   2.653337e+21   1.0995942    0.794566   1.0746007   -0.427437     0.44222        1  i05j10k01
