# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: hi.surface.density.r13p5.fits
# ABOUT CENTRAL POSITION (X1,Y1): 44,44 (PIXELS)
# TOTAL VALUE:  6.5545055E+24
# TOTAL STDEV:  1.2317611E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  8.5540077E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  8.3729787E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  7.6214248E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  7.1414269E+21  3.0090941E+14  1.3568023E-01
    5   1.2000000E+01  0.0000000E+00  6.6170900E+21  7.0204600E+19  1.6043484E-01
    6   1.5000000E+01  0.0000000E+00  5.8806373E+21  2.3650329E+20  2.6507356E-01
    7   1.8000000E+01  0.0000000E+00  5.1939220E+21  1.0502297E+20  5.2876522E-01
    8   2.1000000E+01  0.0000000E+00  4.6379740E+21  1.5577349E+20  6.8108264E-01
    9   2.4000000E+01  0.0000000E+00  4.0747822E+21  1.5552929E+20  7.3442072E-01
   10   2.7000000E+01  0.0000000E+00  3.5787570E+21  1.1608391E+20  9.6951241E-01
   11   3.0000000E+01  0.0000000E+00  3.1682535E+21  1.1404389E+20  1.1020413E+00
   12   3.3000000E+01  0.0000000E+00  2.8143683E+21  7.0279890E+19  1.1563632E+00
   13   3.6000000E+01  0.0000000E+00  2.5033303E+21  7.9524784E+19  1.2427076E+00
   14   3.9000000E+01  0.0000000E+00  2.2173361E+21  7.8000672E+19  1.3459834E+00
   15   4.2000000E+01  0.0000000E+00  1.9793408E+21  5.8532141E+19  1.5156335E+00
   16   4.5000000E+01  0.0000000E+00  1.7789251E+21  5.1421947E+19  1.5321248E+00
   17   4.8000000E+01  0.0000000E+00  1.6005947E+21  4.4088934E+19  1.5473278E+00
   18   5.1000000E+01  0.0000000E+00  1.4338883E+21  4.9725413E+19  1.6367598E+00
   19   5.4000000E+01  0.0000000E+00  1.2640792E+21  4.5693598E+19  1.8142031E+00
   20   5.7000000E+01  0.0000000E+00  1.1186705E+21  3.7113105E+19  2.2052022E+00
   21   6.0000000E+01  0.0000000E+00  1.0007669E+21  3.0199876E+19  2.2052022E+00
   22   6.3000000E+01  0.0000000E+00  8.9552838E+20  2.7241128E+19  2.2602057E+00
   23   6.6000000E+01  0.0000000E+00  8.1942277E+20  1.8089543E+19  2.2602057E+00
   24   6.9000000E+01  0.0000000E+00  7.6870127E+20  1.1168528E+19  2.1713238E+00
   25   7.2000000E+01  0.0000000E+00  7.3518592E+20  7.3423898E+18  1.9091517E+00
   26   7.5000000E+01  0.0000000E+00  7.1397522E+20  4.4390468E+18  1.4374622E+00
   27   7.8000000E+01  0.0000000E+00  7.0304139E+20  2.2918379E+18  1.0474484E+00
   28   8.1000000E+01  0.0000000E+00  6.9798532E+20  1.0973948E+18  7.1714214E-01
   29   8.4000000E+01  0.0000000E+00  6.9536508E+20  5.0536332E+17  3.9347807E-01
   30   8.7000000E+01  0.0000000E+00  6.9395556E+20  3.3801871E+17  1.9124616E-01
   31   9.0000000E+01  0.0000000E+00  6.9311828E+20  2.3480161E+17  1.0341797E-01
   32   9.3000000E+01  0.0000000E+00  6.9252656E+20  1.5327442E+17  5.7822736E-02
   33   9.6000000E+01  0.0000000E+00  6.9211413E+20  9.9770922E+16  3.5610989E-02
   34   9.9000000E+01  0.0000000E+00  6.9186815E+20  1.1069399E+17  2.6046479E-02
   35   1.0200000E+02  0.0000000E+00  6.9166432E+20  1.1190223E+17  1.8763921E-02
   36   1.0500000E+02  0.0000000E+00  6.9152670E+20  1.1442940E+17  1.1551895E-02
   37   1.0800000E+02  0.0000000E+00  6.9141239E+20  1.1826431E+17  9.8700407E-03
   38   1.1100000E+02  0.0000000E+00  6.9132837E+20  1.1953846E+17  6.8642331E-03
   39   1.1400000E+02  0.0000000E+00  5.3254525E+20  2.9124829E+20  6.8642331E-03
   40   1.1700000E+02  0.0000000E+00  4.3338736E+20  3.3489510E+20  7.9319380E+00
   41   1.2000000E+02  0.0000000E+00  3.4549589E+20  3.4626968E+20  8.9522432E+00
   42   1.2300000E+02  0.0000000E+00  3.2951296E+20  3.4575455E+20  8.9522432E+00
   43   1.2600000E+02  0.0000000E+00  2.5221176E+20  3.3326893E+20  8.9522432E+00
