# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  8.1722218E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  8.1446775E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  7.9922748E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  7.8781958E+21  1.0000000E-33  2.7251378E-02
    5   1.2000000E+01  0.0000000E+00  7.7358847E+21  2.1778382E+19  3.5456827E-02
    6   1.5000000E+01  0.0000000E+00  7.5148592E+21  7.4025509E+19  6.3365322E-02
    7   1.8000000E+01  0.0000000E+00  7.2759309E+21  4.0010481E+19  1.2990544E-01
    8   2.1000000E+01  0.0000000E+00  7.0500297E+21  6.2899676E+19  1.7721724E-01
    9   2.4000000E+01  0.0000000E+00  6.8091201E+21  6.5808210E+19  2.0460456E-01
   10   2.7000000E+01  0.0000000E+00  6.5911279E+21  5.3960071E+19  2.6038024E-01
   11   3.0000000E+01  0.0000000E+00  6.3962504E+21  5.5259983E+19  2.7625723E-01
   12   3.3000000E+01  0.0000000E+00  6.2164198E+21  3.5797505E+19  2.8485567E-01
   13   3.6000000E+01  0.0000000E+00  6.0517293E+21  4.4160541E+19  2.9921039E-01
   14   3.9000000E+01  0.0000000E+00  5.8857478E+21  4.5650278E+19  3.0858137E-01
   15   4.2000000E+01  0.0000000E+00  5.7394275E+21  3.6058517E+19  3.3969816E-01
   16   4.5000000E+01  0.0000000E+00  5.6162224E+21  3.2875427E+19  3.3969816E-01
   17   4.8000000E+01  0.0000000E+00  5.5034425E+21  2.7119945E+19  3.3969816E-01
   18   5.1000000E+01  0.0000000E+00  5.3988973E+21  2.9838055E+19  3.1635813E-01
   19   5.4000000E+01  0.0000000E+00  5.2986312E+21  2.6722596E+19  3.1635813E-01
   20   5.7000000E+01  0.0000000E+00  5.2116174E+21  2.2671729E+19  3.1635813E-01
   21   6.0000000E+01  0.0000000E+00  5.1362397E+21  1.9882464E+19  3.1635813E-01
   22   6.3000000E+01  0.0000000E+00  5.0624399E+21  2.0868527E+19  3.0625361E-01
   23   6.6000000E+01  0.0000000E+00  4.9974445E+21  1.7178545E+19  2.9663085E-01
