# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: nc.surfdens.r13p5x0.rs3p0as.fits
# ABOUT CENTRAL POSITION (X1,Y1): 37,37 (PIXELS)
# TOTAL VALUE:  1.9853397E+26
# TOTAL STDEV:  9.4599170E+20
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  4.9047105E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  4.9002908E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  4.8768661E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  4.8620398E+22  1.0000000E-33  6.9129999E-03
    5   1.2000000E+01  0.0000000E+00  4.8456456E+22  2.4943748E+19  7.5093003E-03
    6   1.5000000E+01  0.0000000E+00  4.8255357E+22  5.9033987E+19  1.1740617E-02
    7   1.8000000E+01  0.0000000E+00  4.8101124E+22  1.9377688E+19  1.7558536E-02
    8   2.1000000E+01  0.0000000E+00  4.8009378E+22  1.9225114E+19  1.7558536E-02
    9   2.4000000E+01  0.0000000E+00  4.7951474E+22  1.1668205E+19  1.7558536E-02
   10   2.7000000E+01  0.0000000E+00  4.7920078E+22  6.4020866E+18  1.2385051E-02
   11   3.0000000E+01  0.0000000E+00  4.7898126E+22  5.9078228E+18  9.0377612E-03
   12   3.3000000E+01  0.0000000E+00  4.7878298E+22  4.1269807E+18  5.5608436E-03
   13   3.6000000E+01  0.0000000E+00  4.7857744E+22  5.9937742E+18  4.9348848E-03
   14   3.9000000E+01  0.0000000E+00  4.7833126E+22  7.4376838E+18  4.9348848E-03
   15   4.2000000E+01  0.0000000E+00  4.7807613E+22  7.0540594E+18  6.4281820E-03
   16   4.5000000E+01  0.0000000E+00  4.7782013E+22  7.4613067E+18  7.1990599E-03
   17   4.8000000E+01  0.0000000E+00  4.7754442E+22  7.1897536E+18  7.7634526E-03
   18   5.1000000E+01  0.0000000E+00  4.7724685E+22  9.2317533E+18  8.9433810E-03
   19   5.4000000E+01  0.0000000E+00  4.7690981E+22  9.7985122E+18  1.0281671E-02
   20   5.7000000E+01  0.0000000E+00  4.7656838E+22  9.6693809E+18  1.2359705E-02
   21   6.0000000E+01  0.0000000E+00  4.7622781E+22  9.6643134E+18  1.3246048E-02
   22   6.3000000E+01  0.0000000E+00  4.7583768E+22  1.1815079E+19  1.3937004E-02
   23   6.6000000E+01  0.0000000E+00  4.7544835E+22  1.1072214E+19  1.6797549E-02
   24   6.9000000E+01  0.0000000E+00  4.7505473E+22  1.0661309E+19  1.7595401E-02
   25   7.2000000E+01  0.0000000E+00  4.7463557E+22  1.1744301E+19  1.8632169E-02
   26   7.5000000E+01  0.0000000E+00  4.7418143E+22  1.3671746E+19  2.0740772E-02
   27   7.8000000E+01  0.0000000E+00  4.7368699E+22  1.4630017E+19  2.3450306E-02
   28   8.1000000E+01  0.0000000E+00  4.7320503E+22  1.3235178E+19  2.6599895E-02
   29   8.4000000E+01  0.0000000E+00  4.7273138E+22  1.3093305E+19  2.6973275E-02
   30   8.7000000E+01  0.0000000E+00  4.7221229E+22  1.5565686E+19  2.7536260E-02
   31   9.0000000E+01  0.0000000E+00  4.7167179E+22  1.5277465E+19  3.1309333E-02
   32   9.3000000E+01  0.0000000E+00  4.7109980E+22  1.7214763E+19  3.3782260E-02
   33   9.6000000E+01  0.0000000E+00  4.7051648E+22  1.6555568E+19  3.7005762E-02
   34   9.9000000E+01  0.0000000E+00  4.6992590E+22  1.7427834E+19  3.9024653E-02
   35   1.0200000E+02  0.0000000E+00  4.6930212E+22  1.9389760E+19  4.0815303E-02
   36   1.0500000E+02  0.0000000E+00  4.6867307E+22  1.7119865E+19  4.4494030E-02
