# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r500.cfg.00.tempers.fits
# ABOUT CENTRAL POSITION (X1,Y1): 48,48 (PIXELS)
# TOTAL VALUE:  6.9686188E+04
# TOTAL STDEV:  7.1462146E+01
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  9.7174339E+00  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  9.7202590E+00  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  9.7367029E+00  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  9.7468290E+00  1.0000000E-33 -1.0000000E-33
    5   1.2000000E+01  0.0000000E+00  9.7594713E+00  2.2435423E-03 -2.4385756E-03
    6   1.5000000E+01  0.0000000E+00  9.7788417E+00  6.5455353E-03 -2.5636083E-03
    7   1.8000000E+01  0.0000000E+00  9.7983125E+00  3.0063723E-03 -4.5057372E-03
    8   2.1000000E+01  0.0000000E+00  9.8171963E+00  5.0928698E-03 -8.8858356E-03
    9   2.4000000E+01  0.0000000E+00  9.8371897E+00  5.4558654E-03 -1.0910043E-02
   10   2.7000000E+01  0.0000000E+00  9.8541724E+00  4.3126326E-03 -1.2490354E-02
   11   3.0000000E+01  0.0000000E+00  9.8697579E+00  4.1403446E-03 -1.4644615E-02
   12   3.3000000E+01  0.0000000E+00  9.8832998E+00  2.4717014E-03 -1.4644615E-02
   13   3.6000000E+01  0.0000000E+00  9.8945618E+00  2.9391301E-03 -1.4385870E-02
   14   3.9000000E+01  0.0000000E+00  9.9053318E+00  2.8047644E-03 -1.3591287E-02
   15   4.2000000E+01  0.0000000E+00  9.9136863E+00  2.0013653E-03 -1.3088440E-02
   16   4.5000000E+01  0.0000000E+00  9.9198619E+00  1.6408940E-03 -1.1376425E-02
   17   4.8000000E+01  0.0000000E+00  9.9250325E+00  1.1035794E-03 -9.0261675E-03
   18   5.1000000E+01  0.0000000E+00  9.9289981E+00  1.0555535E-03 -8.0743310E-03
   19   5.4000000E+01  0.0000000E+00  9.9321918E+00  7.8699919E-04 -6.5892933E-03
   20   5.7000000E+01  0.0000000E+00  9.9344686E+00  5.0987630E-04 -5.6265844E-03
   21   6.0000000E+01  0.0000000E+00  9.9359135E+00  3.3692376E-04 -4.2392031E-03
   22   6.3000000E+01  0.0000000E+00  9.9369355E+00  2.1744877E-04 -2.8353942E-03
   23   6.6000000E+01  0.0000000E+00  9.9374475E+00  8.8734380E-05 -2.1080512E-03
   24   6.9000000E+01  0.0000000E+00  9.9375923E+00  1.2788025E-05 -1.1074370E-03
   25   7.2000000E+01  0.0000000E+00  9.9374711E+00  6.6521334E-05 -3.2795736E-04
   26   7.5000000E+01  0.0000000E+00  9.9371401E+00  1.1997202E-04  2.8672036E-04
   27   7.8000000E+01  0.0000000E+00  9.9366595E+00  1.5074202E-04  8.1592651E-04
   28   8.1000000E+01  0.0000000E+00  9.9361291E+00  1.4033113E-04  1.2331189E-03
   29   8.4000000E+01  0.0000000E+00  9.9356337E+00  1.3402901E-04  1.3710840E-03
   30   8.7000000E+01  0.0000000E+00  9.9351420E+00  1.3968488E-04  1.4102335E-03
   31   9.0000000E+01  0.0000000E+00  9.9346975E+00  1.1227679E-04  1.4102335E-03
   32   9.3000000E+01  0.0000000E+00  9.9343456E+00  9.3928818E-05  1.3710840E-03
   33   9.6000000E+01  0.0000000E+00  9.9340847E+00  6.0105296E-05  1.3197065E-03
   34   9.9000000E+01  0.0000000E+00  9.9339106E+00  3.4606971E-05  1.0803391E-03
   35   1.0200000E+02  0.0000000E+00  9.9338293E+00  1.7337291E-05  8.2716610E-04
   36   1.0500000E+02  0.0000000E+00  9.9338111E+00  8.5386666E-06  5.6949345E-04
   37   1.0800000E+02  0.0000000E+00  9.9338521E+00  2.1144030E-05  2.7413379E-04
   38   1.1100000E+02  0.0000000E+00  9.9339387E+00  2.9815312E-05  6.3398537E-05
   39   1.1400000E+02  0.0000000E+00  9.9340629E+00  4.4982704E-05 -1.4652953E-04
   40   1.1700000E+02  0.0000000E+00  9.9342109E+00  5.1876288E-05 -3.1819256E-04
   41   1.2000000E+02  0.0000000E+00  9.9343646E+00  5.4384224E-05 -4.6888217E-04
   42   1.2300000E+02  0.0000000E+00  9.9345329E+00  6.9550971E-05 -5.7377543E-04
   43   1.2600000E+02  0.0000000E+00  9.9347063E+00  8.7218036E-05 -6.1084129E-04
   44   1.2900000E+02  0.0000000E+00  9.9348830E+00  1.2079271E-04 -6.8629852E-04
   45   1.3200000E+02  0.0000000E+00  9.9350404E+00  1.6271967E-04 -6.8942627E-04
   46   1.3500000E+02  0.0000000E+00  9.9351839E+00  2.1753500E-04 -6.8942627E-04
   47   1.3800000E+02  0.0000000E+00  7.6964800E+00  4.1585004E+00 -6.4261094E-04
