! Date: 15/08/2026  Time: 08:20:44  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.05446215E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  4.2250387E+14  9.5226467E-01  2.8242639E+01  1.3692230E-04  1.0862554E-01  1.4429566E-18  3.1034582E+05  1.4429566E-20  3.1034582E+03       Infinity  7.6037324E+00
    2  8.4103626E+14  5.1689718E-01  5.6219801E+01  2.7255754E-04  2.1623001E-01  1.4424136E-18  3.1022903E+05  1.4424136E-20  3.1022903E+03       Infinity  7.4721640E+00
    3  1.2932665E+15  3.6321299E-01  8.6449525E+01  4.1911336E-04  3.3249817E-01  1.4414334E-18  3.1001821E+05  1.4414334E-20  3.1001821E+03       Infinity  7.7166828E+00
    4  1.7819077E+15  2.8483588E-01  1.1911317E+02  5.7746902E-04  4.5812759E-01  1.4399138E-18  3.0969139E+05  1.4399138E-20  3.0969139E+03       Infinity  7.7560630E+00
    5  2.3098915E+15  2.3742084E-01  1.5440671E+02  7.4857457E-04  5.9387197E-01  1.4377351E-18  3.0922280E+05  1.4377351E-20  3.0922280E+03       Infinity  7.7720979E+00
    6  2.8803856E+15  2.0572653E-01  1.9254188E+02  9.3345656E-04  7.4054571E-01  1.4347560E-18  3.0858206E+05  1.4347560E-20  3.0858206E+03       Infinity  7.7556456E+00
    7  3.4968126E+15  1.8310453E-01  2.3374748E+02  1.1332242E-03  8.9902878E-01  1.4308100E-18  3.0773337E+05  1.4308100E-20  3.0773337E+03       Infinity  7.6288264E+00
    8  4.1628707E+15  1.6619159E-01  2.7827072E+02  1.3490760E-03  1.0702720E+00  1.4257018E-18  3.0663472E+05  1.4257018E-20  3.0663472E+03       Infinity  7.6752579E+00
    9  4.8825561E+15  1.5310354E-01  3.2637872E+02  1.5823069E-03  1.2553028E+00  1.4194094E-18  3.0528137E+05  1.4194094E-20  3.0528137E+03       Infinity  7.6790593E+00
   10  5.6601864E+15  1.4270272E-01  3.7836009E+02  1.8343163E-03  1.4552311E+00  1.4114037E-18  3.0355953E+05  1.4114037E-20  3.0355953E+03       Infinity  7.7318738E+00
