ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p6,R_exc_f1p6,R_int_f1p6,R_exc_bsl_f1p6,R_int_bsl_f1p6,R_ap2_f1p6,R_ap2_bsl_f1p6,R_ap3_f1p6,R_ap3_bsl_f1p6,R_peak_f1p35,R_exc_f1p35,R_int_f1p35,R_exc_bsl_f1p35,R_int_bsl_f1p35,R_ap2_f1p35,R_ap2_bsl_f1p35,R_ap3_f1p35,R_ap3_bsl_f1p35,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak_f1p1,R_exc_f1p1,R_int_f1p1,R_exc_bsl_f1p1,R_int_bsl_f1p1,R_ap2_f1p1,R_ap2_bsl_f1p1,R_ap3_f1p1,R_ap3_bsl_f1p1
1,1,8,1,3.75e+20,0.00158489,0.003,0.5508,1.556,1.33088,39.9268,23.9561,18,0.491975,-0.045099,-0.367464,-0.0440653,-0.367145,-0.391702,-0.391427,-0.391702,-0.391427,22.7583,22.7583,0.426064,-0.153122,-0.508774,-0.149612,-0.508332,-0.517543,-0.51718,-0.517543,-0.51718,0.430517,-0.145743,-0.48375,-0.142403,-0.483329,-0.491681,-0.491336,-0.491681,-0.491336,0.420497,-0.15967,-0.510571,-0.156011,-0.510127,-0.511599,-0.51124,-0.511599,-0.51124,0.420862,-0.157018,-0.500173,-0.153419,-0.499738,-0.499078,-0.498728,-0.499078,-0.498728
2,1,9,1,3.75e+20,0.00235195,0.003,0.698,1.824,1.35462,40.6379,24.3827,18,0.397617,-0.0220136,-0.255187,-0.0216616,-0.255025,-0.294369,-0.294213,-0.294369,-0.294213,23.1636,23.1636,0.337953,-0.106654,-0.364124,-0.104949,-0.363893,-0.399194,-0.398983,-0.399194,-0.398983,0.3419,-0.101912,-0.352741,-0.100283,-0.352517,-0.376892,-0.376692,-0.376892,-0.376692,0.339303,-0.104851,-0.378787,-0.103175,-0.378546,-0.409682,-0.409465,-0.409682,-0.409465,0.339578,-0.103119,-0.380751,-0.101471,-0.380509,-0.40797,-0.407754,-0.40797,-0.407754
3,1,9,2,3.75e+20,0.00235195,0.0038356,0.5868,1.82,1.70831,51.2497,27,18,0.522266,0.012701,-0.250251,0.0123791,-0.249997,-0.323292,-0.323052,-0.323292,-0.323052,25.65,25.65,1.85444,2.38803,1.80837,2.32751,1.80653,1.16936,1.16849,1.16936,1.16849,1.85934,2.39375,1.82765,2.33308,1.82579,1.17458,1.17371,1.17458,1.17371,1.84878,2.38045,1.80424,2.32012,1.8024,1.15993,1.15907,1.15993,1.15907,1.84914,2.38055,1.80542,2.32022,1.80359,1.15193,1.15107,1.15193,1.15107
4,1,10,1,3.75e+20,0.00349025,0.003,0.8811,2.222,1.39669,41.9006,25.1404,18,0.317418,-0.00815223,-0.176961,-0.0080596,-0.176878,-0.225352,-0.225261,-0.225352,-0.225261,23.8834,23.8834,0.264575,-0.0742717,-0.268416,-0.0734278,-0.268291,-0.310942,-0.310816,-0.310942,-0.310816,0.27233,-0.0659663,-0.258748,-0.0652168,-0.258627,-0.301786,-0.301664,-0.301786,-0.301664,0.265339,-0.073745,-0.269907,-0.0729071,-0.269781,-0.318276,-0.318147,-0.318276,-0.318147,0.265564,-0.0736395,-0.276271,-0.0728028,-0.276143,-0.323666,-0.323535,-0.323666,-0.323535
5,1,10,2,3.75e+20,0.00349025,0.0038356,0.7401,2.214,1.75319,52.5963,27,18,0.429442,0.0249365,-0.138754,0.0244886,-0.138651,-0.210186,-0.210062,-0.210186,-0.210062,25.65,25.65,1.43464,1.58493,0.855619,1.55646,0.854984,0.564929,0.564596,0.564929,0.564596,1.43888,1.58947,0.867107,1.56092,0.866464,0.575949,0.575609,0.575949,0.575609,1.436,1.58855,0.843842,1.56001,0.843216,0.561739,0.561408,0.561739,0.561408,1.43024,1.58077,0.846306,1.55238,0.845678,0.561984,0.561653,0.561984,0.561653
6,1,10,3,3.75e+20,0.00349025,0.00490394,0.6167,2.201,2.23485,67.045,27,18,0.562862,0.0864981,-0.0294189,0.0839828,-0.0293832,-0.101926,-0.101828,-0.101926,-0.101828,25.65,25.65,0.962304,0.851474,0.736283,0.826714,0.735388,0.495252,0.494773,0.495252,0.494773,0.967885,0.858688,0.756788,0.833718,0.755869,0.49913,0.498647,0.49913,0.498647,0.955104,0.840047,0.739306,0.815619,0.738408,0.492518,0.492041,0.492518,0.492041,0.955821,0.840679,0.740278,0.816232,0.739379,0.4776,0.477137,0.4776,0.477137
7,1,10,4,3.75e+20,0.00349025,0.00626986,0.5192,2.181,2.82477,84.7431,27,18,0.689616,0.160773,0.0774856,0.153394,0.0773346,-0.00380966,-0.00380373,-0.00380966,-0.00380373,25.65,25.65,0.908997,0.709143,0.377526,0.676593,0.37679,0.211793,0.211463,0.211793,0.211463,0.916848,0.721752,0.381866,0.688623,0.381122,0.218029,0.21769,0.218029,0.21769,0.910482,0.709654,0.365085,0.67708,0.364374,0.157546,0.157301,0.157546,0.157301,0.910783,0.709267,0.333365,0.676711,0.332715,0.132499,0.132293,0.132499,0.132293
8,1,11,1,3.75e+20,0.00517947,0.003,1.1389,2.813,1.41265,42.3791,25.4274,18,0.241079,0.0023277,-0.108334,0.0023098,-0.108299,-0.151147,-0.151104,-0.151147,-0.151104,24.1561,24.1561,3.15501,3.59713,-0.0350783,3.56946,-0.0350669,-0.0896553,-0.0896293,-0.0896553,-0.0896293,3.19266,3.64256,-0.0230734,3.61454,-0.0230659,-0.0796788,-0.0796557,-0.0796788,-0.0796557,3.10495,3.53676,-0.0368469,3.50955,-0.036835,-0.091728,-0.0917015,-0.091728,-0.0917015,3.10757,3.54036,-0.0342297,3.51312,-0.0342186,-0.0903511,-0.090325,-0.0903511,-0.090325
9,1,11,2,3.75e+20,0.00517947,0.0038356,0.9515,2.802,1.77054,53.1167,27,18,0.335729,0.027445,-0.0707814,0.0271094,-0.0707449,-0.128502,-0.128446,-0.128502,-0.128446,25.65,25.65,1.15141,1.14827,0.601271,1.13423,0.600961,0.422574,0.422389,0.422574,0.422389,1.15453,1.15083,0.607724,1.13676,0.607411,0.434564,0.434373,0.434564,0.434373,1.15207,1.14974,0.595432,1.13568,0.595125,0.421142,0.420958,0.421142,0.420958,1.15239,1.15097,0.594208,1.13689,0.593902,0.424271,0.424086,0.424271,0.424086
10,1,11,3,3.75e+20,0.00517947,0.00490394,0.7913,2.782,2.24546,67.3642,27,18,0.455475,0.0691507,0.00620786,0.0677846,0.00620265,-0.0471755,-0.0471418,-0.0471755,-0.0471418,25.65,25.65,0.853207,0.711403,0.789576,0.697349,0.788913,0.598824,0.598397,0.598824,0.598397,0.857515,0.716584,0.801771,0.702427,0.801099,0.612833,0.612396,0.612833,0.612396,0.847473,0.704026,0.775532,0.690118,0.774882,0.592951,0.592529,0.592951,0.592529,0.847862,0.706029,0.784782,0.692081,0.784124,0.598122,0.597696,0.598122,0.597696
