! Date: 15/08/2026  Time: 08:20:44  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! MODEL RADIAL OPTICAL DEPTHS AND OPACITIES
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.05446215E+00
!
!   n     WAVE(um)       ODEPTH       OPACITY(abs)   OPACITY(sca)   OPACITY(ext)
!
    1  5.0000000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    2  5.4960000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    3  6.0413000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    4  6.6406000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    5  7.2993000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    6  8.0235000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    7  8.8194000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    8  9.6944000E-02  2.0878044E+02  1.0746000E+05  1.0746000E+05  2.1492000E+05
    9  1.0656000E-01  1.9158420E+02  1.0029187E+05  9.6926196E+04  1.9721807E+05
   10  1.1713000E-01  1.6622618E+02  9.2306590E+04  7.8807766E+04  1.7111436E+05
   11  1.2875000E-01  1.4663005E+02  8.4956115E+04  6.5985848E+04  1.5094196E+05
   12  1.4152000E-01  1.2963244E+02  7.8192311E+04  5.5252206E+04  1.3344452E+05
   13  1.5556000E-01  1.1485088E+02  7.1965623E+04  4.6262655E+04  1.1822828E+05
   14  1.7100000E-01  1.0196654E+02  6.6232369E+04  3.8732682E+04  1.0496505E+05
   15  1.8796000E-01  9.0723893E+01  6.0959416E+04  3.2432375E+04  9.3391790E+04
   16  2.0661000E-01  8.0880871E+01  5.6104379E+04  2.7154938E+04  8.3259317E+04
   17  2.2710000E-01  7.2251653E+01  5.1638113E+04  2.2738228E+04  7.4376341E+04
   18  2.4963000E-01  6.4663272E+01  4.7526061E+04  1.9038750E+04  6.6564811E+04
   19  2.7440000E-01  5.7976520E+01  4.3740780E+04  1.5940642E+04  5.9681423E+04
   20  3.0162000E-01  5.2073908E+01  4.0257903E+04  1.3347330E+04  5.3605234E+04
   21  3.3154000E-01  4.6850569E+01  3.7052369E+04  1.1175924E+04  4.8228293E+04
   22  3.6443000E-01  4.2218089E+01  3.4101911E+04  9.3576756E+03  4.3459586E+04
   23  4.0059000E-01  3.8100470E+01  3.1385902E+04  7.8349801E+03  3.9220882E+04
   24  4.4033000E-01  3.4434340E+01  2.8886662E+04  6.5602815E+03  3.5446943E+04
   25  4.8401000E-01  3.1163158E+01  2.6586548E+04  5.4930179E+03  3.2079566E+04
   26  5.3202000E-01  2.8238724E+01  2.4469702E+04  4.5994312E+03  2.9069134E+04
   27  5.8480000E-01  2.5618884E+01  2.2521139E+04  3.8511141E+03  2.6372253E+04
   28  6.4282000E-01  2.3267910E+01  2.0727634E+04  3.2245101E+03  2.3952144E+04
   29  7.0659000E-01  2.1154914E+01  1.9077107E+04  2.6999047E+03  2.1777012E+04
   30  7.7669000E-01  1.9252413E+01  1.7557936E+04  2.2606283E+03  1.9818565E+04
   31  8.5374000E-01  1.7536953E+01  1.6159817E+04  1.8928413E+03  1.8052658E+04
   32  9.3843000E-01  1.5987830E+01  1.4873078E+04  1.5849019E+03  1.6457980E+04
   33  1.0315000E+00  1.4472663E+01  1.3689044E+04  1.2092133E+03  1.4898257E+04
   34  1.1339000E+00  1.3042853E+01  1.2598297E+04  8.2810363E+02  1.3426401E+04
   35  1.2463000E+00  1.1715986E+01  1.1493111E+04  5.6740523E+02  1.2060516E+04
   36  1.3700000E+00  1.0499284E+01  1.0419435E+04  3.8859879E+02  1.0808034E+04
   37  1.5059000E+00  9.2005278E+00  9.2048911E+03  2.6619456E+02  9.4710856E+03
   38  1.6553000E+00  8.0380831E+00  8.0921193E+03  1.8233786E+02  8.2744572E+03
   39  1.8195000E+00  6.9923582E+00  7.0730771E+03  1.2490375E+02  7.1979809E+03
   40  2.0000000E+00  6.0306814E+00  6.1224657E+03  8.5558611E+01  6.2080243E+03
   41  2.0822000E+00  5.6592234E+00  5.7528156E+03  7.2827319E+01  5.8256429E+03
   42  2.1679000E+00  5.3048054E+00  5.3988261E+03  6.1976509E+01  5.4608026E+03
   43  2.2570000E+00  4.9439874E+00  5.0366199E+03  5.2754299E+01  5.0893742E+03
   44  2.3498000E+00  4.6079730E+00  4.6985772E+03  4.4901463E+01  4.7434787E+03
   45  2.4464000E+00  4.2951823E+00  4.3832712E+03  3.8218551E+01  4.4214898E+03
   46  2.5470000E+00  3.9992421E+00  4.0843181E+03  3.2528820E+01  4.1168469E+03
   47  2.6518000E+00  3.7156013E+00  3.7971817E+03  2.7683502E+01  3.8248652E+03
   48  2.7608000E+00  3.6670723E+00  3.7513453E+03  2.3563744E+01  3.7749091E+03
   49  2.8744000E+00  5.1376797E+00  5.2687085E+03  2.0053735E+01  5.2887623E+03
   50  2.9926000E+00  6.6755735E+00  6.8548123E+03  1.7068266E+01  6.8718806E+03
   51  3.1156000E+00  5.2238776E+00  5.3629667E+03  1.4528384E+01  5.3774950E+03
   52  3.2437000E+00  3.5118134E+00  3.6027188E+03  1.2365776E+01  3.6150845E+03
   53  3.3771000E+00  2.7731759E+00  2.8442014E+03  1.0524668E+01  2.8547261E+03
   54  3.5160000E+00  2.4847845E+00  2.5488965E+03  8.9575372E+00  2.5578540E+03
   55  3.6606000E+00  2.2707663E+00  2.3299183E+03  7.6238613E+00  2.3375422E+03
   56  3.8111000E+00  2.1426151E+00  2.1991335E+03  6.4890738E+00  2.2056225E+03
   57  3.9678000E+00  2.0311126E+00  2.0853179E+03  5.5231266E+00  2.0908410E+03
   58  4.1310000E+00  1.9339526E+00  1.9861232E+03  4.7007084E+00  1.9908239E+03
   59  4.3008000E+00  1.8424485E+00  1.8926278E+03  4.0011709E+00  1.8966290E+03
   60  4.4777000E+00  1.7653611E+00  1.8138693E+03  3.4053685E+00  1.8172747E+03
   61  4.6618000E+00  1.6865892E+00  1.7332879E+03  2.8984749E+00  1.7361864E+03
   62  4.8535000E+00  1.5715742E+00  1.6153221E+03  2.4669705E+00  1.6177891E+03
   63  5.0531000E+00  1.4701414E+00  1.5112739E+03  2.0996771E+00  1.5133736E+03
   64  5.2609000E+00  1.3966002E+00  1.4358826E+03  1.7870796E+00  1.4376697E+03
   65  5.4772000E+00  1.3594868E+00  1.3979439E+03  1.5210717E+00  1.3994649E+03
   66  5.7025000E+00  1.4018790E+00  1.4418092E+03  1.2945622E+00  1.4431038E+03
   67  5.9369000E+00  1.4141901E+00  1.4546750E+03  1.1019075E+00  1.4557769E+03
   68  6.1811000E+00  1.3795158E+00  1.4191451E+03  9.3782328E-01  1.4200830E+03
   69  6.4353000E+00  1.3462446E+00  1.3850351E+03  7.9819481E-01  1.3858333E+03
   70  6.6999000E+00  1.3143493E+00  1.3523207E+03  6.7937695E-01  1.3530001E+03
   71  6.9754000E+00  1.2600561E+00  1.2965321E+03  5.7823932E-01  1.2971103E+03
   72  7.2622000E+00  1.1924784E+00  1.2270532E+03  4.9216561E-01  1.2275453E+03
   73  7.5608000E+00  1.1469378E+00  1.1802467E+03  4.1890263E-01  1.1806656E+03
   74  7.8718000E+00  1.1115079E+00  1.1438372E+03  3.5652327E-01  1.1441938E+03
   75  8.1955000E+00  1.1230190E+00  1.1557399E+03  3.0344660E-01  1.1560434E+03
   76  8.5325000E+00  1.1483522E+00  1.1818632E+03  2.5827294E-01  1.1821215E+03
   77  8.8833000E+00  1.4625181E+00  1.5053062E+03  2.1982991E-01  1.5055260E+03
   78  9.2486000E+00  1.7871853E+00  1.8395536E+03  1.8710272E-01  1.8397407E+03
   79  9.6289000E+00  2.3130796E+00  2.3809406E+03  1.5924925E-01  2.3810998E+03
   80  1.0025000E+01  2.6883509E+00  2.7672711E+03  1.3553347E-01  2.7674066E+03
   81  1.0437000E+01  2.6274473E+00  2.7045967E+03  1.1536694E-01  2.7047120E+03
   82  1.0866000E+01  2.5995622E+00  2.6759087E+03  9.8198598E-02  2.6760069E+03
   83  1.1313000E+01  2.6561796E+00  2.7342057E+03  8.3574337E-02  2.7342892E+03
   84  1.1778000E+01  2.5337815E+00  2.6082207E+03  7.1137384E-02  2.6082918E+03
   85  1.2263000E+01  2.2290497E+00  2.2945384E+03  6.0533694E-02  2.2945989E+03
   86  1.2767000E+01  1.9754284E+00  2.0334679E+03  5.1526264E-02  2.0335194E+03
   87  1.3292000E+01  1.7742254E+00  1.8263558E+03  4.3855368E-02  1.8263997E+03
   88  1.3838000E+01  1.6058014E+00  1.6529855E+03  3.7332819E-02  1.6530228E+03
   89  1.4408000E+01  1.4665493E+00  1.5096441E+03  3.1766494E-02  1.5096758E+03
   90  1.5000000E+01  1.4002727E+00  1.4414232E+03  2.7040770E-02  1.4414502E+03
   91  1.6460000E+01  1.4779451E+00  1.5213881E+03  1.8649380E-02  1.5214067E+03
   92  1.8062000E+01  1.6311693E+00  1.6791239E+03  1.2862351E-02  1.6791368E+03
   93  1.9821000E+01  1.4217350E+00  1.4635348E+03  8.8691393E-03  1.4635436E+03
   94  2.1750000E+01  1.1217965E+00  1.1547789E+03  6.1171155E-03  1.1547850E+03
   95  2.4000000E+01  8.9162588E-01  9.1784159E+02  4.1260902E-03  9.1784572E+02
   96  2.6190000E+01  7.3045744E-01  7.5193493E+02  2.9096568E-03  7.5193784E+02
   97  2.8740000E+01  5.9381920E-01  6.1127950E+02  2.0064885E-03  6.1128150E+02
   98  3.1537000E+01  5.1968228E-01  5.3496308E+02  1.3838920E-03  5.3496446E+02
   99  3.4607000E+01  4.6791596E-01  4.8167491E+02  9.5439446E-04  4.8167586E+02
  100  3.7976000E+01  4.5012207E-01  4.6335805E+02  6.5818328E-04  4.6335871E+02
  101  4.1672000E+01  4.4228128E-01  4.5528689E+02  4.5394825E-04  4.5528734E+02
  102  4.5729000E+01  4.1070443E-01  4.2278161E+02  3.1305230E-04  4.2278192E+02
  103  5.0180000E+01  3.4251389E-01  3.5258590E+02  2.1590420E-04  3.5258612E+02
  104  5.5065000E+01  2.8279076E-01  2.9110658E+02  1.4889535E-04  2.9110673E+02
  105  6.0425000E+01  2.3834821E-01  2.4535717E+02  1.0268738E-04  2.4535727E+02
  106  6.6307000E+01  1.9793700E-01  2.0375761E+02  7.0818416E-05  2.0375768E+02
  107  7.0000000E+01  1.7760279E-01  1.8282545E+02  5.7015355E-05  1.8282551E+02
  108  7.9843000E+01  1.3651232E-01  1.4052668E+02  3.3684963E-05  1.4052671E+02
  109  8.7615000E+01  1.1336754E-01  1.1670129E+02  2.3231105E-05  1.1670132E+02
  110  1.0000000E+02  8.7025297E-02  8.9584417E+01  1.3689370E-05  8.9584430E+01
  111  1.0550000E+02  7.8188136E-02  8.0487386E+01  1.1050302E-05  8.0487397E+01
  112  1.1577000E+02  6.4931220E-02  6.6840631E+01  7.6207829E-06  6.6840638E+01
  113  1.2704000E+02  5.3921834E-02  5.5507496E+01  5.2555937E-06  5.5507501E+01
  114  1.3941000E+02  4.4777285E-02  4.6094037E+01  3.6241654E-06  4.6094041E+01
  115  1.6000000E+02  3.3994252E-02  3.4993911E+01  2.0888319E-06  3.4993913E+01
  116  1.6787000E+02  3.0881585E-02  3.1789711E+01  1.7238190E-06  3.1789713E+01
  117  1.8421000E+02  2.5645974E-02  2.6400138E+01  1.1888605E-06  2.6400139E+01
  118  2.0214000E+02  2.1298110E-02  2.1924418E+01  8.1992604E-07  2.1924419E+01
  119  2.2182000E+02  1.7686593E-02  1.8206699E+01  5.6543270E-07  1.8206699E+01
  120  2.5000000E+02  1.3924047E-02  1.4333508E+01  3.5044793E-07  1.4333508E+01
  121  2.6710000E+02  1.2198261E-02  1.2556972E+01  2.6896041E-07  1.2556972E+01
  122  2.9310000E+02  1.0130105E-02  1.0427999E+01  1.8548998E-07  1.0427999E+01
  123  3.2163000E+02  8.4126435E-03  8.6600321E+00  1.2792562E-07  8.6600323E+00
  124  3.5000000E+02  7.1041075E-03  7.3130164E+00  9.1224523E-08  7.3130164E+00
  125  3.8730000E+02  5.8016371E-03  5.9722445E+00  6.0840626E-08  5.9722446E+00
  126  4.2500000E+02  4.8180103E-03  4.9596924E+00  4.1959278E-08  4.9596925E+00
  127  4.5000000E+02  4.2975475E-03  4.4239244E+00  3.3383657E-08  4.4239245E+00
  128  5.0000000E+02  3.4810121E-03  3.5833774E+00  2.1903001E-08  3.5833774E+00
  129  5.6158000E+02  2.7594482E-03  2.8405946E+00  1.3763758E-08  2.8405946E+00
  130  6.1624000E+02  2.2916369E-03  2.3590266E+00  9.4925782E-09  2.3590266E+00
  131  6.7623000E+02  1.9030785E-03  1.9590420E+00  6.5464520E-09  1.9590420E+00
  132  7.4206000E+02  1.5804019E-03  1.6268764E+00  4.5146869E-09  1.6268764E+00
