! Date: 08/09/2026  Time: 12:55:33  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  5.2796190E+13  1.1715167E+00  3.5292073E+00  1.7109845E-05  1.3573874E-02  1.2245277E-16  2.6336694E+07  1.2245277E-18  2.6336694E+05       Infinity  4.7723994E+00
    2  1.2033264E+14  6.0849062E-01  8.0437401E+00  3.8996616E-05  3.0937462E-02  1.2234493E-16  2.6313500E+07  1.2234493E-18  2.6313500E+05       Infinity  4.7635322E+00
    3  2.0028375E+14  4.3279067E-01  1.3388142E+01  6.4906650E-05  5.1492853E-02  1.2211419E-16  2.6263873E+07  1.2211419E-18  2.6263873E+05       Infinity  5.2556419E+00
    4  2.9493160E+14  3.4792735E-01  1.9714960E+01  9.5579509E-05  7.5826769E-02  1.2169645E-16  2.6174027E+07  1.2169645E-18  2.6174027E+05       Infinity  4.9278433E+00
    5  4.0697778E+14  2.9848702E-01  2.7204784E+01  1.3189070E-04  1.0463379E-01  1.2100394E-16  2.6025083E+07  1.2100394E-18  2.6025083E+05       Infinity  4.8690742E+00
    6  5.3962047E+14  2.6649803E-01  3.6071401E+01  1.7487668E-04  1.3873616E-01  1.1992532E-16  2.5793098E+07  1.1992532E-18  2.5793098E+05       Infinity  5.0314594E+00
    7  6.9664576E+14  2.4437496E-01  4.6567893E+01  2.2576441E-04  1.7910728E-01  1.1828210E-16  2.5439682E+07  1.1828210E-18  2.5439682E+05       Infinity  4.8939920E+00
    8  8.8253569E+14  2.2836140E-01  5.8993867E+01  2.8600641E-04  2.2689949E-01  1.1586857E-16  2.4920588E+07  1.1586857E-18  2.4920588E+05       Infinity  6.4979406E+00
    9  1.1025962E+15  2.1638381E-01  7.3704005E+01  3.5732219E-04  2.8347694E-01  1.1242507E-16  2.4179972E+07  1.1242507E-18  2.4179972E+05       Infinity  6.2650940E+00
   10  1.3631086E+15  2.0720349E-01  9.1118184E+01  4.4174735E-04  3.5045456E-01  1.0765728E-16  2.3154534E+07  1.0765728E-18  2.3154534E+05       Infinity  6.0830892E+00
   11  1.6715089E+15  2.0003460E-01  1.1173347E+02  5.4169169E-04  4.2974410E-01  1.0127728E-16  2.1782347E+07  1.0127728E-18  2.1782347E+05       Infinity  6.0572117E+00
   12  2.0365997E+15  1.9435441E-01  1.3613828E+02  6.6000795E-04  5.2360879E-01  9.3077101E-17  2.0018682E+07  9.3077101E-19  2.0018682E+05       Infinity  5.9709055E+00
   13  2.4688022E+15  1.8980168E-01  1.6502924E+02  8.0007331E-04  6.3472783E-01  8.3038300E-17  1.7859573E+07  8.3038300E-19  1.7859573E+05       Infinity  5.9962253E+00
   14  2.9804529E+15  1.8611886E-01  1.9923097E+02  9.6588571E-04  7.6627296E-01  7.1443952E-17  1.5365903E+07  7.1443952E-19  1.5365903E+05       Infinity  5.8484162E+00
   15  3.5861560E+15  1.8311745E-01  2.3971972E+02  1.1621780E-03  9.2199892E-01  5.8931909E-17  1.2674859E+07  5.8931909E-19  1.2674859E+05       Infinity  5.9950463E+00
   16  4.3032004E+15  1.8065651E-01  2.8765118E+02  1.3945531E-03  1.1063507E+00  4.6418590E-17  9.9835402E+06  4.6418590E-19  9.9835402E+04       Infinity  5.9918785E+00
   17  5.1520532E+15  1.7862865E-01  3.4439348E+02  1.6696438E-03  1.3245903E+00  3.4877022E-17  7.5012221E+06  3.4877022E-19  7.5012221E+04       Infinity  6.0606867E+00
   18  6.1569434E+15  1.7695082E-01  4.1156624E+02  1.9953020E-03  1.5829471E+00  2.5061078E-17  5.3900449E+06  2.5061078E-19  5.3900449E+04       Infinity  6.0775923E+00
   19  7.3465542E+15  1.7555788E-01  4.9108682E+02  2.3808233E-03  1.8887954E+00  1.7324546E-17  3.7260999E+06  1.7324546E-19  3.7260999E+04       Infinity  6.1584191E+00
   20  8.7548412E+15  1.7439820E-01  5.8522499E+02  2.8372118E-03  2.2508653E+00  1.1619980E-17  2.4991828E+06  1.1619980E-19  2.4991828E+04       Infinity  6.1725549E+00
   21  1.0422002E+16  1.7343047E-01  6.9666780E+02  3.3774944E-03  2.6794915E+00  7.6347902E-18  1.6420627E+06  7.6347902E-20  1.6420627E+04       Infinity  6.2361238E+00
   22  1.2395623E+16  1.7262134E-01  8.2859620E+02  4.0170925E-03  3.1869085E+00  4.9605710E-18  1.0669014E+06  4.9605710E-20  1.0669014E+04       Infinity  6.2383440E+00
   23  1.4732038E+16  1.7194371E-01  9.8477590E+02  4.7742627E-03  3.7875996E+00  3.2137222E-18  6.9119559E+05  3.2137222E-20  6.9119559E+03       Infinity  6.2847559E+00
   24  1.7497937E+16  1.7137543E-01  1.1696648E+03  5.6706171E-03  4.4987108E+00  2.0897740E-18  4.4946094E+05  2.0897740E-20  4.4946094E+03       Infinity  6.3173752E+00
   25  2.0772267E+16  1.7089830E-01  1.3885403E+03  6.7317409E-03  5.3405397E+00  1.3705677E-18  2.9477667E+05  1.3705677E-20  2.9477667E+03       Infinity  6.3321054E+00
   26  2.4648491E+16  1.7049734E-01  1.6476499E+03  7.9879221E-03  6.3371148E+00  9.0945408E-19  1.9560205E+05  9.0945408E-21  1.9560205E+03       Infinity  6.3330102E+00
   27  2.9237249E+16  1.7016009E-01  1.9543894E+03  9.4750167E-03  7.5168821E+00  6.1163626E-19  1.3154849E+05  6.1163626E-21  1.3154849E+03       Infinity  6.3528654E+00
   28  3.4669519E+16  1.6987625E-01  2.3175142E+03  1.1235471E-02  8.9135161E+00  4.1715980E-19  8.9721200E+04  4.1715980E-21  8.9721200E+02       Infinity  6.3480866E+00
   29  4.1100358E+16  1.6963722E-01  2.7473893E+03  1.3319536E-02  1.0566882E+01  2.8846408E-19  6.2041797E+04  2.8846408E-21  6.2041797E+02       Infinity  6.3668244E+00
   30  4.8713325E+16  1.6943583E-01  3.2562846E+03  1.5786696E-02  1.2524172E+01  2.0205750E-19  4.3457786E+04  2.0205750E-21  4.3457786E+02       Infinity  6.3859587E+00
   31  5.7725720E+16  1.6926609E-01  3.8587260E+03  1.8707375E-02  1.4841254E+01  1.4317726E-19  3.0794041E+04  1.4317726E-21  3.0794041E+02       Infinity  6.3838741E+00
   32  6.8394788E+16  1.6912296E-01  4.5719092E+03  2.2164936E-02  1.7584266E+01  1.0246823E-19  2.2038491E+04  1.0246823E-21  2.2038491E+02       Infinity  6.3921586E+00
   33  7.7120843E+16  7.6308580E-02  5.1552100E+03  2.4992820E-02  1.9827731E+01  8.1396106E-20  1.7506376E+04  8.1396106E-22  1.7506376E+02       Infinity  6.3917931E+00
   34  8.3967552E+16  9.2993491E-02  5.6128842E+03  2.7211656E-02  2.1588016E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3880759E+00
   35  9.5977052E+16  1.6890042E-01  6.4156697E+03  3.1103617E-02  2.4675653E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3881024E+00
