! Date: 08/09/2026  Time: 12:05:46  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  1.4619447E+00  7.0876106E-06  5.6228643E-03  4.2278360E+23  9.4495401E-03  2.3089535E+23  1.7588068E-02
    2  8.4515231E+01  4.0973577E-04  3.2505858E-01  4.0688155E+23  9.4495401E-03  2.1499331E+23  1.7588068E-02
    3  1.6756852E+02  8.1238393E-04  6.4449430E-01  3.6963634E+23  9.4495401E-03  1.7774809E+23  1.7588068E-02
    4  2.5062180E+02  1.2150321E-03  9.6393002E-01  3.2819890E+23  9.4495401E-03  1.3631065E+23  1.7588068E-02
    5  3.3367509E+02  1.6176803E-03  1.2833657E+00  2.9538804E+23  1.4026004E-01  1.0349980E+23  2.7794086E-01
    6  4.1672838E+02  2.0203284E-03  1.6028015E+00  2.7030307E+23  2.9536461E-01  7.8414824E+22  6.5936914E-01
    7  4.9978166E+02  2.4229766E-03  1.9222372E+00  2.5296036E+23  3.6487413E-01  6.1072113E+22  9.6207205E-01
    8  5.8283495E+02  2.8256247E-03  2.2416729E+00  2.3948335E+23  3.6487413E-01  4.7595099E+22  1.2487539E+00
    9  6.6588824E+02  3.2282729E-03  2.5611086E+00  2.2897299E+23  3.5613057E-01  3.7084742E+22  1.3753835E+00
   10  7.4894152E+02  3.6309211E-03  2.8805443E+00  2.2254850E+23  3.3689065E-01  3.0660252E+22  1.6185132E+00
   11  8.3199481E+02  4.0335692E-03  3.1999800E+00  2.1746762E+23  2.4212371E-01  2.5579373E+22  1.6218119E+00
   12  9.1504810E+02  4.4362174E-03  3.5194158E+00  2.1199464E+23  2.4212371E-01  2.0106392E+22  1.7228193E+00
   13  9.9810138E+02  4.8388655E-03  3.8388515E+00  2.0993322E+23  2.1960747E-01  1.8044971E+22  1.6185132E+00
   14  1.0811547E+03  5.2415137E-03  4.1582872E+00  2.0611784E+23  2.1960747E-01  1.4229598E+22  1.7228193E+00
   15  1.1642080E+03  5.6441619E-03  4.4777229E+00  2.0485798E+23  1.1247370E-01  1.2969735E+22  1.2525855E+00
   16  1.2472612E+03  6.0468100E-03  4.7971586E+00  2.0302267E+23  1.1247370E-01  1.1134422E+22  1.2525855E+00
   17  1.3303145E+03  6.4494582E-03  5.1165943E+00  2.0115924E+23  1.3059692E-01  9.2709920E+21  2.2141780E+00
