! Date: 14/08/2026  Time: 14:39:51  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.42640542E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.3722278E+14  1.0765071E+00  6.2649473E+01  3.0372904E-04  2.4095951E-01  4.9189577E-19  1.0579514E+05  4.9189577E-21  1.0579514E+03       Infinity  5.1151674E+00
    2  2.0138886E+15  5.6825616E-01  1.3462014E+02  6.5264787E-04  5.1776976E-01  4.9159982E-19  1.0573149E+05  4.9159982E-21  1.0573149E+03       Infinity  5.0349206E+00
    3  3.2351279E+15  4.0124348E-01  2.1625494E+02  1.0484191E-03  8.3174977E-01  4.9101336E-19  1.0560535E+05  4.9101336E-21  1.0560535E+03       Infinity  6.1551833E+00
    4  4.6203538E+15  3.1867211E-01  3.0885157E+02  1.4973341E-03  1.1878907E+00  4.9002493E-19  1.0539277E+05  4.9002493E-21  1.0539277E+03       Infinity  9.4043458E+00
    5  6.1915862E+15  2.6973493E-01  4.1388198E+02  2.0065289E-03  1.5918538E+00  4.8848928E-19  1.0506248E+05  4.8848928E-21  1.0506248E+03       Infinity  8.9458252E+00
    6  7.9738020E+15  2.3757105E-01  5.3301574E+02  2.5840977E-03  2.0500606E+00  4.8621718E-19  1.0457381E+05  4.8621718E-21  1.0457381E+03       Infinity  9.1586693E+00
    7  9.9953318E+15  2.1497185E-01  6.6814666E+02  3.2392219E-03  2.5697948E+00  4.8305051E-19  1.0389273E+05  4.8305051E-21  1.0389273E+03       Infinity  9.3075298E+00
    8  1.2288310E+16  1.9833825E-01  8.2142280E+02  3.9823154E-03  3.1593185E+00  4.7860172E-19  1.0293590E+05  4.7860172E-21  1.0293590E+03       Infinity  8.9027815E+00
    9  1.4889187E+16  1.8567246E-01  9.9528070E+02  4.8251907E-03  3.8280027E+00  4.7256364E-19  1.0163726E+05  4.7256364E-21  1.0163726E+03       Infinity  8.9454297E+00
   10  1.7839307E+16  1.7577631E-01  1.1924840E+03  5.7812463E-03  4.5864770E+00  4.6451753E-19  9.9906728E+04  4.6451753E-21  9.9906728E+02       Infinity  8.9006624E+00
