! Date: 14/08/2026  Time: 20:22:17  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.19813277E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  3.6093034E+01  1.7498156E-04  1.3881936E-01  1.4173482E+22  3.9295484E-03  1.2674509E+22  4.3974828E-03
    2  8.1542696E+02  3.9532471E-03  3.1362575E+00  1.4000904E+22  3.9295484E-03  1.2501931E+22  4.3974828E-03
    3  1.5947609E+03  7.7315127E-03  6.1336957E+00  1.3502342E+22  3.9295484E-03  1.2003369E+22  4.3974828E-03
    4  2.3740948E+03  1.1509778E-02  9.1311339E+00  1.2731380E+22  3.9295484E-03  1.1232407E+22  4.3974828E-03
    5  3.1534287E+03  1.5288044E-02  1.2128572E+01  1.1764167E+22  5.4055649E-02  1.0265194E+22  6.0670471E-02
    6  3.9327627E+03  1.9066309E-02  1.5126010E+01  1.0689290E+22  1.4776190E-01  9.1903172E+21  1.6683977E-01
    7  4.7120966E+03  2.2844575E-02  1.8123448E+01  9.5586353E+21  2.7833332E-01  8.0596624E+21  3.1719753E-01
    8  5.4914305E+03  2.6622840E-02  2.1120887E+01  8.4002384E+21  4.3384697E-01  6.9012655E+21  5.0082675E-01
    9  6.2707644E+03  3.0401106E-02  2.4118325E+01  7.3299755E+21  6.1837964E-01  5.8310026E+21  7.2613642E-01
   10  7.0500984E+03  3.4179372E-02  2.7115763E+01  6.2558688E+21  8.4403755E-01  4.7568958E+21  1.0137925E+00
   11  7.8294323E+03  3.7957637E-02  3.0113201E+01  5.2773050E+21  1.0269644E+00  3.7783321E+21  1.2698101E+00
   12  8.6087662E+03  4.1735903E-02  3.3110639E+01  4.2999455E+21  1.3526352E+00  2.8009725E+21  1.7379879E+00
   13  9.3881001E+03  4.5514168E-02  3.6108077E+01  3.2393729E+21  1.6223845E+00  1.7403999E+21  2.1966247E+00
   14  1.0167434E+04  4.9292434E-02  3.9105516E+01  1.4991446E+21  2.1584049E+00  1.0000000E-99  2.1966247E+00
   15  1.0946768E+04  5.3070699E-02  4.2102954E+01  1.4990079E+21  2.1584049E+00  1.0000000E-99  1.0000000E-99
   16  1.1726102E+04  5.6848965E-02  4.5100392E+01  1.4988611E+21  1.4244446E-03  1.0000000E-99  1.0000000E-99
   17  1.2505436E+04  6.0627230E-02  4.8097830E+01  1.4987041E+21  1.4244446E-03  1.0000000E-99  1.0000000E-99
   18  1.3284770E+04  6.4405496E-02  5.1095268E+01  1.4985370E+21  1.4244446E-03  1.0000000E-99  1.0000000E-99
   19  1.4064104E+04  6.8183761E-02  5.4092706E+01  1.4983597E+21  1.6277701E-03  1.0000000E-99  1.0000000E-99
   20  1.4843438E+04  7.1962027E-02  5.7090145E+01  1.4981723E+21  1.8447208E-03  1.0000000E-99  1.0000000E-99
   21  1.5622772E+04  7.5740293E-02  6.0087583E+01  1.4979747E+21  2.0753141E-03  1.0000000E-99  1.0000000E-99
   22  1.6402105E+04  7.9518558E-02  6.3085021E+01  1.4977669E+21  2.3195690E-03  1.0000000E-99  1.0000000E-99
   23  1.7181439E+04  8.3296824E-02  6.6082459E+01  1.4975490E+21  2.5775052E-03  1.0000000E-99  1.0000000E-99
   24  1.7960773E+04  8.7075089E-02  6.9079897E+01  1.4973209E+21  2.8491438E-03  1.0000000E-99  1.0000000E-99
   25  1.8740107E+04  9.0853355E-02  7.2077335E+01  1.4970827E+21  3.1345069E-03  1.0000000E-99  1.0000000E-99
   26  1.9519441E+04  9.4631620E-02  7.5074774E+01  1.4968342E+21  3.4336179E-03  1.0000000E-99  1.0000000E-99
   27  2.0298775E+04  9.8409886E-02  7.8072212E+01  1.4965756E+21  3.7465012E-03  1.0000000E-99  1.0000000E-99
   28  2.1078109E+04  1.0218815E-01  8.1069650E+01  1.4963068E+21  4.0731823E-03  1.0000000E-99  1.0000000E-99
   29  2.1857443E+04  1.0596642E-01  8.4067088E+01  1.4960278E+21  4.4136881E-03  1.0000000E-99  1.0000000E-99
   30  2.2636777E+04  1.0974468E-01  8.7064526E+01  1.4957386E+21  4.7680464E-03  1.0000000E-99  1.0000000E-99
   31  2.3416111E+04  1.1352295E-01  9.0061965E+01  1.4954392E+21  5.1362863E-03  1.0000000E-99  1.0000000E-99
   32  2.4195445E+04  1.1730121E-01  9.3059403E+01  1.4951296E+21  5.5184381E-03  1.0000000E-99  1.0000000E-99
   33  2.4974779E+04  1.2107948E-01  9.6056841E+01  1.4948097E+21  5.9145331E-03  1.0000000E-99  1.0000000E-99
   34  2.5754113E+04  1.2485774E-01  9.9054279E+01  1.4944796E+21  6.3246040E-03  1.0000000E-99  1.0000000E-99
   35  2.6533446E+04  1.2863601E-01  1.0205172E+02  1.4941393E+21  6.7486845E-03  1.0000000E-99  1.0000000E-99
   36  2.7312780E+04  1.3241428E-01  1.0504916E+02  1.4937888E+21  7.1868097E-03  1.0000000E-99  1.0000000E-99
   37  2.8092114E+04  1.3619254E-01  1.0804659E+02  1.4934280E+21  7.6390158E-03  1.0000000E-99  1.0000000E-99
   38  2.8871448E+04  1.3997081E-01  1.1104403E+02  1.4930570E+21  8.1053401E-03  1.0000000E-99  1.0000000E-99
   39  2.9650782E+04  1.4374907E-01  1.1404147E+02  1.4926757E+21  8.5858214E-03  1.0000000E-99  1.0000000E-99
   40  3.0430116E+04  1.4752734E-01  1.1703891E+02  1.4922841E+21  9.0804995E-03  1.0000000E-99  1.0000000E-99
   41  3.1209450E+04  1.5130560E-01  1.2003635E+02  1.4918822E+21  9.5894154E-03  1.0000000E-99  1.0000000E-99
   42  3.1988784E+04  1.5508387E-01  1.2303378E+02  1.4914701E+21  1.0112612E-02  1.0000000E-99  1.0000000E-99
   43  3.2768118E+04  1.5886213E-01  1.2603122E+02  1.4910477E+21  1.0650132E-02  1.0000000E-99  1.0000000E-99
   44  3.3547452E+04  1.6264040E-01  1.2902866E+02  1.4906149E+21  1.1202020E-02  1.0000000E-99  1.0000000E-99
   45  3.4326786E+04  1.6641867E-01  1.3202610E+02  1.4901719E+21  1.1768324E-02  1.0000000E-99  1.0000000E-99
   46  3.5106120E+04  1.7019693E-01  1.3502354E+02  1.4897185E+21  1.2349090E-02  1.0000000E-99  1.0000000E-99
   47  3.5885454E+04  1.7397520E-01  1.3802098E+02  1.4892548E+21  1.2944366E-02  1.0000000E-99  1.0000000E-99
   48  3.6664787E+04  1.7775346E-01  1.4101841E+02  1.4887808E+21  1.3554204E-02  1.0000000E-99  1.0000000E-99
   49  3.7444121E+04  1.8153173E-01  1.4401585E+02  1.4882964E+21  1.4178654E-02  1.0000000E-99  1.0000000E-99
   50  3.8223455E+04  1.8530999E-01  1.4701329E+02  1.4878016E+21  1.4817769E-02  1.0000000E-99  1.0000000E-99
   51  3.9002789E+04  1.8908826E-01  1.5001073E+02  1.4872965E+21  1.5471604E-02  1.0000000E-99  1.0000000E-99
   52  3.9782123E+04  1.9286652E-01  1.5300817E+02  1.4867810E+21  1.6140212E-02  1.0000000E-99  1.0000000E-99
