! Date: 09/09/2026  Time: 00:51:36  Created by RADMC3D compiled on Sep  9 2026 00:16    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.91991355E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.6369136E+14  1.0076418E+00  6.4418789E+01  3.1230681E-04  2.4776457E-01  2.6317906E-19  5.6603587E+04  2.6317906E-21  5.6603587E+02       Infinity  5.2729849E+00
    2  1.9848865E+15  5.3974603E-01  1.3268147E+02  6.4324907E-04  5.1031334E-01  2.6305745E-19  5.6577432E+04  2.6305745E-21  5.6577432E+02       Infinity  6.9631503E+00
    3  3.1115384E+15  3.7986648E-01  2.0799350E+02  1.0083671E-03  7.9997498E-01  2.6282876E-19  5.6528245E+04  2.6282876E-21  5.6528245E+02       Infinity  6.6412100E+00
    4  4.3545373E+15  2.9946434E-01  2.9108284E+02  1.4111900E-03  1.1195494E+00  2.6246114E-19  5.6449180E+04  2.6246114E-21  5.6449180E+02       Infinity  6.8922461E+00
    5  5.7258981E+15  2.5126067E-01  3.8275265E+02  1.8556117E-03  1.4721256E+00  2.6191551E-19  5.6331828E+04  2.6191551E-21  5.6331828E+02       Infinity  6.9757732E+00
    6  7.2388765E+15  2.1926936E-01  4.8388901E+02  2.3459279E-03  1.8611116E+00  2.6114369E-19  5.6165827E+04  2.6114369E-21  5.6165827E+02       Infinity  6.9617520E+00
    7  8.9080971E+15  1.9658265E-01  5.9546951E+02  2.8868780E-03  2.2902674E+00  2.6008656E-19  5.5938463E+04  2.6008656E-21  5.5938463E+02       Infinity  6.9183062E+00
    8  1.0749695E+16  1.7972769E-01  7.1857270E+02  3.4836909E-03  2.7637412E+00  2.5871268E-19  5.5642975E+04  2.5871268E-21  5.5642975E+02       Infinity  6.9269031E+00
    9  1.2781470E+16  1.6676746E-01  8.5438851E+02  4.1421354E-03  3.2861096E+00  2.5689003E-19  5.5250966E+04  2.5689003E-21  5.5250966E+02       Infinity  6.8252766E+00
   10  1.5023063E+16  1.5653614E-01  1.0042297E+03  4.8685762E-03  3.8624220E+00  2.5454648E-19  5.4746924E+04  2.5454648E-21  5.4746924E+02       Infinity  6.8651311E+00
   11  1.7496140E+16  1.4828999E-01  1.1695447E+03  5.6700350E-03  4.4982490E+00  2.5157549E-19  5.4107934E+04  2.5157549E-21  5.4107934E+02       Infinity  6.9413361E+00
