# radiative transfer cores injected into simsky2.w40
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i04j19k15      989  1717     0.1216      42.73        3e+21      69.23    13.39    3.899e+21
i04j19k15      350    97     0.1216      42.73        3e+21      69.23    13.39    4.187e+21
i04j19k15     1485  1752     0.1216      42.73        3e+21      69.23    13.39     3.55e+21
i04j19k15       52   101     0.1216      42.73        3e+21      69.23    13.39    3.664e+21
i04j19k15     1581   338     0.1216      42.73        3e+21      69.23    13.39    4.105e+21
i04j19k15     1736   335     0.1216      42.73        3e+21      69.23    13.39    4.159e+21
i04j19k15     1071  1679     0.1216      42.73        3e+21      69.23    13.39    4.184e+21
i04j19k15     1675  1725     0.1216      42.73        3e+21      69.23    13.39    3.538e+21
i08j19k09      676  1120     0.1218      11.77      4.8e+22      19.13     7.53    4.331e+22
i08j19k09      917   972     0.1218      11.77      4.8e+22      19.13     7.53    4.413e+22
i08j19k09      993   969     0.1218      11.77      4.8e+22      19.13     7.53    4.055e+22
i08j19k09     1035  1117     0.1218      11.77      4.8e+22      19.13     7.53    4.513e+22
i08j19k09      988   894     0.1218      11.77      4.8e+22      19.13     7.53    6.658e+22
i08j19k09      773   948     0.1218      11.77      4.8e+22      19.13     7.53    3.777e+22
i08j19k09      932   818     0.1218      11.77      4.8e+22      19.13     7.53    3.655e+22
i08j19k09      847   824     0.1218      11.77      4.8e+22      19.13     7.53    3.532e+22
i04j20k03     1566   112     0.1808      10.17        3e+21      15.62     9.18    4.091e+21
i04j20k03      164  1720     0.1808      10.17        3e+21      15.62     9.18    3.619e+21
i04j20k03      848  1701     0.1808      10.17        3e+21      15.62     9.18    3.767e+21
i04j20k03      488  1678     0.1808      10.17        3e+21      15.62     9.18    4.052e+21
i04j20k03      586  1688     0.1808      10.17        3e+21      15.62     9.18    4.048e+21
i04j20k03      763  1754     0.1808      10.17        3e+21      15.62     9.18    3.676e+21
i04j20k03      685   108     0.1808      10.17        3e+21      15.62     9.18     4.24e+21
i04j20k03     1693    45     0.1808      10.17        3e+21      15.62     9.18    3.467e+21
i06j21k13      522   504     0.2682      29.07      1.2e+22      43.34     9.33    1.021e+22
i06j21k13      383  1142     0.2682      29.07      1.2e+22      43.34     9.33    1.267e+22
i06j21k13      314   950     0.2682      29.07      1.2e+22      43.34     9.33    8.967e+21
i06j21k13     1181   541     0.2682      29.07      1.2e+22      43.34     9.33    9.485e+21
i06j21k13     1404  1592     0.2682      29.07      1.2e+22      43.34     9.33    8.726e+21
i06j21k13      516  1143     0.2682      29.07      1.2e+22      43.34     9.33    1.409e+22
i06j21k13      849  1222     0.2682      29.07      1.2e+22      43.34     9.33    1.191e+22
i06j21k13      504   429     0.2682      29.07      1.2e+22      43.34     9.33     1.26e+22
i05j21k04      229  1277     0.2683      15.40        6e+21      17.17     9.00    6.177e+21
i05j21k04     1513   557     0.2683      15.40        6e+21      17.17     9.00     5.41e+21
i05j21k04      496   168     0.2683      15.40        6e+21      17.17     9.00    6.195e+21
i05j21k04      205  1628     0.2683      15.40        6e+21      17.17     9.00    5.563e+21
i05j21k04       57   847     0.2683      15.40        6e+21      17.17     9.00     6.51e+21
i05j21k04      456  1282     0.2683      15.40        6e+21      17.17     9.00    7.458e+21
i05j21k04       78   355     0.2683      15.40        6e+21      17.17     9.00    4.447e+21
i05j21k04      677  1681     0.2683      15.40        6e+21      17.17     9.00    4.403e+21
i06j22k15     1276  1322     0.3981      46.62      1.2e+22      71.75     9.50    1.144e+22
i06j22k15     1011  1361     0.3981      46.62      1.2e+22      71.75     9.50    1.504e+22
i06j22k15      408  1013     0.3981      46.62      1.2e+22      71.75     9.50    9.427e+21
i06j22k15     1218   238     0.3981      46.62      1.2e+22      71.75     9.50    1.534e+22
i06j22k15      568   625     0.3981      46.62      1.2e+22      71.75     9.50    1.355e+22
i06j22k15      187   202     0.3981      46.62      1.2e+22      71.75     9.50    9.255e+21
i06j22k15     1574   472     0.3981      46.62      1.2e+22      71.75     9.50    9.762e+21
i06j22k15      623   717     0.3981      46.62      1.2e+22      71.75     9.50    1.582e+22
i04j23k08       58  1741     0.5907      26.92        3e+21      22.78    10.22    3.422e+21
i04j23k08     1346   107     0.5907      26.92        3e+21      22.78    10.22      4.2e+21
i04j23k08     1224    45     0.5907      26.92        3e+21      22.78    10.22    3.659e+21
i04j23k08      440    44     0.5907      26.92        3e+21      22.78    10.22    3.463e+21
i04j23k08     1360  1685     0.5907      26.92        3e+21      22.78    10.22    4.178e+21
i04j23k08      758    56     0.5907      26.92        3e+21      22.78    10.22    3.663e+21
i04j23k08      164   105     0.5907      26.92        3e+21      22.78    10.22    3.712e+21
i04j23k08     1564  1679     0.5907      26.92        3e+21      22.78    10.22    4.229e+21
i04j24k15      956    67     0.8765      51.73        3e+21      73.33    11.95    3.856e+21
i04j24k15      260  1733     0.8765      51.73        3e+21      73.33    11.95    3.567e+21
i04j24k15     1472    47     0.8765      51.73        3e+21      73.33    11.95    3.412e+21
i04j24k15      233    85     0.8765      51.73        3e+21      73.33    11.95    3.809e+21
i04j24k15     1459  1682     0.8765      51.73        3e+21      73.33    11.95    4.121e+21
i04j24k15     1040    73     0.8765      51.73        3e+21      73.33    11.95    4.074e+21
i04j24k15      578    74     0.8765      51.73        3e+21      73.33    11.95    3.693e+21
i04j24k15     1222  1749     0.8765      51.73        3e+21      73.33    11.95    3.692e+21
i06j24k15      346  1583     0.8770      54.88      1.2e+22      74.22     9.34    1.372e+22
i06j24k15      275   198     0.8770      54.88      1.2e+22      74.22     9.34    8.595e+21
i06j24k15     1298   722     0.8770      54.88      1.2e+22      74.22     9.34    1.268e+22
i06j24k15      669   477     0.8770      54.88      1.2e+22      74.22     9.34    1.396e+22
i06j24k15      642   381     0.8770      54.88      1.2e+22      74.22     9.34    8.974e+21
i06j24k15     1609  1105     0.8770      54.88      1.2e+22      74.22     9.34    1.446e+22
i06j24k15      979   536     0.8770      54.88      1.2e+22      74.22     9.34    1.515e+22
i06j24k15      656  1194     0.8770      54.88      1.2e+22      74.22     9.34    1.341e+22
i08j25k14     1068   872     1.3015      68.05      4.8e+22      61.02     7.62    3.677e+22
i08j25k14      905   677     1.3015      68.05      4.8e+22      61.02     7.62    3.809e+22
i08j25k14      776   853     1.3015      68.05      4.8e+22      61.02     7.62    3.626e+22
i08j25k14      853   894     1.3015      68.05      4.8e+22      61.02     7.62     6.14e+22
i08j25k14     1112  1126     1.3015      68.05      4.8e+22      61.02     7.62    3.576e+22
i08j25k14     1064   943     1.3015      68.05      4.8e+22      61.02     7.62    3.454e+22
i08j25k14      714   669     1.3015      68.05      4.8e+22      61.02     7.62    3.467e+22
i08j25k14      936  1124     1.3015      68.05      4.8e+22      61.02     7.62    3.723e+22
i07j27k10      960   443     2.8650     184.67      2.4e+22      28.15     8.32    2.998e+22
i07j27k10      571   887     2.8650     184.67      2.4e+22      28.15     8.32     2.33e+22
