# radiative transfer cores injected into simsky2.w20
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i04j19k15      447    48     0.1216      42.73        3e+21      69.23    13.39    2.974e+21
i04j19k15       87   538     0.1216      42.73        3e+21      69.23    13.39    3.685e+21
i04j19k15       96   333     0.1216      42.73        3e+21      69.23    13.39    3.451e+21
i04j19k15     1571    44     0.1216      42.73        3e+21      69.23    13.39    2.956e+21
i04j19k15       61  1471     0.1216      42.73        3e+21      69.23    13.39     3.56e+21
i04j19k15      173   290     0.1216      42.73        3e+21      69.23    13.39    4.002e+21
i04j19k15      967    56     0.1216      42.73        3e+21      69.23    13.39    3.142e+21
i04j19k15     1459  1717     0.1216      42.73        3e+21      69.23    13.39    3.075e+21
i08j19k09      992   957     0.1218      11.77      4.8e+22      19.13     7.53    4.139e+22
i08j19k09      836   906     0.1218      11.77      4.8e+22      19.13     7.53    4.788e+22
i08j19k09     1002   846     0.1218      11.77      4.8e+22      19.13     7.53    3.565e+22
i08j19k09      906   868     0.1218      11.77      4.8e+22      19.13     7.53    4.297e+22
i08j19k09      773  1119     0.1218      11.77      4.8e+22      19.13     7.53    4.193e+22
i08j19k09     1061   914     0.1218      11.77      4.8e+22      19.13     7.53      3.7e+22
i08j19k09      689  1119     0.1218      11.77      4.8e+22      19.13     7.53    3.964e+22
i08j19k09      736   889     0.1218      11.77      4.8e+22      19.13     7.53    3.741e+22
i04j20k03      722   100     0.1808      10.17        3e+21      15.62     9.18    3.522e+21
i04j20k03     1388    89     0.1808      10.17        3e+21      15.62     9.18    3.181e+21
i04j20k03      755  1696     0.1808      10.17        3e+21      15.62     9.18    3.344e+21
i04j20k03      296  1642     0.1808      10.17        3e+21      15.62     9.18    3.979e+21
i04j20k03      169    85     0.1808      10.17        3e+21      15.62     9.18    2.778e+21
i04j20k03     1279  1722     0.1808      10.17        3e+21      15.62     9.18    3.221e+21
i04j20k03     1574  1462     0.1808      10.17        3e+21      15.62     9.18    3.502e+21
i04j20k03     1740  1638     0.1808      10.17        3e+21      15.62     9.18     3.72e+21
i06j21k13     1027   401     0.2682      29.07      1.2e+22      43.34     9.33    9.024e+21
i06j21k13     1347   795     0.2682      29.07      1.2e+22      43.34     9.33    9.273e+21
i06j21k13      970  1283     0.2682      29.07      1.2e+22      43.34     9.33    1.029e+22
i06j21k13     1196  1352     0.2682      29.07      1.2e+22      43.34     9.33    1.583e+22
i06j21k13     1664   440     0.2682      29.07      1.2e+22      43.34     9.33    1.307e+22
i06j21k13      624   824     0.2682      29.07      1.2e+22      43.34     9.33    1.453e+22
i06j21k13      458   694     0.2682      29.07      1.2e+22      43.34     9.33    1.065e+22
i06j21k13      761   433     0.2682      29.07      1.2e+22      43.34     9.33    1.367e+22
i05j21k04     1017  1464     0.2683      15.40        6e+21      17.17     9.00    4.987e+21
i05j21k04     1037   261     0.2683      15.40        6e+21      17.17     9.00     6.59e+21
i05j21k04     1240  1584     0.2683      15.40        6e+21      17.17     9.00    8.115e+21
i05j21k04      473  1318     0.2683      15.40        6e+21      17.17     9.00    7.559e+21
i05j21k04     1391   197     0.2683      15.40        6e+21      17.17     9.00    5.752e+21
i05j21k04     1585  1592     0.2683      15.40        6e+21      17.17     9.00    6.133e+21
i05j21k04       69  1166     0.2683      15.40        6e+21      17.17     9.00    5.213e+21
i05j21k04     1534   807     0.2683      15.40        6e+21      17.17     9.00    6.157e+21
i06j22k15      390  1576     0.3981      46.62      1.2e+22      71.75     9.50    1.494e+22
i06j22k15      236  1114     0.3981      46.62      1.2e+22      71.75     9.50    1.691e+22
i06j22k15     1308  1352     0.3981      46.62      1.2e+22      71.75     9.50    1.626e+22
i06j22k15      846   433     0.3981      46.62      1.2e+22      71.75     9.50    1.542e+22
i06j22k15      215  1328     0.3981      46.62      1.2e+22      71.75     9.50    8.997e+21
i06j22k15     1296   931     0.3981      46.62      1.2e+22      71.75     9.50    1.359e+22
i06j22k15      292  1341     0.3981      46.62      1.2e+22      71.75     9.50    1.691e+22
i06j22k15      521   554     0.3981      46.62      1.2e+22      71.75     9.50    8.772e+21
i04j23k08      197  1738     0.5907      26.92        3e+21      22.78    10.22    2.816e+21
i04j23k08     1736  1457     0.5907      26.92        3e+21      22.78    10.22    3.441e+21
i04j23k08      629  1701     0.5907      26.92        3e+21      22.78    10.22    3.171e+21
i04j23k08     1039  1731     0.5907      26.92        3e+21      22.78    10.22    3.138e+21
i04j23k08      319  1735     0.5907      26.92        3e+21      22.78    10.22    2.986e+21
i04j23k08     1206  1476     0.5907      26.92        3e+21      22.78    10.22    4.188e+21
i04j23k08     1470   306     0.5907      26.92        3e+21      22.78    10.22    3.855e+21
i04j23k08     1367  1742     0.5907      26.92        3e+21      22.78    10.22    2.856e+21
i04j24k15      519    74     0.8765      51.73        3e+21      73.33    11.95    3.167e+21
i04j24k15      183  1464     0.8765      51.73        3e+21      73.33    11.95    3.647e+21
i04j24k15     1210  1719     0.8765      51.73        3e+21      73.33    11.95    3.385e+21
i04j24k15      632    77     0.8765      51.73        3e+21      73.33    11.95     3.03e+21
i04j24k15      206  1646     0.8765      51.73        3e+21      73.33    11.95    3.842e+21
