! validate_calib3.py -- the corrections measured on the models
!
! 1815 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7844, 16th and 84th 0.5557 0.9293
!   hicorrect2   median 0.9469, 16th and 84th 0.8832 0.9895
!   table, column median 0.9805, 16th and 84th 0.8273 1.0156
!   table, column and T median 0.9827, 16th and 84th 0.9335 1.0375
!   table, all three median 0.9774, 16th and 84th 0.9215 0.9990
!   hicorrect3.py median 0.9665, 16th and 84th 0.9050 0.9951
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4417      -0.1631      -0.1233      -0.0702      -0.0496      -0.0538
       9.0      -0.3785      -0.1082      -0.0672      -0.0387      -0.0283      -0.0306
      15.0      -0.2775      -0.0511      -0.0088       0.0004      -0.0058      -0.0085
      21.0      -0.2103      -0.0219       0.0166       0.0282       0.0086       0.0071
      27.0      -0.2000      -0.0169       0.0092       0.0252       0.0013       0.0008
      33.0      -0.1997      -0.0171       0.0067       0.0210      -0.0085      -0.0114
      39.0      -0.1895      -0.0200       0.0050       0.0191      -0.0121      -0.0158
      45.0      -0.1761      -0.0222       0.0030       0.0164      -0.0131      -0.0186
      51.0      -0.1642      -0.0236       0.0011       0.0145      -0.0119      -0.0189
      57.0      -0.1534      -0.0249       0.0004       0.0130      -0.0119      -0.0196
      63.0      -0.1447      -0.0259      -0.0003       0.0121      -0.0115      -0.0190
      69.0      -0.1366      -0.0267      -0.0010       0.0115      -0.0114      -0.0195
      75.0      -0.1330      -0.0278      -0.0010       0.0104      -0.0116      -0.0205
      81.0      -0.1257      -0.0281      -0.0014       0.0107      -0.0113      -0.0206
      87.0      -0.1261      -0.0285      -0.0016       0.0099      -0.0116      -0.0203
      93.0      -0.1266      -0.0277      -0.0019       0.0087      -0.0112      -0.0215
      99.0      -0.1256      -0.0277      -0.0017       0.0076      -0.0110      -0.0250
     105.0      -0.1262      -0.0280      -0.0016       0.0068      -0.0121      -0.0226
     111.0      -0.1275      -0.0274      -0.0016       0.0088      -0.0101      -0.0227
     117.0      -0.1286      -0.0265      -0.0024       0.0080      -0.0102      -0.0247
     123.0      -0.1275      -0.0262      -0.0021       0.0066      -0.0105      -0.0250
     129.0      -0.1276      -0.0260      -0.0016       0.0101      -0.0105      -0.0259
     135.0      -0.1286      -0.0254      -0.0029       0.0086      -0.0100      -0.0270
     141.0      -0.1271      -0.0259      -0.0039       0.0102      -0.0092      -0.0265
     147.0      -0.1249      -0.0254      -0.0041       0.0096      -0.0091      -0.0319
     153.0      -0.2173      -0.0252      -0.0032       0.0098      -0.0085      -0.0327
     159.0      -0.2177      -0.0252      -0.0037       0.0110      -0.0087      -0.0290
     165.0      -0.2181      -0.0246      -0.0051       0.0111      -0.0085      -0.0311
     171.0      -0.2181      -0.0245      -0.0048       0.0106      -0.0089      -0.0312
     177.0      -0.2184      -0.0234      -0.0039       0.0116      -0.0090      -0.0313
     183.0      -0.2183      -0.0225      -0.0033       0.0108      -0.0099      -0.0324
     189.0      -0.2184      -0.0228      -0.0053       0.0103      -0.0103      -0.0328
     195.0      -0.2182      -0.0240      -0.0052       0.0120      -0.0090      -0.0350
     201.0      -0.2181      -0.0238      -0.0061       0.0117      -0.0091      -0.0330
     207.0      -0.2182      -0.0231      -0.0051       0.0114      -0.0080      -0.0333
     213.0      -0.2184      -0.0225      -0.0052       0.0114      -0.0076      -0.0322
     219.0      -0.2185      -0.0221      -0.0064       0.0112      -0.0099      -0.0339
     225.0      -0.2185      -0.0218      -0.0068       0.0109      -0.0110      -0.0337
     231.0      -0.2184      -0.0222      -0.0066       0.0105      -0.0112      -0.0340
