! validate_calib3.py -- the corrections measured on the models
!
! 1815 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7844, 16th and 84th 0.5557 0.9293
!   hicorrect2   median 0.9469, 16th and 84th 0.8832 0.9895
!   table, column median 0.9805, 16th and 84th 0.8283 1.0232
!   table, column and T median 0.9797, 16th and 84th 0.9243 1.0195
!   table, all three median 0.9812, 16th and 84th 0.9288 1.0075
!   hicorrect3.py median 0.9828, 16th and 84th 0.9305 1.0075
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4417      -0.1631      -0.1219      -0.0871      -0.0830      -0.0834
       9.0      -0.3785      -0.1082      -0.0676      -0.0543      -0.0553      -0.0549
      15.0      -0.2775      -0.0511      -0.0097      -0.0060      -0.0089      -0.0083
      21.0      -0.2103      -0.0219       0.0181       0.0205       0.0118       0.0124
      27.0      -0.2000      -0.0169       0.0098       0.0144       0.0080       0.0087
      33.0      -0.1997      -0.0171       0.0058       0.0102       0.0021       0.0030
      39.0      -0.1895      -0.0200       0.0038       0.0105      -0.0052      -0.0035
      45.0      -0.1761      -0.0222       0.0009       0.0077      -0.0074      -0.0056
      51.0      -0.1642      -0.0236       0.0001       0.0089      -0.0061      -0.0048
      57.0      -0.1534      -0.0249      -0.0013       0.0049      -0.0067      -0.0060
      63.0      -0.1447      -0.0259      -0.0031       0.0052      -0.0064      -0.0047
      69.0      -0.1366      -0.0267      -0.0047       0.0045      -0.0065      -0.0054
      75.0      -0.1330      -0.0278      -0.0041       0.0033      -0.0060      -0.0049
      81.0      -0.1257      -0.0281      -0.0040       0.0033      -0.0046      -0.0041
      87.0      -0.1261      -0.0285      -0.0043       0.0040      -0.0057      -0.0043
      93.0      -0.1266      -0.0277      -0.0037       0.0019      -0.0059      -0.0045
      99.0      -0.1256      -0.0277      -0.0041       0.0000      -0.0059      -0.0047
     105.0      -0.1262      -0.0280      -0.0044       0.0014      -0.0071      -0.0056
     111.0      -0.1275      -0.0274      -0.0042       0.0015      -0.0054      -0.0043
     117.0      -0.1286      -0.0265      -0.0047       0.0002      -0.0057      -0.0052
     123.0      -0.1275      -0.0262      -0.0036      -0.0001      -0.0072      -0.0056
     129.0      -0.1276      -0.0260      -0.0023       0.0021      -0.0077      -0.0057
     135.0      -0.1286      -0.0254      -0.0045       0.0003      -0.0070      -0.0055
     141.0      -0.1271      -0.0259      -0.0061      -0.0015      -0.0076      -0.0066
     147.0      -0.1249      -0.0254      -0.0055      -0.0021      -0.0073      -0.0062
     153.0      -0.2173      -0.0252      -0.0039      -0.0018      -0.0082      -0.0066
     159.0      -0.2177      -0.0252      -0.0054      -0.0035      -0.0086      -0.0071
     165.0      -0.2181      -0.0246      -0.0051      -0.0032      -0.0094      -0.0080
     171.0      -0.2181      -0.0245      -0.0050      -0.0034      -0.0085      -0.0067
     177.0      -0.2184      -0.0234      -0.0038      -0.0041      -0.0082      -0.0071
     183.0      -0.2183      -0.0225      -0.0046      -0.0044      -0.0081      -0.0072
     189.0      -0.2184      -0.0228      -0.0059      -0.0056      -0.0105      -0.0089
     195.0      -0.2182      -0.0240      -0.0064      -0.0055      -0.0130      -0.0110
     201.0      -0.2181      -0.0238      -0.0072      -0.0068      -0.0146      -0.0119
     207.0      -0.2182      -0.0231      -0.0064      -0.0062      -0.0164      -0.0119
     213.0      -0.2184      -0.0225      -0.0055      -0.0050      -0.0174      -0.0124
     219.0      -0.2185      -0.0221      -0.0064      -0.0063      -0.0174      -0.0113
     225.0      -0.2185      -0.0218      -0.0068      -0.0071      -0.0173      -0.0136
     231.0      -0.2184      -0.0222      -0.0066      -0.0077      -0.0172      -0.0120
