! validate_calib3.py -- the corrections measured on the models
!
! 333 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7137, 16th and 84th 0.4732 0.9236
!   hicorrect2   median 0.9544, 16th and 84th 0.8751 1.0228
!   table, column median 0.9755, 16th and 84th 0.9260 1.0029
!   table, column and T median 0.9442, 16th and 84th 0.8929 0.9850
!   table, all three median 0.9469, 16th and 84th 0.8627 0.9928
!   hicorrect3.py median 0.9487, 16th and 84th 0.8638 0.9920
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4899      -0.0967      -0.0973      -0.0998      -0.1150      -0.1109
       9.0      -0.4377      -0.0713      -0.0719      -0.0883      -0.0879      -0.0897
      15.0      -0.3200      -0.0447      -0.0396      -0.0492      -0.0477      -0.0484
      21.0      -0.2770      -0.0185      -0.0153      -0.0230      -0.0259      -0.0285
      27.0      -0.2652      -0.0134      -0.0054      -0.0235      -0.0220      -0.0254
      33.0      -0.2502      -0.0089      -0.0044      -0.0209      -0.0224      -0.0226
      39.0      -0.2786      -0.0138      -0.0130      -0.0233      -0.0249      -0.0253
      45.0      -0.2756      -0.0182      -0.0147      -0.0267      -0.0281      -0.0286
      51.0      -0.2796      -0.0234      -0.0127      -0.0318      -0.0296      -0.0338
      57.0      -0.2839      -0.0243      -0.0181      -0.0321      -0.0335      -0.0349
      63.0      -0.2820      -0.0252      -0.0188      -0.0323      -0.0328      -0.0348
      69.0      -0.2804      -0.0244      -0.0151      -0.0335      -0.0324      -0.0336
      75.0      -0.2802      -0.0246      -0.0103      -0.0348      -0.0352      -0.0366
      81.0      -0.2835      -0.0235      -0.0136      -0.0354      -0.0362      -0.0349
      87.0      -0.2852      -0.0259      -0.0125      -0.0370      -0.0363      -0.0360
      93.0      -0.2819      -0.0267      -0.0112      -0.0365      -0.0368      -0.0350
      99.0      -0.2843      -0.0266      -0.0121      -0.0371      -0.0379      -0.0374
     105.0      -0.2864      -0.0265      -0.0106      -0.0380      -0.0397      -0.0407
     111.0      -0.2874      -0.0261      -0.0093      -0.0388      -0.0377      -0.0415
     117.0      -0.2871      -0.0252      -0.0120      -0.0394      -0.0376      -0.0419
     123.0      -0.2903      -0.0245      -0.0113      -0.0395      -0.0404      -0.0441
     129.0      -0.2888      -0.0241      -0.0077      -0.0384      -0.0402      -0.0436
     135.0      -0.3431      -0.0241      -0.0078      -0.0389      -0.0410      -0.0440
     141.0      -0.4028      -0.0228      -0.0116      -0.0411      -0.0431      -0.0466
     147.0      -0.3956      -0.0203      -0.0116      -0.0380      -0.0433      -0.0430
     153.0      -0.2874      -0.0217      -0.0088      -0.0380      -0.0414      -0.0419
     159.0      -0.3954      -0.0221      -0.0119      -0.0385      -0.0466      -0.0464
     165.0      -0.3987      -0.0206      -0.0119      -0.0389      -0.0461      -0.0464
     171.0      -0.2875      -0.0201      -0.0093      -0.0387      -0.0435      -0.0445
     177.0      -0.2865      -0.0203      -0.0100      -0.0384      -0.0405      -0.0435
     183.0      -0.2861      -0.0202      -0.0108      -0.0381      -0.0419      -0.0433
     189.0      -0.2861      -0.0202      -0.0111      -0.0380      -0.0443      -0.0438
     195.0      -0.2861      -0.0189      -0.0094      -0.0380      -0.0462      -0.0439
     201.0      -0.2860      -0.0197      -0.0062      -0.0380      -0.0464      -0.0441
     207.0      -0.2857      -0.0179      -0.0046      -0.0381      -0.0461      -0.0439
     213.0      -0.2855      -0.0166      -0.0035      -0.0386      -0.0454      -0.0434
     219.0      -0.2856      -0.0177      -0.0044      -0.0381      -0.0452      -0.0441
     225.0      -0.3408      -0.0192      -0.0056      -0.0383      -0.0452      -0.0447
     231.0      -0.3984      -0.0219      -0.0067      -0.0385      -0.0463      -0.0456
