! validate_calib3.py -- the corrections measured on the models
!
! 333 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7137, 16th and 84th 0.4732 0.9236
!   hicorrect2   median 0.9544, 16th and 84th 0.8751 1.0228
!   table, column median 0.9764, 16th and 84th 0.9255 1.0005
!   table, column and T median 0.9956, 16th and 84th 0.9204 1.0745
!   table, all three median 0.9531, 16th and 84th 0.9032 1.0102
!   hicorrect3.py median 0.9589, 16th and 84th 0.9117 1.0075
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4899      -0.0967      -0.0911      -0.0495      -0.0788      -0.0689
       9.0      -0.4377      -0.0713      -0.0626      -0.0364      -0.0672      -0.0538
      15.0      -0.3200      -0.0447      -0.0333      -0.0101      -0.0329      -0.0343
      21.0      -0.2770      -0.0185      -0.0132       0.0127      -0.0114      -0.0180
      27.0      -0.2652      -0.0134      -0.0055       0.0182      -0.0086      -0.0146
      33.0      -0.2502      -0.0089      -0.0059       0.0138      -0.0232      -0.0271
      39.0      -0.2786      -0.0138      -0.0110       0.0144      -0.0256      -0.0316
      45.0      -0.2756      -0.0182      -0.0136       0.0094      -0.0350      -0.0358
      51.0      -0.2796      -0.0234      -0.0133       0.0077      -0.0362      -0.0347
      57.0      -0.2839      -0.0243      -0.0160       0.0090      -0.0410      -0.0362
      63.0      -0.2820      -0.0252      -0.0161       0.0110      -0.0356      -0.0323
      69.0      -0.2804      -0.0244      -0.0123       0.0071      -0.0403      -0.0323
      75.0      -0.2802      -0.0246      -0.0113       0.0040      -0.0448      -0.0339
      81.0      -0.2835      -0.0235      -0.0118       0.0073      -0.0417      -0.0320
      87.0      -0.2852      -0.0259      -0.0122       0.0079      -0.0448      -0.0325
      93.0      -0.2819      -0.0267      -0.0115       0.0077      -0.0370      -0.0329
      99.0      -0.2843      -0.0266      -0.0107       0.0084      -0.0370      -0.0344
     105.0      -0.2864      -0.0265      -0.0097       0.0081      -0.0407      -0.0361
     111.0      -0.2874      -0.0261      -0.0085       0.0075      -0.0449      -0.0351
     117.0      -0.2871      -0.0252      -0.0098       0.0075      -0.0385      -0.0319
     123.0      -0.2903      -0.0245      -0.0104       0.0076      -0.0450      -0.0309
     129.0      -0.2888      -0.0241      -0.0072       0.0080      -0.0462      -0.0362
     135.0      -0.3431      -0.0241      -0.0077       0.0063      -0.0484      -0.0372
     141.0      -0.4028      -0.0228      -0.0108       0.0046      -0.0561      -0.0372
     147.0      -0.3956      -0.0203      -0.0096       0.0084      -0.0481      -0.0328
     153.0      -0.2874      -0.0217      -0.0078       0.0086      -0.0511      -0.0361
     159.0      -0.3954      -0.0221      -0.0078       0.0087      -0.0541      -0.0375
     165.0      -0.3987      -0.0206      -0.0079       0.0100      -0.0524      -0.0368
     171.0      -0.2875      -0.0201      -0.0078       0.0119      -0.0513      -0.0337
     177.0      -0.2865      -0.0203      -0.0078       0.0091      -0.0455      -0.0299
     183.0      -0.2861      -0.0202      -0.0079       0.0079      -0.0454      -0.0311
     189.0      -0.2861      -0.0202      -0.0085       0.0068      -0.0474      -0.0332
     195.0      -0.2861      -0.0189      -0.0079       0.0075      -0.0474      -0.0333
     201.0      -0.2860      -0.0197      -0.0041       0.0066      -0.0473      -0.0334
     207.0      -0.2857      -0.0179      -0.0028       0.0044      -0.0453      -0.0315
     213.0      -0.2855      -0.0166      -0.0022       0.0082      -0.0453      -0.0291
     219.0      -0.2856      -0.0177      -0.0045       0.0060      -0.0455      -0.0316
     225.0      -0.3408      -0.0192      -0.0045       0.0048      -0.0485      -0.0364
     231.0      -0.3984      -0.0219      -0.0055       0.0045      -0.0479      -0.0387
