! validate_calib3.py -- the corrections measured on the models
!
! 332 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.6334, 16th and 84th 0.4192 0.9071
!   hicorrect2   median 0.8675, 16th and 84th 0.7663 0.9550
!   table, column median 0.9393, 16th and 84th 0.8711 0.9694
!   table, column and T median 0.9751, 16th and 84th 0.9013 1.0378
!   table, all three median 0.9545, 16th and 84th 0.9083 1.0016
!   hicorrect3.py median 0.9533, 16th and 84th 0.9053 0.9987
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.5459      -0.2246      -0.1511      -0.0660      -0.0755      -0.0779
       9.0      -0.5011      -0.2062      -0.1168      -0.0507      -0.0592      -0.0648
      15.0      -0.3876      -0.1458      -0.0643      -0.0250      -0.0371      -0.0339
      21.0      -0.3580      -0.1115      -0.0467      -0.0081      -0.0214      -0.0246
      27.0      -0.3421      -0.1015      -0.0441      -0.0061      -0.0209      -0.0216
      33.0      -0.3280      -0.0867      -0.0445      -0.0069      -0.0333      -0.0302
      39.0      -0.3646      -0.0886      -0.0472      -0.0085      -0.0391      -0.0378
      45.0      -0.3637      -0.0908      -0.0466      -0.0099      -0.0408      -0.0405
      51.0      -0.3647      -0.0868      -0.0453      -0.0096      -0.0413      -0.0415
      57.0      -0.3761      -0.0851      -0.0467      -0.0059      -0.0415      -0.0428
      63.0      -0.3697      -0.0863      -0.0456      -0.0067      -0.0402      -0.0429
      69.0      -0.3663      -0.0835      -0.0444      -0.0052      -0.0423      -0.0425
      75.0      -0.3646      -0.0780      -0.0433      -0.0180      -0.0416      -0.0452
      81.0      -0.3706      -0.0743      -0.0418      -0.0136      -0.0415      -0.0456
      87.0      -0.3773      -0.0740      -0.0426      -0.0178      -0.0406      -0.0449
      93.0      -0.3700      -0.0717      -0.0417      -0.0126      -0.0382      -0.0406
      99.0      -0.3755      -0.0738      -0.0425      -0.0144      -0.0425      -0.0436
     105.0      -0.3789      -0.0737      -0.0423      -0.0102      -0.0429      -0.0444
     111.0      -0.3841      -0.0716      -0.0429      -0.0111      -0.0418      -0.0435
     117.0      -0.3834      -0.0692      -0.0428      -0.0138      -0.0415      -0.0429
     123.0      -0.3846      -0.0702      -0.0434      -0.0121      -0.0407      -0.0438
     129.0      -0.3840      -0.0672      -0.0408      -0.0109      -0.0440      -0.0427
     135.0      -0.4307      -0.0718      -0.0418      -0.0114      -0.0431      -0.0435
     141.0      -0.4842      -0.0732      -0.0427      -0.0111      -0.0440      -0.0458
     147.0      -0.4801      -0.0720      -0.0425      -0.0166      -0.0439      -0.0475
     153.0      -0.3818      -0.0681      -0.0406      -0.0114      -0.0436      -0.0425
     159.0      -0.4801      -0.0717      -0.0412      -0.0131      -0.0438      -0.0476
     165.0      -0.4842      -0.0715      -0.0422      -0.0142      -0.0455      -0.0477
     171.0      -0.3809      -0.0712      -0.0399      -0.0126      -0.0434      -0.0459
     177.0      -0.3804      -0.0710      -0.0398      -0.0169      -0.0382      -0.0436
     183.0      -0.3804      -0.0707      -0.0411      -0.0136      -0.0388      -0.0439
     189.0      -0.3803      -0.0703      -0.0411      -0.0180      -0.0382      -0.0398
     195.0      -0.3799      -0.0698      -0.0398      -0.0184      -0.0397      -0.0453
     201.0      -0.3797      -0.0696      -0.0404      -0.0186      -0.0386      -0.0456
     207.0      -0.3797      -0.0694      -0.0396      -0.0191      -0.0380      -0.0417
     213.0      -0.3797      -0.0692      -0.0396      -0.0190      -0.0352      -0.0379
     219.0      -0.3797      -0.0689      -0.0408      -0.0190      -0.0331      -0.0385
     225.0      -0.4300      -0.0717      -0.0421      -0.0178      -0.0342      -0.0400
     231.0      -0.4844      -0.0787      -0.0424      -0.0168      -0.0370      -0.0408
