! validate_calib3.py -- the corrections measured on the models
!
! 334 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7664, 16th and 84th 0.5281 0.9419
!   hicorrect2   median 1.0127, 16th and 84th 0.9124 1.1607
!   table, column median 1.0020, 16th and 84th 0.9595 1.0364
!   table, column and T median 0.9661, 16th and 84th 0.9279 0.9940
!   table, all three median 0.9597, 16th and 84th 0.9169 0.9969
!   hicorrect3.py median 0.9599, 16th and 84th 0.9169 0.9954
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4355      -0.0246      -0.0536      -0.0743      -0.0744      -0.0750
       9.0      -0.3833      -0.0134      -0.0207      -0.0643      -0.0597      -0.0598
      15.0      -0.2675       0.0200      -0.0052      -0.0354      -0.0371      -0.0392
      21.0      -0.2255       0.0640       0.0180      -0.0162      -0.0143      -0.0171
      27.0      -0.2118       0.0649       0.0181      -0.0138      -0.0121      -0.0136
      33.0      -0.1960       0.0666       0.0179      -0.0134      -0.0114      -0.0148
      39.0      -0.2206       0.0785       0.0109      -0.0167      -0.0169      -0.0194
      45.0      -0.2156       0.0573       0.0094      -0.0188      -0.0225      -0.0239
      51.0      -0.2213       0.0454       0.0066      -0.0220      -0.0227      -0.0253
      57.0      -0.2259       0.0564       0.0068      -0.0233      -0.0229      -0.0249
      63.0      -0.2251       0.0563       0.0053      -0.0222      -0.0235      -0.0258
      69.0      -0.2249       0.0525       0.0076      -0.0237      -0.0249      -0.0262
      75.0      -0.2249       0.0491       0.0054      -0.0243      -0.0265      -0.0258
      81.0      -0.2256       0.0489       0.0057      -0.0238      -0.0267      -0.0255
      87.0      -0.2272       0.0536       0.0064      -0.0253      -0.0288      -0.0290
      93.0      -0.2249       0.0416       0.0060      -0.0246      -0.0262      -0.0251
      99.0      -0.2268       0.0440       0.0058      -0.0241      -0.0274      -0.0255
     105.0      -0.2275       0.0461       0.0059      -0.0262      -0.0281      -0.0276
     111.0      -0.2293       0.0491       0.0054      -0.0268      -0.0290      -0.0275
     117.0      -0.2288       0.0469       0.0059      -0.0268      -0.0288      -0.0279
     123.0      -0.2304       0.0501       0.0068      -0.0266      -0.0307      -0.0306
     129.0      -0.2295       0.0472       0.0084      -0.0269      -0.0307      -0.0310
     135.0      -0.2322       0.0536       0.0095      -0.0272      -0.0326      -0.0316
     141.0      -0.3416       0.0616       0.0076      -0.0277      -0.0354      -0.0354
     147.0      -0.2836       0.0552       0.0065      -0.0269      -0.0322      -0.0342
     153.0      -0.2280       0.0430       0.0069      -0.0279      -0.0307      -0.0314
     159.0      -0.2831       0.0540       0.0077      -0.0295      -0.0336      -0.0354
     165.0      -0.3357       0.0617       0.0068      -0.0294      -0.0322      -0.0344
     171.0      -0.2283       0.0417       0.0058      -0.0298      -0.0312      -0.0313
     177.0      -0.2270       0.0404       0.0058      -0.0285      -0.0291      -0.0301
     183.0      -0.2268       0.0400       0.0055      -0.0282      -0.0286      -0.0301
     189.0      -0.2268       0.0394       0.0049      -0.0273      -0.0279      -0.0300
     195.0      -0.2267       0.0390       0.0067      -0.0272      -0.0278      -0.0295
     201.0      -0.2265       0.0398       0.0096      -0.0270      -0.0276      -0.0291
     207.0      -0.2264       0.0385       0.0118      -0.0252      -0.0271      -0.0278
     213.0      -0.2263       0.0382       0.0102      -0.0264      -0.0273      -0.0272
     219.0      -0.2264       0.0378       0.0061      -0.0267      -0.0259      -0.0266
     225.0      -0.2284       0.0383       0.0068      -0.0267      -0.0282      -0.0285
     231.0      -0.3354       0.0612       0.0115      -0.0262      -0.0282      -0.0297
