# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    3.430396e+00   5.428000e+22     11.15475       14.630
    5.706132e-01   2.085000e+22      6.85612       14.620
    8.495058e-01   1.297000e+22      4.78335       17.320
    5.704887e-01   1.173000e+22      4.09719       16.290
    2.305596e-01   2.229000e+22      2.61552       15.370
    2.786990e-01   1.718000e+22      2.89523       14.570
    4.011518e+00   2.433000e+22      3.97452       28.280
    3.529658e+00   2.054000e+22      1.70010       44.770
    8.895311e-02   5.012000e+21      3.45611       13.750
    1.431109e+00   1.624000e+22      1.80357       55.410
    1.382247e+00   8.253000e+21      3.08409       22.970
    1.952056e-01   8.541000e+21      2.93186       18.880
    1.175231e+00   2.194000e+22      1.68459       32.400
    1.800613e+00   1.849000e+22      2.64792       15.130
    1.216012e+00   8.145000e+21      3.06753       34.410
    2.772423e-01   1.170000e+22      2.74872       17.340
    3.292138e-01   7.044000e+21      2.24418       22.640
    1.042815e-01   1.239000e+22      2.69249       14.270
    3.465824e-03   2.402000e+21      1.51332       14.620
    6.778141e-01   4.155000e+21      2.57280       24.040
    4.347161e-01   7.286000e+21      1.55284       32.170
    3.933105e-02   1.824000e+22      1.81689       14.200
    1.129204e+00   1.722000e+22      2.47038       21.770
    8.253478e-01   4.652000e+21      2.53267       32.930
    2.126541e+00   1.298000e+22      1.58159       56.420
    2.097000e-02   1.322000e+22      1.67277       13.770
    2.344825e-03   2.618000e+21      1.53476       14.520
    1.105295e+00   1.305000e+22      1.46238       47.880
    9.312916e-01   2.662000e+22      1.56912       38.920
    5.201395e-01   8.378000e+21      1.37431       57.510
    2.871086e+00   9.999000e+21      2.73617       33.070
    2.877948e-02   2.470000e+21      1.45223       21.610
    1.408385e+00   1.146000e+22      1.52784       48.370
    6.704465e-01   1.142000e+22      2.02277       23.120
    2.254767e-01   6.300000e+21      1.75063       39.370
    6.464106e-01   9.239000e+21      1.48717       37.900
    2.254005e-02   4.875000e+21      1.65805       15.550
    4.787193e-01   1.259000e+22      2.48451       16.570
    1.147679e+00   2.046000e+22      2.14418       26.460
    5.914460e-01   8.336000e+21      1.47085       45.860
    4.751428e-01   5.883000e+21      1.35441       73.950
    3.470794e-01   5.155000e+21      1.40582       46.280
    4.106207e+00   2.776000e+22      1.51981       46.240
    4.053892e-01   7.205000e+21      2.53643       20.410
    2.976574e-04   2.071000e+21      1.23071       13.880
    2.289478e-03   2.720000e+21      1.29831       13.880
    5.518868e-01   7.684000e+21      1.50482       38.530
    2.022948e+00   7.910000e+21      1.95348       33.460
    2.248239e-02   1.033000e+22      1.35886       18.000
    5.229942e-01   6.629000e+21      1.51395       39.890
    8.199968e-01   1.288000e+22      1.50776       47.750
    2.502106e-01   7.569000e+21      1.45330       43.600
    2.993858e+00   1.851000e+22      2.31875       32.940
    2.181661e-01   8.160000e+21      1.86765       24.680
    8.256012e-03   2.628000e+21      1.74315       16.410
    4.618203e+00   3.026000e+22      1.53833       61.170
    5.648542e+00   1.897000e+22      2.26357       23.170
    1.080137e-01   2.861000e+21      1.75533       33.950
    8.017067e-03   5.529000e+21      1.37168       14.800
    2.185912e+01   2.606000e+22      1.42939       35.490
    6.689991e-01   1.677000e+22      2.06619       22.880
    1.415895e+00   1.065000e+22      1.47136       43.410
    4.606063e-03   1.881000e+21      1.29814       15.730
    8.343612e-01   9.392000e+21      1.43505       51.740
    6.007188e-01   1.431000e+22      1.48728       42.610
    2.795657e-02   2.752000e+21      1.35974       25.720
